method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,gamma,integrator,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,0,0,0.0,0.0,0.0,0.0,0.0,0.7386621408960241,0.518938006051488,0.5184400712505989,0.805,0.5321930774365455,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,1,0,0.0,0.0,0.0,0.0,0.0,0.7373013516640339,0.517600714963346,0.517102288036273,0.8037500000000001,0.5321039544358058,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,2,0,0.0,0.0,0.0,0.0,0.0,0.7378048780843204,0.5193359487026696,0.518836860952783,0.8,0.5335110808343468,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,3,0,0.0,0.0,0.0,0.0,0.0,0.7397362512151985,0.5218632027837117,0.5213643420847149,0.79625,0.5330248863167208,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,0,8,0.04,25600.0,8.0,8.0,0.0,0.738013267491689,0.518238071947957,0.5177399812615217,0.8025,0.5309243117410314,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,1,8,0.04,25600.0,8.0,8.0,0.0,0.7369722922930033,0.5171376989297917,0.516639210580941,0.8,0.5306815850186766,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,2,8,0.04,25600.0,8.0,8.0,0.0,0.7375192046563577,0.5193006865924885,0.5188013602551068,0.7975,0.5328818902065846,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,3,8,0.04,25600.0,8.0,8.0,0.0,0.7394209860685181,0.5217338263193698,0.5212347189262554,0.7937500000000001,0.5324783777111501,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,0,17,0.085,54400.0,17.0,17.0,0.0,0.7367750779577639,0.5171417597971549,0.5166431941473965,0.7937500000000001,0.527924361614895,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,c87203a12406cc5114b7ffa2d8877465,False,1,17,0.085,54400.0,17.0,17.0,0.0,0.736061217428388,0.5163139128321695,0.5158150520329194,0.7937500000000001,0.527783510107218,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,1.0,BAOAB,0.0,0.0
