method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,0,0.0,0.0,0.0,0.0,0.0,0.7387831086822765,0.519939190497903,0.5194407575428388,0.7975,0.5313471337818518,0.0,0.36550095012754413,0.7311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,0,0.0,0.0,0.0,0.0,0.0,0.7389677797433524,0.5212919427691775,0.5207927334059624,0.79625,0.5327207940969443,0.0,0.36550095012754413,0.7311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,0,0.0,0.0,0.0,0.0,0.0,0.7381139682399732,0.5192856920337121,0.5187869893061371,0.8,0.5335139223004672,0.0,0.36550095012754413,0.7311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,0,0.0,0.0,0.0,0.0,0.0,0.7367071725248326,0.517349851241368,0.5168511646906704,0.7999999999999999,0.5328265120519964,0.0,0.36550095012754413,0.7311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,8,0.04,19870701.489129055,6209.594215352829,8.0,8192.0,0.7168324542998132,0.4917525103730772,0.4912212290095871,0.7462500000000001,0.44377747332154727,0.0,0.3232814493357135,0.7098977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0057421875,145.96589062327888,147,0.0,1.1484375,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,8,0.04,19870701.489129055,6209.594215352829,8.0,8192.0,0.7102695650631737,0.481870112571524,0.481328977270004,0.7462500000000001,0.42886526028649063,0.0,0.3186106130163331,0.7086477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0057421875,145.96589062327888,147,0.0,1.1484375,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,8,0.04,19870701.489129055,6209.594215352829,8.0,8192.0,0.7193677504031986,0.4947865130404694,0.494258122339429,0.755,0.456295206436379,0.0,0.3337930737865339,0.7173977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0057421875,145.96589062327888,147,0.0,1.1484375,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,8,0.04,19870701.489129055,6209.594215352829,8.0,8192.0,0.7099435617147221,0.4840444889426049,0.4835122034273319,0.7375,0.4392459676598073,0.0,0.3180954298764342,0.7061477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0057421875,145.96589062327888,147,0.0,1.1484375,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,17,0.085,42225240.664399244,13195.387707624765,17.0,17408.0,0.6957704659413595,0.46438407346323907,0.46382975322224373,0.71625,0.395504805770001,0.0,0.29433808553918833,0.6898977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005694444444444445,404.15177287887303,311,0.0,1.1433823529411764,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,17,0.085,42225240.664399244,13195.387707624765,17.0,17408.0,0.6927920043955257,0.45975392732563813,0.45918894543923094,0.7137500000000001,0.3916885624776606,0.0,0.29500755855520233,0.6923977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005694444444444445,404.15177287887303,311,0.0,1.1433823529411764,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,17,0.085,42225240.664399244,13195.387707624765,17.0,17408.0,0.6986649552104303,0.46631663382759714,0.4657594150982507,0.725,0.402236664518443,0.0,0.30251886174880493,0.6973977216369077,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005694444444444445,404.15177287887303,311,0.0,1.1433823529411764,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,17,0.085,42225240.664399244,13195.387707624765,17.0,17408.0,0.6906699934665148,0.45724945124130756,0.456693260458256,0.71875,0.4037618787217647,0.0,0.29635585566124206,0.6923977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005694444444444445,404.15177287887303,311,0.0,1.1433823529411764,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,25,0.125,62095942.153528295,19404.981922977593,25.0,25600.0,0.6744510601814748,0.4353777525586434,0.43479932554669554,0.69125,0.36109289475203976,0.0,0.27171022533787975,0.6711477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005000000000000001,207.76972399134948,439,0.0,1.0975,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,25,0.125,62095942.153528295,19404.981922977593,25.0,25600.0,0.6716947153631825,0.43137660612440176,0.43079386275498854,0.6900000000000001,0.35278397843278786,0.0,0.2671813219913074,0.6698977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005000000000000001,207.76972399134948,439,0.0,1.0975,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,25,0.125,62095942.153528295,19404.981922977593,25.0,25600.0,0.6855506869995103,0.44985267126709216,0.4492834668992831,0.71,0.37215626484663245,0.0,0.28759486294773373,0.6861477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005000000000000001,207.76972399134948,439,0.0,1.0975,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,25,0.125,62095942.153528295,19404.981922977593,25.0,25600.0,0.6748386222551052,0.43687646985771966,0.4363041849925504,0.6925000000000001,0.36297409864590524,0.0,0.2704863751452802,0.6698977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005000000000000001,207.76972399134948,439,0.0,1.0975,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,33,0.165,81966643.64265735,25614.576138330423,33.0,33792.0,0.6582110250532979,0.4140999860308038,0.4135060884977516,0.67375,0.3386786344235123,0.0,0.2530135616741705,0.6536477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005507812499999999,481.79070031575935,580,0.0,1.0984848484848484,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,33,0.165,81966643.64265735,25614.576138330423,33.0,33792.0,0.6514767500156988,0.40371721072496236,0.40310980045038003,0.6687500000000001,0.32925718955574934,0.0,0.24321055740972902,0.6461477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005507812499999999,481.79070031575935,580,0.0,1.0984848484848484,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,33,0.165,81966643.64265735,25614.576138330423,33.0,33792.0,0.6655309973563499,0.42346062085870795,0.42287191187250694,0.6837500000000001,0.35189227062386597,0.0,0.26170216497900445,0.6623977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005507812499999999,481.79070031575935,580,0.0,1.0984848484848484,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,33,0.165,81966643.64265735,25614.576138330423,33.0,33792.0,0.6576955803164396,0.4116395674258917,0.4110419235840491,0.67,0.3304267981314939,0.0,0.24645713000423292,0.6448977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005507812499999999,481.79070031575935,580,0.0,1.0984848484848484,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,42,0.21,104321182.81792754,32600.369630602356,42.0,43008.0,0.6393035214577195,0.38712593928199457,0.38650491490877326,0.6475000000000001,0.2971662776025519,0.0,0.22774150754290107,0.6261477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.004444444444444445,322.42913436445616,708,0.0,1.0535714285714286,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,42,0.21,104321182.81792754,32600.369630602356,42.0,43008.0,0.6434226170041369,0.3967960431808575,0.39618500203963625,0.665,0.3078531202126322,0.0,0.23740818975515787,0.6411477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.004444444444444445,322.42913436445616,708,0.0,1.0535714285714286,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,42,0.21,104321182.81792754,32600.369630602356,42.0,43008.0,0.6521162066346206,0.4018270015384984,0.4012230391969638,0.66625,0.3245610002399203,0.0,0.2409272875128059,0.6411477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.004444444444444445,322.42913436445616,708,0.0,1.0535714285714286,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,42,0.21,104321182.81792754,32600.369630602356,42.0,43008.0,0.6384497814754246,0.3867734447881309,0.386157329848819,0.64375,0.30237166503087154,0.0,0.22657552737929915,0.6211477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.004444444444444445,322.42913436445616,708,0.0,1.0535714285714286,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,50,0.25,124191884.30705659,38809.963845955186,50.0,51200.0,0.6251304767751815,0.3695676166949131,0.3689288677960053,0.625,0.2894270089294183,0.0,0.2139288142524725,0.6098977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0050390625,294.3627821258023,837,0.0,1.04625,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,50,0.25,124191884.30705659,38809.963845955186,50.0,51200.0,0.6232333913746537,0.36856853817232205,0.36793397902554736,0.635,0.28601299488690823,0.0,0.21648856820228013,0.6173977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0050390625,294.3627821258023,837,0.0,1.04625,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,50,0.25,124191884.30705659,38809.963845955186,50.0,51200.0,0.6438269253621663,0.39113047455494676,0.39051522796842497,0.6512500000000001,0.2996280948306792,0.0,0.2313173696757018,0.6298977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0050390625,294.3627821258023,837,0.0,1.04625,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,50,0.25,124191884.30705659,38809.963845955186,50.0,51200.0,0.6183145989886645,0.36423818046803513,0.3636064844498703,0.62375,0.2898765490355434,0.0,0.20558966616926258,0.5948977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0050390625,294.3627821258023,837,0.0,1.04625,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,58,0.29,144062585.79618564,45019.55806130802,58.0,59392.0,0.606872683816103,0.3471001672185374,0.3464430509237666,0.6025,0.2645551139612472,0.0,0.19405606840201328,0.5811477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005546875,155.32964624018544,979,0.0,1.0549568965517242,0.0,5.387931034482758e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,58,0.29,144062585.79618564,45019.55806130802,58.0,59392.0,0.6016659391571033,0.3419493943715415,0.34128847817352215,0.60875,0.2667705532636463,0.0,0.19317865767310444,0.5873977216369077,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005546875,155.32964624018544,979,0.0,1.0549568965517242,0.0,5.387931034482758e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,58,0.29,144062585.79618564,45019.55806130802,58.0,59392.0,0.6255491893447584,0.37033623075739563,0.3697019514893364,0.6300000000000001,0.2832899315381441,0.0,0.21453504500276485,0.6086477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005546875,155.32964624018544,979,0.0,1.0549568965517242,0.0,5.387931034482758e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,58,0.29,144062585.79618564,45019.55806130802,58.0,59392.0,0.6096435068119486,0.35228658579059524,0.3516403349656496,0.61,0.2708619175473266,0.0,0.19413915395312195,0.5786477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005546875,155.32964624018544,979,0.0,1.0549568965517242,0.0,5.387931034482758e-06,0.0
