method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,jump_count_mean,jump_count_applied_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,0,0.0,0.0,0.0,0.0,0.0,0.7390509753601684,0.5211292174808432,0.5206301820994098,0.80125,0.5321273249317323,0.0,0.36550095012754413,0.7311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,0,0.0,0.0,0.0,0.0,0.0,0.7375168174127035,0.5183136704399056,0.5178152209043162,0.8025,0.5340440712099962,0.0,0.36550095012754413,0.7311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,0,0.0,0.0,0.0,0.0,0.0,0.7367577094673599,0.5182355852255801,0.5177364056382204,0.79,0.531749766425756,0.0,0.36550095012754413,0.7311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,0,0.0,0.0,0.0,0.0,0.0,0.7387267409533778,0.5200413063444187,0.5195426346710348,0.7975,0.5319709543366533,0.0,0.36550095012754413,0.7311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,8,0.04,25600.0,8.0,8.0,0.0,0.7129020180009679,0.4859882788406734,0.48544877468543435,0.745,0.4653718441288459,0.0,0.3254390930902886,0.7098977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005195312499999999,133,1.0390625,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,8,0.04,25600.0,8.0,8.0,0.0,0.7152488521857108,0.48306681381328964,0.4825171102703002,0.74375,0.4681846199742353,0.0,0.3232814493357135,0.7098977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005195312499999999,133,1.0390625,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,8,0.04,25600.0,8.0,8.0,0.0,0.7145865098587836,0.48302820086288556,0.4824777244198927,0.745,0.46268992529541797,0.0,0.32201591292663234,0.7073977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005195312499999999,133,1.0390625,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,8,0.04,25600.0,8.0,8.0,0.0,0.7161466081262287,0.488350877390503,0.4878093096619154,0.745,0.4658012878665835,0.0,0.32767947714092516,0.7136477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005195312499999999,133,1.0390625,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,17,0.085,54400.0,17.0,17.0,0.0,0.6961325521145789,0.45641168163883794,0.45582858638954205,0.7175,0.44079150630271324,0.0,0.29707456551474176,0.6886477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005069444444444444,279,1.025735294117647,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,17,0.085,54400.0,17.0,17.0,0.0,0.6977907631820967,0.4577682763723887,0.4571827286639447,0.7150000000000001,0.44183067282309396,0.0,0.29831533064468696,0.6873977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005069444444444444,279,1.025735294117647,0.0,0.0,0.0
