schema_version,method,seed,seeds,warmup_steps,burn_in_steps,steps_per_draw,dt,equilibrium_initialized,initialization_method,n_draws_per_chain,n_chains,trace_start,trace_stop,trace_interval,gradient_evals,potential_evals,score_quadrature_evals,worst_basin_name,worst_basin_ess,worst_basin_ess_per_gradient_eval,worst_basin_ess_per_potential_eval,worst_basin_ess_per_score_quadrature_eval,label_transition_count,no_label_transition_chain_count,all_chains_no_label_transition,kind,name,index,mean,target,signed_bias,absolute_bias,sample_sd,iat,iat_saved_draws,iat_sampler_time,iat_min_chain,iat_median_chain,iat_max_chain,ess,rhat,mcse,constant_chain_count,finite_iat_chain_count,ess_per_gradient_eval,ess_per_potential_eval,ess_per_score_quadrature_eval,basin_id,basin_transition_count,no_basin_transition_chain_count,unvisited_chain_count,always_in_basin_chain_count,unvisited
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_10,10,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,nan,nan,10,0,32,32,0,True
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_11,11,0.0353125,0.025,0.010312499999999995,0.010312499999999995,0.18457137352457353,2000.2669605113615,2000.2669605113615,200.0266960511248,124.91204940711467,125.01677275602756,inf,15.99786460094272,1.785914168836167,0.046145922857650665,30,2,2.4996663438972998e-05,nan,nan,11,87,30,30,0,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_12,12,0.0288125,0.025,0.0038125,0.0038125,0.16728184097264556,1348.5825053673732,1348.5825053673732,134.85825053672966,42.14320329273041,42.14320329273041,inf,23.728618658954606,3.711366735685777,0.034340971008956396,31,1,3.707596665461657e-05,nan,nan,12,24,31,31,0,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_13,13,0.03125,0.025,0.006249999999999999,0.006249999999999999,0.17399535503710065,inf,inf,inf,inf,inf,inf,0.0,4893844226380972.0,nan,32,0,0.0,nan,nan,13,0,32,31,1,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_14,14,0.0271875,0.025,0.0021874999999999985,0.0021874999999999985,0.1626319967909125,2000.2669605113615,2000.2669605113615,200.0266960511248,124.91204940711467,125.01677275602756,inf,15.99786460094272,1.5725026927952293,0.040660712627248026,30,2,2.4996663438972998e-05,nan,nan,14,87,30,30,0,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_15,15,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,nan,nan,15,0,32,32,0,True
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_16,16,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,nan,nan,16,0,32,32,0,True
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_17,17,0.030625,0.025,0.005624999999999998,0.005624999999999998,0.17230216808316776,1747.927596781959,1747.927596781959,174.79275967818597,78.0449852588766,130.02636981324721,inf,18.30739445896612,1.6547543970114216,0.040269614548030644,30,2,2.860530384213456e-05,nan,nan,17,33,30,30,0,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_18,18,3.125e-05,0.025,-0.02496875,0.02496875,0.005590169943749473,32.0,32.0,3.199999999999818,1.0,1.0,inf,1000.0,1.0,0.00017677669529663685,31,1,0.0015625,nan,nan,18,2,31,31,0,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_19,19,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,nan,nan,19,0,32,32,0,True
