schema_version,method,seed,seeds,warmup_steps,burn_in_steps,steps_per_draw,dt,equilibrium_initialized,initialization_method,n_draws_per_chain,n_chains,trace_start,trace_stop,trace_interval,wallclock_s,gradient_evals,potential_evals,score_quadrature_evals,worst_basin_name,worst_basin_ess,worst_basin_ess_per_second,worst_basin_ess_per_gradient_eval,worst_basin_ess_per_potential_eval,worst_basin_ess_per_score_quadrature_eval,label_transition_count,no_label_transition_chain_count,all_chains_no_label_transition,kind,name,index,mean,target,signed_bias,absolute_bias,sample_sd,iat,iat_saved_draws,iat_sampler_time,iat_min_chain,iat_median_chain,iat_max_chain,ess,rhat,mcse,constant_chain_count,finite_iat_chain_count,ess_per_second,ess_per_gradient_eval,ess_per_potential_eval,ess_per_score_quadrature_eval,basin_id,basin_transition_count,no_basin_transition_chain_count,unvisited_chain_count,always_in_basin_chain_count,unvisited
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_10,10,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,0.0,0.0,nan,10,0,32,32,0,True
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_11,11,0.0263125,0.025,0.0013124999999999977,0.0013124999999999977,0.16006546472781444,1047.6322772125734,1047.6322772125734,104.76322772125138,44.80323858615612,83.19001753771114,inf,30.545068814739214,1.4365438342145425,0.028961902418418343,30,2,0.08067969196110715,4.772667002303002e-05,4.772667002303002e-05,nan,11,79,30,30,0,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_12,12,0.022625,0.025,-0.002375000000000002,0.002375000000000002,0.14870709610258506,3994.0392053851565,3994.0392053851565,399.40392053849297,212.6977954964256,257.386532281231,inf,8.011939381279596,1.8910803760331354,0.05253670916087195,30,2,0.021162198232822022,1.2518655283249369e-05,1.2518655283249369e-05,nan,12,31,30,30,0,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_13,13,0.03125,0.025,0.006249999999999999,0.006249999999999999,0.17399535503710065,inf,inf,inf,inf,inf,inf,0.0,4893844226380972.0,nan,32,0,0.0,0.0,0.0,nan,13,0,32,31,1,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_14,14,0.0361875,0.025,0.011187499999999996,0.011187499999999996,0.18675935000479343,1047.6322772125732,1047.6322772125732,104.76322772125137,44.80323858615611,83.19001753771114,inf,30.545068814739217,1.6778208838100976,0.03379183685727408,30,2,0.08067969196110716,4.772667002303003e-05,4.772667002303003e-05,nan,14,79,30,30,0,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_15,15,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,0.0,0.0,nan,15,0,32,32,0,True
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_16,16,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,0.0,0.0,nan,16,0,32,32,0,True
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_17,17,0.02096875,0.025,-0.00403125,0.00403125,0.14328190072950125,8912.324010309883,8912.324010309883,891.2324010309377,278.51012532218385,278.51012532218385,inf,3.5905337331746483,2.429694126648505,0.07561567414701416,31,1,0.00948379449807332,5.610208958085388e-06,5.610208958085388e-06,nan,17,7,31,31,0,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_18,18,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,0.0,0.0,nan,18,0,32,32,0,True
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_19,19,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,0.0,0.0,nan,19,0,32,32,0,True
