method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,gamma,integrator,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,25,0.125,80000.0,25.0,25.0,0.0,0.7354327050631472,0.5177983597283509,0.5172978125089182,0.785,0.5269410893663953,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,25,0.125,80000.0,25.0,25.0,0.0,0.7374225294418271,0.5203278684388267,0.5198275184959279,0.785,0.5270433443655089,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,33,0.165,105600.0,33.0,33.0,0.0,0.7336644376528557,0.5146783559431967,0.5141781850515109,0.7837500000000001,0.5211998139073032,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,33,0.165,105600.0,33.0,33.0,0.0,0.7331870687093599,0.513939404701527,0.5134391588737139,0.7812500000000001,0.5214952125090315,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,33,0.165,105600.0,33.0,33.0,0.0,0.7339841197934385,0.5165997891468217,0.5160983396790296,0.7775,0.5231078744113313,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,33,0.165,105600.0,33.0,33.0,0.0,0.7360830312710798,0.5192063576603974,0.5187052094709872,0.78,0.5235203401703832,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,42,0.21,134400.0,42.0,42.0,0.0,0.7315011214659348,0.5128833596141016,0.5123819366249868,0.7775000000000001,0.5175122590285544,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,42,0.21,134400.0,42.0,42.0,0.0,0.7311225104034358,0.5123446044310589,0.5118431973532215,0.775,0.5184356084830797,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,42,0.21,134400.0,42.0,42.0,0.0,0.7321708580816896,0.5150840526925335,0.5145813815009318,0.7712500000000001,0.519215189103045,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,42,0.21,134400.0,42.0,42.0,0.0,0.734245931243882,0.5175843369477457,0.5170821094500475,0.77375,0.5196687310027323,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,50,0.25,160000.0,50.0,50.0,0.0,0.7294497783328124,0.5111485716638974,0.5106459050271952,0.7725000000000001,0.5149067467225077,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,50,0.25,160000.0,50.0,50.0,0.0,0.7292081924051292,0.510877865742365,0.510375269890491,0.76875,0.5162544344430946,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,50,0.25,160000.0,50.0,50.0,0.0,0.7303963138626006,0.5135589875712949,0.5130550828038357,0.7675000000000001,0.516475944792532,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,50,0.25,160000.0,50.0,50.0,0.0,0.7323783580064955,0.5158714038703727,0.5153680593244123,0.77,0.5166779898800612,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,58,0.29,185600.0,58.0,58.0,0.0,0.727221397884357,0.5092471645613199,0.5087431041758507,0.7675000000000001,0.5132009871948007,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
