method,FES_RMSE_kBT_mean,FES_RMSE_kBT_std,FES_outside_mass_mean,FES_outside_mass_std,MMD_mean,MMD_std,TV_mean,TV_std,V_evals_per_step,W2_mean,W2_std,basin_KL_target_mean,basin_KL_target_std,basin_map_outside_mass_mean,basin_map_outside_mass_std,grad_evals_per_step,jump_applied_rate_per_particle_time_cumulative,jump_boundary_applied_count_cumulative,jump_boundary_clip_count_cumulative,jump_boundary_clip_fraction_per_applied_jump_cumulative,jump_cap_excess_count_cumulative,jump_cap_hit_count_cumulative,jump_cap_hit_fraction_cumulative,jump_cap_k,jump_count_applied_cumulative,jump_count_cumulative,jump_count_mean,jump_rate_per_particle_time_cumulative,m_clip_fraction,nonfinite_count,nonfinite_count_mean,nonfinite_count_std,nonfinite_frac,nonfinite_proposal_count_cumulative,nonfinite_proposal_fraction_cumulative,score_clip_count_cumulative,score_clip_fraction_cumulative,score_quad_evals_per_step,state_box_clip_count_cumulative,state_box_clip_fraction_cumulative,time_to_threshold_TV,wallclock_mean_s,wallclock_std_s
CP,1.4182617501427446,0.08654233764683586,0.0008750000000000001,0.00102469507659596,0.10141972934677643,0.00918961812720059,0.10169435028623772,0.01415590208104459,0.0,0.29546284613312057,0.020152620600668476,0.03597980005657499,0.007636493789228318,0.0,0.0,16000.0,1.00144,1602304,11,6.865114235500878e-06,0,0,0.0,8,1602304,1602304,0.0020176518883415436,1.00144,,0,0.0,0.0,0.0,0,0.0,,,0.0,8,1e-08,inf,792.961303466931,0.0
LSC-CP-RA-8,1.6825641414802162,0.05356478605007526,0.0044375,0.001631716887208072,0.06821744920019068,0.008673679700894289,0.06696502777806662,0.013445391939920563,0.0,0.22552517488782622,0.015435171379716122,0.012524960898885374,0.005314590324084164,0.0,0.0,16000.0,0.99863625,1597818,47,2.9415114862894273e-05,,,,,1597818,1597818,0.001993739737274215,0.99863625,0.002124538177339895,0,0.0,0.0,0.0,0,0.0,1701386,0.0021267325,4096000.0,35,4.375e-08,46.412,1543.5773071059375,0.0
