epsilon,method,seed,metric,threshold,bias_floor,first_crossing_time,persistent_reached,censored,mixing_time,final_metric_value,N_particles,n_recorded_points,persistence_records,record_dt,T_final
0.4,Langevin,0,KDE_chi2,0.05,0.006489530444972148,4.714589968397829,True,False,5.073796823132901,0.0026688661499150675,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,0,bin_chi2_M40,0.06,0.01172204444444444,4.714589968397829,True,False,4.894193395765365,0.006182222222222223,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,0,bin_chi2_M80,0.1,0.01881497777777777,3.951275402085799,True,False,4.085977972611452,0.010875555555555555,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,0,bin_chi2_M120,0.14,0.026531733333333328,3.5920685473507263,True,False,3.7716719747182625,0.024993333333333333,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,0,well_TV,0.075,0.020319999999999987,5.837111389444931,True,False,6.241219101021887,0.004333333333333356,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,0,CDF_sup,0.07308624999999994,0.024362083333333312,5.971813959970582,True,False,6.241219101021887,0.009250000000000008,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,0,W1,0.12890064975511223,0.04296688325170407,6.241219101021887,True,False,6.241219101021887,0.010542383171749794,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,1,KDE_chi2,0.05,0.006489530444972148,4.804391682081596,True,False,4.939094252607249,0.00269743684237983,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,1,bin_chi2_M40,0.06,0.01172204444444444,4.714589968397829,True,False,4.894193395765365,0.00658,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,1,bin_chi2_M80,0.1,0.01881497777777777,3.951275402085799,True,False,4.265581399978988,0.014288888888888886,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,1,bin_chi2_M120,0.14,0.026531733333333328,3.457365976825074,True,False,3.6369694041926106,0.017293333333333334,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,1,well_TV,0.075,0.020319999999999987,5.702408818919278,True,False,6.196318244180003,0.005499999999999949,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,1,CDF_sup,0.07308624999999994,0.024362083333333312,5.926913103128698,True,False,6.3310208147056555,0.010333333333333358,6000,401,4,0.04490085684188408,17.96034273675363
0.4,Langevin,1,W1,0.12890064975511223,0.04296688325170407,6.016714816812467,True,False,6.3310208147056555,0.010705906599999154,6000,401,4,0.04490085684188408,17.96034273675363
