epsilon,method,metric,median_mixing_time,q10_mixing_time,q90_mixing_time,n_points,n_censored,censoring_fraction,maximum_censoring_time,threshold,bias_floor,N_particles
0.045,LSC-CP,well_TV,1.92,1.8800000000000001,1.96,8,0,0.0,16.0,0.075,0.013308333333333349,6000
0.045,Langevin,CDF_sup,1522.5690651103246,1473.046057456217,1559.4479005974258,8,0,0.0,4214.724055668718,0.06017125000000002,0.02005708333333334,6000
0.045,Langevin,KDE_chi2,410.9355954277001,397.23774224677675,424.63344860862344,8,0,0.0,4214.724055668718,0.47960137863220137,0.1598671262107338,6000
0.045,Langevin,W1,1828.1365591463068,1695.3727513927422,1878.7132478143315,8,0,0.0,4214.724055668718,0.08130969135111579,0.027103230450371933,6000
0.045,Langevin,bin_chi2_M120,753.3819249507835,744.952476839446,772.3481832012927,8,0,0.0,4214.724055668718,0.14,0.027484133333333327,6000
0.045,Langevin,bin_chi2_M40,1053.6810139171796,1032.6073936388361,1070.5399101398546,8,0,0.0,4214.724055668718,0.06,0.009643022222222214,6000
0.045,Langevin,bin_chi2_M80,885.0920516904309,871.3941985095075,919.8635251496979,8,0,0.0,4214.724055668718,0.1,0.017831066666666662,6000
0.045,Langevin,well_TV,1348.71169781399,1327.6380775356463,1410.8788776351037,8,0,0.0,4214.724055668718,0.075,0.013308333333333349,6000
0.05,LSC-CP,CDF_sup,2.08,2.028,2.132,8,0,0.0,16.0,0.06647874999999992,0.022159583333333305,6000
0.05,LSC-CP,KDE_chi2,0.6,0.6,0.612,8,0,0.0,16.0,0.3765943211024691,0.1255314403674897,6000
0.05,LSC-CP,W1,2.16,2.108,2.212,8,0,0.0,16.0,0.11222199072519307,0.03740733024173102,6000
0.05,LSC-CP,bin_chi2_M120,1.1,1.08,1.16,8,0,0.0,16.0,0.14,0.024619066666666665,6000
0.05,LSC-CP,bin_chi2_M40,1.54,1.48,1.572,8,0,0.0,16.0,0.06,0.00993522222222222,6000
0.05,LSC-CP,bin_chi2_M80,1.28,1.268,1.32,8,0,0.0,16.0,0.1,0.019627333333333326,6000
0.05,LSC-CP,well_TV,1.96,1.908,2.012,8,0,0.0,16.0,0.075,0.020203333333333327,6000
0.05,Langevin,CDF_sup,773.336002805306,748.1066012953456,800.2108000659158,8,0,0.0,2193.8610008661162,0.06647874999999992,0.022159583333333305,6000
0.05,Langevin,KDE_chi2,255.03634135068597,246.80936259743805,264.90871585458353,8,0,0.0,2193.8610008661162,0.3765943211024691,0.1255314403674897,6000
0.05,Langevin,W1,808.9862440693803,773.336002805306,820.5040143239274,8,0,0.0,2193.8610008661162,0.11222199072519307,0.03740733024173102,6000
0.05,Langevin,bin_chi2_M120,394.8949801559009,382.28027940092073,399.83116740784965,8,0,0.0,2193.8610008661162,0.14,0.024619066666666665,6000
0.05,Langevin,bin_chi2_M40,553.9499027186944,546.8198544658794,564.9192077230249,8,0,0.0,2193.8610008661162,0.06,0.00993522222222222,6000
0.05,Langevin,bin_chi2_M80,460.71081018188437,453.5807619290695,471.13164993599844,8,0,0.0,2193.8610008661162,0.1,0.019627333333333326,6000
0.05,Langevin,well_TV,710.262499030405,689.420819522177,734.943435290149,8,0,0.0,2193.8610008661162,0.075,0.020203333333333327,6000
0.055,LSC-CP,CDF_sup,2.1,2.028,2.184,8,0,0.0,16.0,0.06411499999999998,0.02137166666666666,6000
0.055,LSC-CP,KDE_chi2,0.76,0.72,0.8,8,0,0.0,16.0,0.3025454772094072,0.10084849240313574,6000
0.055,LSC-CP,W1,2.32,2.216,2.356,8,0,0.0,16.0,0.09902262458490849,0.033007541528302826,6000
0.055,LSC-CP,bin_chi2_M120,1.12,1.08,1.1320000000000001,8,0,0.0,16.0,0.14,0.0252294,6000
0.055,LSC-CP,bin_chi2_M40,1.52,1.44,1.544,8,0,0.0,16.0,0.06,0.01056991111111111,6000
0.055,LSC-CP,bin_chi2_M80,1.28,1.24,1.32,8,0,0.0,16.0,0.1,0.018161866666666658,6000
