epsilon,method,metric,estimator,seed,observed_mixing_time,censored,accepted,acceptance_reason,n_fit,window_start,window_end,window_initial_value,window_final_value,slope_log_chi2,slope_standard_error,lambda_eff,log_R2,residual_RMSE_log,predicted_threshold_time,noise_cutoff,upper_window_cutoff,predicted_to_observed_ratio
0.04,LSC-CP,bin_chi2_M120,seed,3,1.12,False,True,accepted,22,0.24,1.08,0.7354733333333334,0.14323333333333332,-1.9751457378028918,0.03348212400179783,0.9875728689014459,0.9942856233220355,0.03799889188438572,1.0798731437941154,0.047837733333333333,0.8,
0.04,LSC-CP,bin_chi2_M120,seed,4,1.08,False,True,accepted,22,0.2,1.04,0.7849933333333334,0.15137333333333336,-1.9637161438440596,0.03481204227668575,0.9818580719220298,0.9937538786720562,0.03950821730053379,1.077943998155034,0.047837733333333333,0.8,
0.04,LSC-CP,bin_chi2_M120,seed,5,1.12,False,True,accepted,22,0.24,1.08,0.7406333333333334,0.14736000000000002,-1.9255127625244517,0.035165004347926666,0.9627563812622258,0.9933736983799105,0.03990879426463716,1.105153057321179,0.047837733333333333,0.8,
0.04,LSC-CP,bin_chi2_M120,seed,6,1.12,False,True,accepted,22,0.24,1.08,0.70746,0.14115333333333335,-1.9135770956214886,0.04753923683828604,0.9567885478107443,0.987806888948559,0.05395232156679311,1.0866022466062069,0.047837733333333333,0.8,
0.04,LSC-CP,bin_chi2_M120,seed,7,1.12,False,True,accepted,22,0.24,1.08,0.7348666666666668,0.15259999999999999,-1.9888357481538332,0.03639958166599268,0.9944178740769166,0.9933453501566181,0.04130991714529987,1.0736770172151762,0.047837733333333333,0.8,
0.04,LSC-CP,bin_chi2_M40,seed,0,1.44,False,True,accepted,30,0.24,1.4000000000000001,0.7539733333333333,0.06801777777777776,-1.989825403070191,0.026303055647595133,0.9949127015350955,0.995131212220052,0.04818750424010087,1.5119771464990341,0.01899128888888888,0.8,
0.04,LSC-CP,bin_chi2_M40,seed,1,1.52,False,True,accepted,33,0.2,1.48,0.79196,0.07102888888888888,-1.9903987763783686,0.03716415281580264,0.9951993881891843,0.9893079379631189,0.07881137418446386,1.4963062246054735,0.01899128888888888,0.8,
0.04,LSC-CP,bin_chi2_M40,seed,2,1.48,False,True,accepted,31,0.24,1.44,0.7482755555555556,0.06792666666666666,-1.9917092352525543,0.03434635531275381,0.9958546176262771,0.9914497629844483,0.06617358174965284,1.5069654249876985,0.01899128888888888,0.8,
0.04,LSC-CP,bin_chi2_M40,seed,3,1.48,False,True,accepted,31,0.24,1.44,0.6989755555555556,0.07146,-2.008763047338428,0.03252205254794178,1.004381523669214,0.9924558956479155,0.06265877946439902,1.4622801549742268,0.01899128888888888,0.8,
0.04,LSC-CP,bin_chi2_M40,seed,4,1.48,False,True,accepted,32,0.2,1.44,0.7848200000000001,0.06399333333333333,-2.042351237733189,0.026769514883271495,1.0211756188665946,0.9948724630209531,0.054151228477613146,1.4588969920559862,0.01899128888888888,0.8,
0.04,LSC-CP,bin_chi2_M40,seed,5,1.56,False,True,accepted,29,0.24,1.36,0.7460977777777777,0.08173333333333332,-2.0067356320639527,0.03641460505659743,1.0033678160319763,0.9911876742868756,0.06332373131266181,1.4960259849513144,0.01899128888888888,0.8,
0.04,LSC-CP,bin_chi2_M40,seed,6,1.56,False,True,accepted,31,0.24,1.44,0.7356577777777777,0.06606444444444444,-2.0264331998517817,0.032772629369618674,1.0132165999258909,0.9924720922178691,0.0631415545839951,1.4768631113573845,0.01899128888888888,0.8,
0.04,LSC-CP,bin_chi2_M40,seed,7,1.48,False,True,accepted,31,0.24,1.44,0.7554133333333333,0.08784,-1.950213540236915,0.04505492836779943,0.9751067701184575,0.9847577984891783,0.086805308989051,1.5387913612196389,0.01899128888888888,0.8,
0.04,LSC-CP,bin_chi2_M80,seed,0,1.28,False,True,accepted,26,0.24,1.24,0.7246933333333333,0.1109511111111111,-1.9401103146045378,0.0390230123966022,0.9700551573022689,0.9903837996312406,0.05735188115878673,1.2608586470402197,0.03789644444444444,0.8,
