method,quantity,metric,estimator,epsilon_subset,preferred_AIC,preferred_BIC,preferred_LOO,selected_family,arrhenius_votes,polynomial_votes,delta_AIC_poly_minus_arr,delta_BIC_poly_minus_arr,delta_LOO_poly_minus_arr
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,46.65595470586001,46.65595470586001,0.04332952472968574
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,33.02373347509913,33.02373347509912,0.025245725022437247
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,51.91797745467738,51.91797745467738,0.1520512839166052
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,51.91797745467738,51.91797745467738,0.1520512839166052
Langevin,mixing_time,KDE_chi2,particle_threshold,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,170.68422588662764,170.68422588662764,0.7770212967196873
Langevin,mixing_time,KDE_chi2,particle_threshold,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,206.83163987601594,206.8316398760159,1.0042474143218718
Langevin,mixing_time,KDE_chi2,particle_threshold,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,270.3267743303203,270.32677433032023,1.429923410103636
Langevin,mixing_time,KDE_chi2,particle_threshold,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,189.16364434084568,189.16364434084568,1.0263162141336322
Langevin,mixing_time,KDE_chi2,particle_threshold,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,125.5395579177488,125.53955791774878,0.9512658538991907
Langevin,mixing_time,KDE_chi2,particle_threshold,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,170.68422588662764,170.68422588662764,0.7770212967196873
Langevin,mixing_time,KDE_chi2,particle_threshold,reliable_rate_window_only,polynomial,polynomial,arrhenius,polynomial,1,2,-4.602733202306823,-4.602733202306808,0.11051631989562871
Langevin,chi2_effective_rate,bin_chi2_M40,seed_mean_window,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,67.82968944194077,67.82968944194077,0.2957351299641142
Langevin,chi2_effective_rate,bin_chi2_M40,seed_mean_window,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,66.32196846734574,66.32196846734574,0.24631157309873924
Langevin,chi2_effective_rate,bin_chi2_M40,seed_mean_window,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,36.19427045821916,36.19427045821916,0.13002467554835231
Langevin,chi2_effective_rate,bin_chi2_M40,seed_mean_window,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,25.220897728814467,25.220897728814467,0.09934750919375514
Langevin,chi2_effective_rate,bin_chi2_M40,seed_mean_window,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,16.936753900504115,16.936753900504115,0.08407919403501886
Langevin,chi2_effective_rate,bin_chi2_M40,seed_mean_window,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,67.82968944194077,67.82968944194077,0.2957351299641142
Langevin,chi2_effective_rate,bin_chi2_M40,seed_mean_window,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,67.82968944194077,67.82968944194077,0.2957351299641142
Langevin,mixing_time,bin_chi2_M40,particle_threshold,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,557.9153219060205,557.9153219060205,1.8899090672338394
Langevin,mixing_time,bin_chi2_M40,particle_threshold,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,534.3279660498457,534.3279660498457,1.9386694412163363
Langevin,mixing_time,bin_chi2_M40,particle_threshold,lowest_12,arrhenius,arrhenius,polynomial,arrhenius,2,1,280.5124533164746,280.5124533164746,-0.07114838599698581
Langevin,mixing_time,bin_chi2_M40,particle_threshold,lowest_10,arrhenius,arrhenius,polynomial,arrhenius,2,1,196.26590809722813,196.26590809722813,-0.12440609746611098
Langevin,mixing_time,bin_chi2_M40,particle_threshold,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,132.93545369735673,132.93545369735673,0.17119528802268258
Langevin,mixing_time,bin_chi2_M40,particle_threshold,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,557.9153219060205,557.9153219060205,1.8899090672338394
