epsilon,metric,bias_floor_replicates,N_particles,KDE_bandwidth,bias_floor_mean,bias_floor_std,bias_floor_q95,bias_floor_max,threshold,threshold_above_bias_floor,threshold_rule
0.35,truncated_KDE_chi2,24,2400,0.0673939291753364,0.005213860134066075,0.001667148558213795,0.00806514035409795,0.009057869994123592,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.35,well_TV,24,2400,0.0673939291753364,0.009288194444444418,0.006360115909007207,0.01939583333333341,0.022083333333333233,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.35,W1,24,2400,0.0673939291753364,0.022621462028806133,0.012891409373215621,0.0512012594830314,0.051634850777433954,0.12908712694358487,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.35,CDF_sup,24,2400,0.0673939291753364,0.017682424872515142,0.006816713747221211,0.02944123936346573,0.03319903399810531,0.08299758499526327,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.3,truncated_KDE_chi2,24,2400,0.06458314992431465,0.005091424989855434,0.0018803134203941069,0.008754636648164093,0.009542905376178534,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.3,well_TV,24,2400,0.06458314992431465,0.008593750000000002,0.0072947069231191755,0.02200000000000009,0.023333333333333428,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.3,W1,24,2400,0.06458314992431465,0.021351533441679862,0.011507023894200717,0.04484645593537471,0.04725815339356147,0.11814538348390369,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.3,CDF_sup,24,2400,0.06458314992431465,0.016805541469189434,0.00629996514517702,0.027075290820243347,0.029005032813451986,0.07251258203362997,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.26,truncated_KDE_chi2,24,2400,0.06129791897257511,0.005360874291058362,0.0015435441299677481,0.007322092596155031,0.008234248473466738,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.26,well_TV,24,2400,0.06129791897257511,0.008246527777777778,0.006116298372134286,0.02145833333333326,0.02250000000000013,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.26,W1,24,2400,0.06129791897257511,0.019561654503431527,0.0073445360794737735,0.030503556950330586,0.03558221773714877,0.08895554434287192,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.26,CDF_sup,24,2400,0.06129791897257511,0.017009040023635347,0.005241784490435474,0.026616420161713342,0.028559584306058206,0.07139896076514551,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.22,truncated_KDE_chi2,24,2400,0.05753211211048985,0.005444247780172307,0.0016990026092788188,0.008475416529054976,0.009547046121851678,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.22,well_TV,24,2400,0.05753211211048985,0.0067708333333332885,0.0051300272856672985,0.01529166666666656,0.016666666666666607,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.22,W1,24,2400,0.05753211211048985,0.01792510642510103,0.007628141464026878,0.029610841213543435,0.03558421685921847,0.08896054214804618,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.22,CDF_sup,24,2400,0.05753211211048985,0.016161959785168517,0.004870526912828085,0.02315994309093626,0.024771053612706262,0.061927634031765655,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.2,truncated_KDE_chi2,24,2400,0.05549484612906062,0.005948221561169138,0.0018249252802532085,0.008970291755557844,0.009419742095467603,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.2,well_TV,24,2400,0.05549484612906062,0.009201388888888924,0.006893685265360056,0.02010416666666656,0.023333333333333428,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.2,W1,24,2400,0.05549484612906062,0.021185370692331663,0.010328506089229385,0.03629976176034817,0.038092181827018005,0.09523045456754502,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.2,CDF_sup,24,2400,0.05549484612906062,0.01753030048756361,0.005736748825143114,0.026471672536215653,0.026956319124864098,0.06739079781216024,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.18,truncated_KDE_chi2,24,2400,0.052923376610435065,0.005810546695541108,0.002121919361285469,0.009230380090168138,0.011439934977145547,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.18,well_TV,24,2400,0.052923376610435065,0.0060937499999999855,0.004961829695296017,0.013437500000000146,0.021250000000000213,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.18,W1,24,2400,0.052923376610435065,0.015996198909767428,0.006089306181659243,0.02697458188322211,0.031964107072202055,0.08,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.18,CDF_sup,24,2400,0.052923376610435065,0.015012799310154373,0.004095888398344976,0.021917370411217326,0.025455150588583775,0.06363787647145944,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.16,truncated_KDE_chi2,24,2400,0.04998018091849345,0.0064510996762884056,0.0016852160811774047,0.00891713150310079,0.010492537485859665,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.16,well_TV,24,2400,0.04998018091849345,0.0065798611111110685,0.0058835560149315385,0.012854166666666566,0.023333333333333206,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.16,W1,24,2400,0.04998018091849345,0.018360090488840523,0.008352269254318001,0.030933226760871436,0.04259241794643851,0.10648104486609627,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.16,CDF_sup,24,2400,0.04998018091849345,0.016596542190506006,0.004201473936439618,0.02297274267288213,0.025241892307378,0.063104730768445,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.14,truncated_KDE_chi2,24,2400,0.04668118944124035,0.006854936863762248,0.002127334260399155,0.010546166294359645,0.01371698989950259,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.14,well_TV,24,2400,0.04668118944124035,0.008715277777777761,0.006333281686796816,0.017854166666666737,0.024166666666666614,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.14,W1,24,2400,0.04668118944124035,0.019800273757758446,0.0105729502592305,0.032044977622829846,0.05208295795407317,0.1302073948851829,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.14,CDF_sup,24,2400,0.04668118944124035,0.01659825473125919,0.006656690458065205,0.02693627183760885,0.03734469942921509,0.09336174857303772,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.125,truncated_KDE_chi2,24,2400,0.0439093841568741,0.007481129260388281,0.0015813584915890372,0.009950253351498031,0.010284141246255294,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.125,well_TV,24,2400,0.0439093841568741,0.007829861111111109,0.005679890748691365,0.019479166666666516,0.020416666666666805,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.125,W1,24,2400,0.0439093841568741,0.018202982056414473,0.007859049863719225,0.03241229079000833,0.03518229710554989,0.08795574276387472,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.125,CDF_sup,24,2400,0.0439093841568741,0.01644061271858112,0.004548804234805962,0.023599606481450718,0.025300075157000057,0.06325018789250014,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.11,truncated_KDE_chi2,24,2400,0.04080645932605496,0.007664001314233687,0.0021716265665565914,0.01087974563518195,0.011946003495541143,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.11,well_TV,24,2400,0.04080645932605496,0.008749999999999992,0.006979741215805465,0.020229166666666687,0.02416666666666667,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.11,W1,24,2400,0.04080645932605496,0.019277459477395436,0.01073935305452186,0.04114647741334558,0.045241271152731195,0.11310317788182798,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.11,CDF_sup,24,2400,0.04080645932605496,0.017669586192638673,0.0046773504603397085,0.02668563585647814,0.02865089815416516,0.0716272453854129,True,"max(0.06, 2.5 * maximum target-sampling floor)"
