method,metric,epsilon_subset,preferred_AIC,preferred_BIC,preferred_LOO,arrhenius_votes,polynomial_votes,selected_family,delta_AIC_poly_minus_arr,delta_BIC_poly_minus_arr,delta_LOO_poly_minus_arr
Langevin,CDF_sup,uncensored_only,arrhenius,arrhenius,arrhenius,3,0,arrhenius,150.41402316416543,150.41402316416543,0.9974258778551093
LSC-CP,truncated_KDE_chi2,all,arrhenius,arrhenius,arrhenius,3,0,arrhenius,70.50315964501195,70.50315964501195,0.4037222461315306
LSC-CP,truncated_KDE_chi2,exclude_largest_2,arrhenius,arrhenius,arrhenius,3,0,arrhenius,56.291675902192736,56.291675902192736,0.3675473725581275
LSC-CP,truncated_KDE_chi2,lowest_10,arrhenius,arrhenius,arrhenius,3,0,arrhenius,32.20700824473953,32.20700824473953,0.26924896649548935
LSC-CP,truncated_KDE_chi2,lowest_8,arrhenius,arrhenius,arrhenius,3,0,arrhenius,18.969620672511894,18.969620672511894,0.1556697488088563
LSC-CP,truncated_KDE_chi2,uncensored_only,arrhenius,arrhenius,arrhenius,3,0,arrhenius,39.9653611642778,39.9653611642778,0.2839653949254838
LSC-CP,well_TV,all,polynomial,polynomial,polynomial,0,3,polynomial,-19.672248939169066,-19.672248939169066,-0.19689149226717584
LSC-CP,well_TV,exclude_largest_2,polynomial,polynomial,polynomial,0,3,polynomial,-12.766724656016834,-12.766724656016834,-0.16668952740845522
LSC-CP,well_TV,lowest_10,polynomial,polynomial,polynomial,0,3,polynomial,-4.5203279391091655,-4.5203279391091655,-0.10508720830994611
LSC-CP,well_TV,lowest_8,polynomial,polynomial,polynomial,0,3,polynomial,-2.413357195124078,-2.413357195124078,-0.08138769028063919
LSC-CP,well_TV,uncensored_only,polynomial,polynomial,polynomial,0,3,polynomial,-19.672248939169066,-19.672248939169066,-0.19689149226717584
LSC-CP,W1,all,polynomial,polynomial,polynomial,0,3,polynomial,-3.804899228661327,-3.804899228661327,-0.09118130710110217
LSC-CP,W1,exclude_largest_2,arrhenius,arrhenius,polynomial,2,1,arrhenius,3.6978885669331305,3.6978885669331305,-0.03498717024642933
LSC-CP,W1,lowest_10,polynomial,polynomial,polynomial,0,3,polynomial,-3.039601636437247,-3.039601636437247,-0.18083447628254107
LSC-CP,W1,lowest_8,polynomial,polynomial,polynomial,0,3,polynomial,-1.352711297930341,-1.352711297930341,-0.15427186556639583
LSC-CP,W1,uncensored_only,polynomial,polynomial,polynomial,0,3,polynomial,-3.804899228661327,-3.804899228661327,-0.09118130710110217
LSC-CP,CDF_sup,all,polynomial,polynomial,polynomial,0,3,polynomial,-5.173249484261376,-5.173249484261376,-0.04215718765094628
LSC-CP,CDF_sup,exclude_largest_2,polynomial,polynomial,polynomial,0,3,polynomial,-1.4097435886802288,-1.4097435886802288,-0.059107825060628505
LSC-CP,CDF_sup,lowest_10,polynomial,polynomial,polynomial,0,3,polynomial,-1.1080191501895555,-1.1080191501895555,-0.08088630080630232
LSC-CP,CDF_sup,lowest_8,polynomial,polynomial,polynomial,0,3,polynomial,-0.5675583330391776,-0.5675583330391776,-0.07249012959867507
LSC-CP,CDF_sup,uncensored_only,polynomial,polynomial,polynomial,0,3,polynomial,-5.173249484261376,-5.173249484261376,-0.04215718765094628
