experiment,method,central_mass,central_x_left,central_x_right,central_score_max_abs,target_weighted_score_rms,full_grid_score_max_abs
double-well,LSC-CP,0.99,-1.4411164011006545,1.4311080608170808,3.9213462724594415,0.5359108765912302,1.8577018125798455e+307
triple-well,LSC-adjacent,0.99,-4.025361806726691,4.076483694763719,8.081927664236737,1.1370319055515352,1.729563163995547e+24
triple-well,LSC-overlong,0.99,-4.025361806726691,4.076483694763719,17.091348044447628,3.1293613277849386,6.678453696217175e+46
