method,primary_metric,form_gap,generator_abscissa,r_obs,r_obs_se,n_seed_fit,fit_t_min,fit_t_max,x_min,x_max,N,generator_abscissa_generator,row_sum_inf,stationary_residual_l1,stationary_residual_linf,stationary_bias_l1,stationary_bias_l1_projected,zero_eval_abs,stationary_vector_min,stationary_vector_negative_mass,stationary_vector_warning,score_clip_fraction,logratio_clip_fraction,abscissa_main_text_decision,form_gap_decision
Langevin,middle_error,0.0067874816428359,0.009343371749772,0.0126843006228329,0.0008354651294359,4,1.047375,3.561075,-15.0,15.0,140,0.009343371749772,1.7763568394002505e-15,0.0904636044315419,0.0080421461644421,0.0765607535062195,0.0765607535062195,5.942070554049595e-16,-6.510553147510372e-17,1.252113251880223e-16,False,0.0,0.0,shown as a labeled finite-dimensional rate reference; not used as a theorem bound,used as certified diagonal-form quantity
LSC-adjacent,middle_error,0.3881943394620701,0.7514790508028,-0.0393189692726468,0.1210532425082665,4,1.047375,3.561075,-15.0,15.0,140,0.7514790508028,9.943157408542902e-13,0.7946910347381259,0.1178398852016343,0.0460471325437339,0.0460471325437339,2.799509713034653e-13,4.232348107285397e-13,0.0,False,0.0,0.0,shown as a labeled finite-dimensional rate reference; not used as a theorem bound,used as certified diagonal-form quantity
LSC-overlong,middle_error,0.0905930161676336,2.6560506395098726,0.5968817224704068,0.2563002324350329,4,1.047375,3.561075,-15.0,15.0,140,2.6560506395098726,9.094947017729282e-13,1.7842527327923374,0.2793975734028839,0.0599260839510488,0.0599260839510488,9.414641999624785e-14,4.165730647120977e-07,0.0,False,0.0,0.0,shown as a labeled finite-dimensional rate reference; not used as a theorem bound,used as certified diagonal-form quantity
