method,selected_chi2_metric,n_epsilon,n_consistency_pass,all_consistency_pass,min_rate_window_R2,min_rate_window_n_points,min_predicted_to_observed_ratio,max_predicted_to_observed_ratio,min_lambda_eff_over_lambda_abs,median_lambda_eff_over_lambda_abs,max_lambda_eff_over_lambda_abs,min_lambda_mix_over_lambda_abs,median_lambda_mix_over_lambda_abs,max_lambda_mix_over_lambda_abs,min_lambda_form_over_lambda_abs,median_lambda_form_over_lambda_abs,max_lambda_form_over_lambda_abs,min_lambda_mix_over_lambda_eff,median_lambda_mix_over_lambda_eff,max_lambda_mix_over_lambda_eff
LSC-CP,bin_chi2_M80,20,20,True,0.9967302760722926,17,0.9478819530187227,1.0081517703751297,0.9480320455494744,0.9768136580651403,0.9926951740440845,0.6799728192604864,0.7234359101384054,0.7894769496601101,0.9148635189121102,0.9296403453229946,0.9788746352723012,0.687963298337437,0.7537024746723582,0.8002581628113582
Langevin,bin_chi2_M80,20,20,True,0.9984812153257396,72,0.9584350803730212,0.9968528038653297,0.9399925794570066,0.9472242922962424,0.952863430399131,0.7411693474575548,0.7969194167075759,0.8390497212960698,0.9999999998313029,1.000000000006958,1.000000008173734,0.7807779955515285,0.8405374949733795,0.8877618947744206
