method,quantity,metric,estimator,epsilon_subset,model_family,n_points,n_epsilon,n_censored,C_hat,parameter_name,parameter_hat,Delta_hat,alpha_hat,standard_error,bootstrap_ci_low,bootstrap_ci_high,bootstrap_C_ci_low,bootstrap_C_ci_high,bootstrap_successes,log_likelihood,log_RSS,log_R2,AIC,BIC,leave_one_out_error,residual_RMSE_log,converged,bootstrap_CI,bootstrap_C_CI,sigma_log_time,selected_fit
Langevin,spectral_gap,spectral_gap,deterministic,all,arrhenius,20,20,0,0.5438863802152574,Delta_hat,0.2705008747445175,0.2705008747445175,,0.003026534451025365,0.2632880789035105,0.27669652344219275,0.4927598431442692,0.5862882177515754,500,20.663277237929094,-1.908472516648264,0.9977517278043679,-35.32655447585819,-32.33935765519622,0.009523487697034098,0.08611235386391299,True,,,,True
Langevin,spectral_gap,spectral_gap,deterministic,all,polynomial,20,20,0,7.051455008272154,alpha_hat,2.538196908933513,,2.538196908933513,0.1623629122767272,2.111527430118739,2.966340605067777,3.4461510774318147,19.64372927047009,500,-13.51819244328932,1.5096744514735778,0.931398872099873,33.036384886578645,36.023581707240616,0.3056323746144064,0.4756709663004597,True,,,,False
LSC-CP,spectral_gap,spectral_gap,deterministic,all,arrhenius,20,20,0,1.2985219808971524,Delta_hat,0.015373772540948391,0.015373772540948391,,0.002369240120770087,0.010720934504334546,0.022351109916037906,1.202502431199241,1.384903616655945,500,25.560256034339556,-2.39817039628931,0.7005284661661082,-45.12051206867911,-42.13331524801714,0.005952603135550182,0.06741071247320944,True,,,,False
LSC-CP,spectral_gap,spectral_gap,deterministic,all,polynomial,20,20,0,1.5903215107969904,alpha_hat,0.17120579421935928,,0.17120579421935928,0.011811341331653059,0.1412298429815663,0.199374824244187,1.4731180232104952,1.6735640155914533,500,38.897284142372584,-3.731873207092613,0.9210893218388334,-71.79456828474517,-68.80737146408319,0.001580772006555416,0.03460342060726442,True,,,,True
Langevin,abscissa_rate,abscissa_rate,deterministic,all,arrhenius,20,20,0,0.5438863807776466,Delta_hat,0.27050087488791863,0.27050087488791863,,0.0030265344645246588,0.2630061643555363,0.2770505564270801,0.4963012822685129,0.586093566261483,500,20.663277148722813,-1.908472507727636,0.9977517277867355,-35.326554297445625,-32.339357476783654,0.009523487823153489,0.08611235424800112,True,,,,True
Langevin,abscissa_rate,abscissa_rate,deterministic,all,polynomial,20,20,0,7.051455020501564,alpha_hat,2.5381969099684465,,2.5381969099684465,0.16236291265350736,2.1233622986972422,3.0122984681743823,3.496499275100529,21.875010932775773,500,-13.518192489701418,1.5096744561147875,0.9313988718554285,33.03638497940284,36.02358180006481,0.305632376104545,0.47567096740430403,True,,,,False
LSC-CP,abscissa_rate,abscissa_rate,deterministic,all,arrhenius,20,20,0,1.4296569400548478,Delta_hat,0.018296711465539333,0.018296711465539333,,0.0020769930470763242,0.01377913978709296,0.02436431031707171,1.3348910181832045,1.5078812586398922,500,28.19321767994198,-2.6614665608495525,0.8117205036736918,-50.38643535988396,-47.39923853922199,0.00464744638196946,0.059095563964959595,True,,,,False
LSC-CP,abscissa_rate,abscissa_rate,deterministic,all,polynomial,20,20,0,1.7858085972688647,alpha_hat,0.19487517485927602,,0.19487517485927602,0.007159965784119396,0.17541807396744105,0.21243383458622422,1.7032588215071744,1.8408369337173236,500,48.90838409189975,-4.732983202045329,0.9762778099244513,-91.8167681837995,-88.82957136313752,0.0005815187696945682,0.020976390454277904,True,,,,True
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,all,arrhenius,18,18,0,0.5628592762696564,Delta_hat,0.28749675072782005,0.28749675072782005,,0.0037820154446512413,0.2794936578980861,0.29901161045647945,0.5072881305929997,0.6166448469248221,500,19.839033543295837,-2.151842368879385,0.9972387873185893,-33.678067086591675,-31.006951812903182,0.008471492676954129,0.08037058215173398,True,,,,True
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,all,polynomial,18,18,0,4.97593954378464,alpha_hat,2.371323622779068,,2.371323622779068,0.13514724497419853,2.013895877725867,2.77494613615306,2.751979062026283,11.131669704823857,500,-6.11995518404285,0.7324897119360249,0.950597450045726,18.239910368085702,20.911025641774195,0.16052277659355932,0.3399553399866022,True,,,,False
Langevin,mixing_time,KDE_chi2,particle_threshold,all,arrhenius,160,20,0,4.121133933011755,Delta_hat,0.21288263856165923,0.21288263856165923,,0.0019374034365777146,0.21235073611275176,0.21348783550022923,4.095824165125055,4.144928323305855,496,61.89315955403865,,0.9869213693478566,-117.7863191080773,-108.56079766237582,-0.21607405249818398,0.1643477317316446,True,"[0.21235074, 0.21348784]","[4.0958242, 4.1449283]",0.16434770485979955,True
Langevin,mixing_time,KDE_chi2,particle_threshold,all,polynomial,160,20,0,0.5001668549766268,alpha_hat,2.0411978086718925,,2.0411978086718925,0.03207507734103674,2.035973976863654,2.046514628286109,0.49495801471370166,0.5056962720723426,486,-23.448953389275168,,0.9619935431598949,52.897906778550336,62.12342822425182,0.5609472442215033,0.2801633159717813,True,"[2.035974, 2.0465146]","[0.49495801, 0.50569627]",0.2801633130527466,False
Langevin,chi2_effective_rate,bin_chi2_M40,seed_mean_window,all,arrhenius,20,20,0,0.5247422094944911,Delta_hat,0.2705920998410686,0.2705920998410686,,0.0030662235701525045,0.2630249683546251,0.27701483040035413,0.47781218507916395,0.5600408567118329,500,20.402707687034457,-1.8824155615588003,0.9976940637157246,-34.805415374068915,-31.818218553406943,0.0097719518337029,0.08724160698365374,True,,,,True
Langevin,chi2_effective_rate,bin_chi2_M40,seed_mean_window,all,polynomial,20,20,0,6.8119951439306154,alpha_hat,2.539251278134484,,2.539251278134484,0.16231376102299447,2.1585187721934123,3.003865032594,3.348366755002761,19.116034435368768,500,-13.512137033935929,1.5090689105382382,0.9314905793771804,33.02427406787186,36.01147088853383,0.3055070817978171,0.4755269689797041,True,,,,False
Langevin,mixing_time,bin_chi2_M40,particle_threshold,all,arrhenius,160,20,0,3.0155866683497803,Delta_hat,0.2659102895964348,0.2659102895964348,,0.0009824738356475243,0.26554444813207245,0.2663400842077949,2.9990877906856386,3.030523047121785,500,170.5380184024985,,0.9978205641598209,-335.076036804997,-325.8505153592955,-0.8753043293031462,0.08334212559443319,True,"[0.26554445, 0.26634008]","[2.9990878, 3.030523]",0.08334212530284861,True
Langevin,mixing_time,bin_chi2_M40,particle_threshold,all,polynomial,160,20,0,0.24480325940109582,alpha_hat,2.4915006916923317,,2.4915006916923317,0.054551550411910385,2.487807079518602,2.4948387770494054,0.2428784688903027,0.2468734420195627,500,-108.41964255051177,,0.9287612568126982,222.83928510102353,232.064806546725,1.0146047379306933,0.4764865574689083,True,"[2.4878071, 2.4948388]","[0.24287847, 0.24687344]",0.4764865524899968,False
Langevin,chi2_effective_rate,bin_chi2_M80,seed_mean_window,all,arrhenius,20,20,0,0.5165082543856214,Delta_hat,0.2707497397588381,0.2707497397588381,,0.0030034913873753853,0.26388243614170026,0.27712575650185683,0.46968910761984345,0.5536568356604737,500,20.816133470618325,-1.9237581399171875,0.9977898168755156,-35.63226694123665,-32.64507012057468,0.009365368833825568,0.08545672199081025,True,,,,True
Langevin,chi2_effective_rate,bin_chi2_M80,seed_mean_window,all,polynomial,20,20,0,6.7096745891083875,alpha_hat,2.540347158309694,,2.540347158309694,0.1626276379043052,2.093758999569133,2.9678056304848464,3.1618433678394737,17.738385511449668,500,-13.550775013580102,1.5129327085026558,0.9312988305067845,33.1015500271602,36.08874684782218,0.3064243760416886,0.4764465270076975,True,,,,False
Langevin,mixing_time,bin_chi2_M80,particle_threshold,all,arrhenius,160,20,0,2.539917653092019,Delta_hat,0.265656997653014,0.265656997653014,,0.000992305804485174,0.2652372279522352,0.2660716566241657,2.5259172416958435,2.555067284872458,499,168.94479805890649,,0.9977725905556002,-331.88959611781297,-322.6640746721115,-0.8595182486404911,0.08417616102217926,True,"[0.26523723, 0.26607166]","[2.5259172, 2.5550673]",0.0841761598957142,True
Langevin,mixing_time,bin_chi2_M80,particle_threshold,all,polynomial,160,20,0,0.2071250023738581,alpha_hat,2.4881179152107706,,2.4881179152107706,0.05480523422350204,2.483730506118863,2.4926579587013125,0.20505061190437307,0.20902750355332086,499,-109.16197249084952,,0.927963433515126,224.32394498169904,233.54946642740052,1.0191683935057687,0.4787023827097181,True,"[2.4837305, 2.492658]","[0.20505061, 0.2090275]",0.4787023817310971,False
Langevin,chi2_effective_rate,bin_chi2_M120,seed_mean_window,all,arrhenius,20,20,0,0.5104639001929314,Delta_hat,0.2708078500893283,0.2708078500893283,,0.0030550431713980883,0.2632379485810261,0.2774096338006666,0.46267878021172465,0.5501272759997505,500,20.475767147824314,-1.889721507637786,0.9977144487116437,-34.95153429564863,-31.964337474986657,0.009682172442137154,0.08692349712253726,True,,,,True
Langevin,chi2_effective_rate,bin_chi2_M120,seed_mean_window,all,polynomial,20,20,0,6.644200517154333,alpha_hat,2.541560335869994,,2.541560335869994,0.16217149806416864,2.0930899874980833,2.94821970986383,2.961920745239641,17.353592430713622,500,-13.494599970053125,1.507315204149958,0.9317181514196752,32.989199940106246,35.976396760768225,0.30481752263061834,0.47511018439420644,True,,,,False
Langevin,mixing_time,bin_chi2_M120,particle_threshold,all,arrhenius,160,20,0,2.248027035989406,Delta_hat,0.2643485396892047,0.2643485396892047,,0.0009687252289918915,0.26383676465982525,0.26487650572702454,2.234294473047163,2.262819569889328,494,172.79284915221672,,0.9978559486460614,-339.58569830443344,-330.36017685873196,-0.8735709157532066,0.0821758479703224,True,"[0.26383676, 0.26487651]","[2.2342945, 2.2628196]",0.08217584680469285,True
Langevin,mixing_time,bin_chi2_M120,particle_threshold,all,polynomial,160,20,0,0.18574593583882076,alpha_hat,2.4754899526208187,,2.4754899526208187,0.054609475726945717,2.4710048759212744,2.4805515941708647,0.18379360846323936,0.18771380230096402,500,-108.58944847225297,,0.9277612998376227,223.17889694450594,232.4044183902074,1.0177853328735975,0.47699251489874467,True,"[2.4710049, 2.4805516]","[0.18379361, 0.1877138]",0.476992508127565,False
LSC-CP,chi2_effective_rate,KDE_chi2,seed_mean_window,all,arrhenius,17,17,0,1.5831137326073454,Delta_hat,0.04636211551726579,0.04636211551726579,,0.0028093423168238504,0.039552992431848184,0.056897028721714066,1.4729313431137365,1.687595521130048,500,26.356806877538787,-3.10546453147534,0.9477976881694206,-46.713613755077574,-44.213973722908925,0.0038128708163655063,0.05133723622519804,True,,,,False
