method,quantity,metric,estimator,epsilon_subset,model_family,n_points,n_epsilon,n_censored,C_hat,parameter_name,parameter_hat,Delta_hat,alpha_hat,standard_error,bootstrap_ci_low,bootstrap_ci_high,bootstrap_C_ci_low,bootstrap_C_ci_high,bootstrap_successes,log_likelihood,log_RSS,log_R2,AIC,BIC,leave_one_out_error,residual_RMSE_log,converged,bootstrap_CI,bootstrap_C_CI,sigma_log_time,selected_fit
LSC-CP,chi2_effective_rate,KDE_chi2,seed_mean_window,all,polynomial,17,17,0,2.2347537533677184,alpha_hat,0.37492610491982276,,0.37492610491982276,0.006992646233281887,0.36022792997917485,0.3925418208810587,2.1782785159340112,2.3246860418608875,500,45.97706168918687,-5.413729803433937,0.9948093366096222,-85.95412337837374,-83.45448334620508,0.00035725513250867044,0.016188218186951448,True,,,,True
LSC-CP,mixing_time,KDE_chi2,particle_threshold,all,arrhenius,160,20,0,1.7875538608599522,Delta_hat,-0.05223369076107922,-0.05223369076107922,,0.002453616471190671,-0.0532652028397579,-0.051364150222663496,1.770661907426238,1.808125042732191,495,24.09888189413015,,0.7390727832779567,-42.1977637882603,-32.97224234255882,0.169873107306821,0.20813746148372536,True,"[-0.053265203, -0.05136415]","[1.7706619, 1.808125]",0.20813746275382197,True
LSC-CP,mixing_time,KDE_chi2,particle_threshold,all,polynomial,160,20,0,2.4285957387311505,alpha_hat,-0.4012311757147747,,-0.4012311757147747,0.034205419419243814,-0.4099943216646703,-0.39270322406955505,2.3892922304412187,2.472099012640578,492,-33.73771737520224,,0.462354728433896,73.47543475040447,82.70095619610595,0.5448107495301653,0.29877102560771057,True,"[-0.40999432, -0.39270322]","[2.3892922, 2.472099]",0.2987710202607653,False
LSC-CP,chi2_effective_rate,bin_chi2_M40,seed_mean_window,all,arrhenius,20,20,0,1.3852898665819906,Delta_hat,0.017490930665219038,0.017490930665219038,,0.0024978356067284933,0.012511598673040778,0.026160292376265902,1.2853518894066878,1.4939633292245877,500,24.503149634484316,-2.292459756303786,0.7314799137311552,-43.00629926896863,-40.01910244830666,0.006630527713741917,0.07106957054052816,True,,,,False
LSC-CP,chi2_effective_rate,bin_chi2_M40,seed_mean_window,all,polynomial,20,20,0,1.7356044450095431,alpha_hat,0.19233815376961763,,0.19233815376961763,0.011675944089058284,0.1625923109426836,0.22226223084388327,1.615938925446936,1.8324990541700976,500,39.127874847141,-3.7549322775694542,0.9377938917014523,-72.255749694282,-69.26855287362002,0.0015416041661014258,0.034206750355934464,True,,,,True
LSC-CP,mixing_time,bin_chi2_M40,particle_threshold,all,arrhenius,160,20,0,1.2203621486713958,Delta_hat,0.012233302954105359,0.012233302954105359,,0.0008111946912339375,0.011589882529645134,0.012857587926336126,1.2109993882582673,1.2311513797440499,497,201.1885142503035,,0.5870168660388309,-396.377028500607,-387.15150705490555,-1.085098783428226,0.06881271450473524,True,"[0.011589883, 0.012857588]","[1.2109994, 1.2311514]",0.06881271250108294,False
LSC-CP,mixing_time,bin_chi2_M40,particle_threshold,all,polynomial,160,20,0,1.0304733539940765,alpha_hat,0.13992836332390696,,0.13992836332390696,0.0052830946163352765,0.1340049585366819,0.14591331470607943,1.017488371014902,1.04541132364178,499,265.1218030128439,,0.8142799105614537,-524.2436060256878,-515.0180845799863,-1.533645188199165,0.04614577820643881,True,"[0.13400496, 0.14591331]","[1.0174884, 1.0454113]",0.04614577443059949,True
LSC-CP,chi2_effective_rate,bin_chi2_M80,seed_mean_window,all,arrhenius,20,20,0,1.383452355640945,Delta_hat,0.017869963832145917,0.017869963832145917,,0.002481604326123771,0.012968299997156676,0.026861153293816917,1.2799940542080877,1.4819491181257292,500,24.633536491735924,-2.305498442028947,0.7423196991335743,-43.26707298347185,-40.27987616280988,0.006511175932906224,0.07060775065983102,True,,,,False
LSC-CP,chi2_effective_rate,bin_chi2_M80,seed_mean_window,all,polynomial,20,20,0,1.7378853215272638,alpha_hat,0.1954464310162891,,0.1954464310162891,0.011487904893361009,0.16442255515584786,0.224708231730777,1.5995665788921403,1.8262271899148672,500,39.45259346622998,-3.7874041394783524,0.9414539294439945,-72.90518693245996,-69.91799011179798,0.0014578833864874704,0.033655856160545575,True,,,,True
LSC-CP,mixing_time,bin_chi2_M80,particle_threshold,all,arrhenius,160,20,0,1.0455914723685933,Delta_hat,0.011411116416802479,0.011411116416802479,,0.0008169028847786309,0.010857853419828508,0.012068754427953186,1.0370614778343952,1.0542925510923935,499,200.066572790372,,0.5494564733360651,-394.133145580744,-384.9076241350425,-1.0640738583990856,0.06929693421099173,True,"[0.010857853, 0.012068754]","[1.0370615, 1.0542926]",0.06929693199621276,False
LSC-CP,mixing_time,bin_chi2_M80,particle_threshold,all,polynomial,160,20,0,0.8892940265304635,alpha_hat,0.13248196399384968,,0.13248196399384968,0.005477752097468154,0.12664500691559874,0.137534116092223,0.8782142723154978,0.9019337501342507,500,259.33255979062096,,0.7852166483289795,-512.6651195812419,-503.43959813554045,-1.47733994796624,0.047846034795905615,True,"[0.12664501, 0.13753412]","[0.87821427, 0.90193375]",0.047846031745659,True
LSC-CP,chi2_effective_rate,bin_chi2_M120,seed_mean_window,all,arrhenius,20,20,0,1.357691341969173,Delta_hat,0.016853797464517366,0.016853797464517366,,0.0024044941392124823,0.012337465555083834,0.02412545808234315,1.267793591152814,1.4545951793418501,500,25.264850739949637,-2.368629866850318,0.731864149938614,-44.52970147989927,-41.5425046592373,0.006048482277846906,0.0684137760630549,True,,,,False
LSC-CP,chi2_effective_rate,bin_chi2_M120,seed_mean_window,all,polynomial,20,20,0,1.6862197979626394,alpha_hat,0.185081462767491,,0.185081462767491,0.011430794157172016,0.15500281541939195,0.21524348979329747,1.5638479796248341,1.777605791271683,500,39.5522690268243,-3.797371695537784,0.93575191443964,-73.1045380536486,-70.11734123298662,0.00145518901338986,0.03348854012335324,True,,,,True
LSC-CP,mixing_time,bin_chi2_M120,particle_threshold,all,arrhenius,160,20,0,0.9356212080473856,Delta_hat,0.009857055312694698,0.009857055312694698,,0.0008536210335791315,0.009174524409299544,0.010584237347823844,0.9276236830414588,0.9430739331290827,497,193.03183638776142,,0.45456076603348705,-380.06367277552283,-370.83815132982136,-1.0449339172979797,0.07241169129673478,True,"[0.0091745244, 0.010584237]","[0.92762368, 0.94307393]",0.07241169031617863,False
LSC-CP,mixing_time,bin_chi2_M120,particle_threshold,all,polynomial,160,20,0,0.8058922906363989,alpha_hat,0.1188773546231318,,0.1188773546231318,0.006138398018315646,0.1115894518918459,0.1265554018053775,0.7922456903400068,0.8186580568569437,498,241.1135294026075,,0.7009621239050385,-476.227058805215,-467.0015373595135,-1.3755530629277133,0.0536165177194648,True,"[0.11158945, 0.1265554]","[0.79224569, 0.81865806]",0.05361651662942348,True
