epsilon,replicate,metric,bias_floor_value,N_particles
0.4,10,bin_chi2_M40,0.008244444444444443,6000
0.4,10,bin_chi2_M80,0.016626666666666668,6000
0.4,10,bin_chi2_M120,0.01600666666666667,6000
0.4,11,KDE_chi2,0.003432886252930056,6000
0.4,11,well_TV,0.002666666666666595,6000
0.4,11,CDF_sup,0.009333333333333294,6000
0.4,11,W1,0.011138680411222636,6000
0.4,11,bin_chi2_M40,0.006257777777777778,6000
0.4,11,bin_chi2_M80,0.011733333333333333,6000
0.4,11,bin_chi2_M120,0.019633333333333336,6000
0.4,12,KDE_chi2,0.00401126842452133,6000
0.4,12,well_TV,0.0013333333333334085,6000
0.4,12,CDF_sup,0.006749999999999964,6000
0.4,12,W1,0.006477224768985327,6000
0.4,12,bin_chi2_M40,0.00494888888888889,6000
0.4,12,bin_chi2_M80,0.011155555555555557,6000
0.4,12,bin_chi2_M120,0.015393333333333332,6000
0.4,13,KDE_chi2,0.004166917857770021,6000
0.4,13,well_TV,0.011833333333333251,6000
0.4,13,CDF_sup,0.014124999999999983,6000
0.4,13,W1,0.021415557857143858,6000
0.4,13,bin_chi2_M40,0.011133333333333335,6000
0.4,13,bin_chi2_M80,0.013000000000000001,6000
0.4,13,bin_chi2_M120,0.021326666666666667,6000
0.4,14,KDE_chi2,0.003905791195641827,6000
0.4,14,well_TV,0.010333333333333306,6000
0.4,14,CDF_sup,0.012083333333333349,6000
0.4,14,W1,0.019331527114414833,6000
0.4,14,bin_chi2_M40,0.008562222222222221,6000
0.4,14,bin_chi2_M80,0.015297777777777776,6000
0.4,14,bin_chi2_M120,0.02246666666666667,6000
0.4,15,KDE_chi2,0.0030522522045063182,6000
0.4,15,well_TV,0.0008333333333333526,6000
0.4,15,CDF_sup,0.012916666666666677,6000
0.4,15,W1,0.009081088943162043,6000
0.4,15,bin_chi2_M40,0.0073777777777777765,6000
0.4,15,bin_chi2_M80,0.014591111111111109,6000
0.4,15,bin_chi2_M120,0.018673333333333333,6000
0.4,16,KDE_chi2,0.0024140241651903543,6000
0.4,16,well_TV,0.004166666666666652,6000
0.4,16,CDF_sup,0.009374999999999977,6000
0.4,16,W1,0.014518899997213234,6000
0.4,16,bin_chi2_M40,0.005684444444444446,6000
0.4,16,bin_chi2_M80,0.014324444444444445,6000
0.4,16,bin_chi2_M120,0.01565333333333333,6000
0.4,17,KDE_chi2,0.0024175259588243613,6000
0.4,17,well_TV,0.0001666666666666483,6000
0.4,17,CDF_sup,0.0051249999999999915,6000
0.4,17,W1,0.004667560362232489,6000
0.4,17,bin_chi2_M40,0.005795555555555554,6000
0.4,17,bin_chi2_M80,0.015368888888888889,6000
0.4,17,bin_chi2_M120,0.019153333333333338,6000
0.4,18,KDE_chi2,0.0020870133729850274,6000
