epsilon,overflow_guard_log_ratio,overflow_guard_fraction,max_abs_log_ratio,max_abs_score
0.35,690.0,0.061625,2254.5972372490824,3.495495526441477e+298
0.3,690.0,0.07944642857142857,2630.3634434572627,1.3034195449829417e+299
0.26,690.0,0.09891964285714286,3035.034742450687,1.9575551119163897e+299
0.22,690.0,0.1234375,3586.859241078085,2.4867145035324575e+299
0.2,690.0,0.13791071428571428,3945.545165185893,2.738476544462689e+299
0.18,690.0,0.15445535714285713,4383.939072428771,3.0038291772838074e+299
0.16,690.0,0.173125,4931.931456482367,3.158884378993928e+299
0.14,690.0,0.19439285714285715,5636.4930931227045,3.404700405791922e+299
0.125,690.0,0.21273214285714287,6312.87226429743,3.5483339730712874e+299
0.11,690.0,0.23333928571428572,7173.71848215617,3.63423915062324e+299
0.1,690.0,0.24870535714285713,7891.090330371786,3.828540510645438e+299
0.09,690.0,0.2656339285714286,8767.878144857543,3.892749297188614e+299
0.08,690.0,0.28425,9863.862912964734,3.892749297188625e+299
0.07,690.0,0.30526785714285715,11272.986186245409,4.043769836152658e+299
0.06,690.0,0.32975,13151.817217286312,4.179682976820987e+299
0.05,690.0,0.35741964285714284,15782.180660743572,4.179682976820987e+299
