method,quantity,metric,estimator,epsilon_subset,model_family,n_points,n_epsilon,n_censored,C_hat,parameter_name,parameter_hat,Delta_hat,alpha_hat,standard_error,bootstrap_ci_low,bootstrap_ci_high,bootstrap_C_ci_low,bootstrap_C_ci_high,bootstrap_successes,log_likelihood,log_RSS,log_R2,AIC,BIC,leave_one_out_error,residual_RMSE_log,converged,bootstrap_CI,bootstrap_C_CI,sigma_log_time,selected_fit
Langevin,spectral_gap,spectral_gap,deterministic,all,arrhenius,20,20,0,0.5438863802152574,Delta_hat,0.2705008747445175,0.2705008747445175,,0.003026534451025365,0.2632880789035105,0.27669652344219275,0.4927598431442692,0.5862882177515754,500,20.663277237929094,-1.908472516648264,0.9977517278043679,-35.32655447585819,-32.33935765519622,0.009523487697034098,0.08611235386391299,True,,,,True
Langevin,spectral_gap,spectral_gap,deterministic,all,polynomial,20,20,0,7.051455008272154,alpha_hat,2.538196908933513,,2.538196908933513,0.1623629122767272,2.111527430118739,2.966340605067777,3.4461510774318147,19.64372927047009,500,-13.51819244328932,1.5096744514735778,0.931398872099873,33.036384886578645,36.023581707240616,0.3056323746144064,0.4756709663004597,True,,,,False
Langevin,spectral_gap,spectral_gap,deterministic,exclude_largest_2,arrhenius,18,18,0,0.5128711854266851,Delta_hat,0.2668781722923801,0.2668781722923801,,0.0025368277824091385,0.2601542360324332,0.2724261274856798,0.4713393772512373,0.5450820714207083,500,23.32242711273424,-2.538886098816986,0.9985563947890996,-40.64485422546848,-37.973738951779985,0.006257920392152384,0.06622952434637011,True,,,,True
Langevin,spectral_gap,spectral_gap,deterministic,exclude_largest_2,polynomial,18,18,0,12.976260735635478,alpha_hat,2.7787222538939105,,2.7787222538939105,0.1742986593459403,2.3072892572646224,3.26704193408511,5.25917327751982,45.041068143464734,500,-10.105344888189634,1.1753107901745563,0.9407751929320322,26.21068977637927,28.88180505006776,0.25253999680329475,0.42420837930143435,True,,,,False
Langevin,spectral_gap,spectral_gap,deterministic,lowest_12,arrhenius,12,12,0,0.4739347415261889,Delta_hat,0.2622737321148259,0.2622737321148259,,0.0034811444591843965,0.25189642064785345,0.26990163609825546,0.41980268118323194,0.5230773372715706,500,16.353593447840186,-3.0785693245947092,0.9982413878419812,-26.707186895680373,-25.25246694631637,0.0076391508360277825,0.0619307788886495,True,,,,True
Langevin,spectral_gap,spectral_gap,deterministic,lowest_12,polynomial,12,12,0,139.6431592350988,alpha_hat,3.653799661704529,,3.653799661704529,0.22642388379683778,3.035605056557589,4.299040870138699,32.74395224919339,888.6395089217878,500,-1.9218316372716373,-0.03266514374273898,0.9630180804553403,9.843663274543275,11.298383223907276,0.13708041516617042,0.2839986209151278,True,,,,False
Langevin,spectral_gap,spectral_gap,deterministic,lowest_10,arrhenius,10,10,0,0.4842089024814193,Delta_hat,0.263395725386954,0.263395725386954,,0.004612036759092273,0.24983106201369007,0.2742001841059333,0.40646020397720745,0.5989914748146495,500,12.843930782995415,-3.104078130014383,0.9975532244124228,-19.68786156599083,-18.780106287008692,0.009753688512445758,0.06698198264483578,True,,,,True
Langevin,spectral_gap,spectral_gap,deterministic,lowest_10,polynomial,10,10,0,425.82814084551933,alpha_hat,4.042707301036333,,4.042707301036333,0.25675285958386695,3.3148710901746012,4.738606690997518,69.05778323536987,3263.614996395016,500,0.1061539036495125,-0.5565227541452022,0.9687404025659828,5.787692192700975,6.695447471683113,0.1080678644254212,0.23941569612643185,True,,,,False
Langevin,spectral_gap,spectral_gap,deterministic,lowest_8,arrhenius,8,8,0,0.5207782748117981,Delta_hat,0.2670290344952025,0.2670290344952025,,0.0063570559114377615,0.24864264718378307,0.28210978758398386,0.3982890359007836,0.711257830652782,500,9.911685632955237,-3.236356932968319,0.9966109965062052,-13.823371265910474,-13.585046640870967,0.01233566758707276,0.07009532081416296,True,,,,True
Langevin,spectral_gap,spectral_gap,deterministic,lowest_8,polynomial,8,8,0,1620.4472836160019,alpha_hat,4.496348597779222,,4.496348597779222,0.31535325782355283,3.64623639444692,5.457129726119238,169.8145562707333,29022.738730662386,500,1.3707368357960874,-1.1011197336785312,0.9713322406753201,3.258526328407825,3.496850953447332,0.09580091740332915,0.2038683905533955,True,,,,False
Langevin,spectral_gap,spectral_gap,deterministic,uncensored_only,arrhenius,20,20,0,0.5438863802152574,Delta_hat,0.2705008747445175,0.2705008747445175,,0.003026534451025365,0.2632880789035105,0.27669652344219275,0.4927598431442692,0.5862882177515754,500,20.663277237929094,-1.908472516648264,0.9977517278043679,-35.32655447585819,-32.33935765519622,0.009523487697034098,0.08611235386391299,True,,,,True
Langevin,spectral_gap,spectral_gap,deterministic,uncensored_only,polynomial,20,20,0,7.051455008272154,alpha_hat,2.538196908933513,,2.538196908933513,0.1623629122767272,2.111527430118739,2.966340605067777,3.4461510774318147,19.64372927047009,500,-13.51819244328932,1.5096744514735778,0.931398872099873,33.036384886578645,36.023581707240616,0.3056323746144064,0.4756709663004597,True,,,,False
Langevin,spectral_gap,spectral_gap,deterministic,reliable_rate_window_only,arrhenius,20,20,0,0.5438863802152574,Delta_hat,0.2705008747445175,0.2705008747445175,,0.003026534451025365,0.2632880789035105,0.27669652344219275,0.4927598431442692,0.5862882177515754,500,20.663277237929094,-1.908472516648264,0.9977517278043679,-35.32655447585819,-32.33935765519622,0.009523487697034098,0.08611235386391299,True,,,,True
Langevin,spectral_gap,spectral_gap,deterministic,reliable_rate_window_only,polynomial,20,20,0,7.051455008272154,alpha_hat,2.538196908933513,,2.538196908933513,0.1623629122767272,2.111527430118739,2.966340605067777,3.4461510774318147,19.64372927047009,500,-13.51819244328932,1.5096744514735778,0.931398872099873,33.036384886578645,36.023581707240616,0.3056323746144064,0.4756709663004597,True,,,,False
LSC-CP,spectral_gap,spectral_gap,deterministic,all,arrhenius,20,20,0,1.2985219808971524,Delta_hat,0.015373772540948391,0.015373772540948391,,0.002369240120770087,0.010720934504334546,0.022351109916037906,1.202502431199241,1.384903616655945,500,25.560256034339556,-2.39817039628931,0.7005284661661082,-45.12051206867911,-42.13331524801714,0.005952603135550182,0.06741071247320944,True,,,,False
LSC-CP,spectral_gap,spectral_gap,deterministic,all,polynomial,20,20,0,1.5903215107969904,alpha_hat,0.17120579421935928,,0.17120579421935928,0.011811341331653059,0.1412298429815663,0.199374824244187,1.4731180232104952,1.6735640155914533,500,38.897284142372584,-3.731873207092613,0.9210893218388334,-71.79456828474517,-68.80737146408319,0.001580772006555416,0.03460342060726442,True,,,,True
LSC-CP,spectral_gap,spectral_gap,deterministic,exclude_largest_2,arrhenius,18,18,0,1.2399864861072225,Delta_hat,0.012528632207170029,0.012528632207170029,,0.001987601762699836,0.008458053758567024,0.019933133901833672,1.160099877043561,1.3211574010597469,500,27.71416842288766,-3.0268573555006983,0.7129156316086922,-49.42833684577532,-46.75722157208683,0.0036477273737359444,0.05189075909938391,True,,,,False
LSC-CP,spectral_gap,spectral_gap,deterministic,exclude_largest_2,polynomial,18,18,0,1.5135502037819042,alpha_hat,0.1516932389574301,,0.1516932389574301,0.012052265428436515,0.12241748308793435,0.18318165607420198,1.4008304057777907,1.6073020899122124,500,37.981972203827134,-4.167724442271751,0.9082645352254238,-69.96394440765427,-67.29282913396577,0.0011768907644652122,0.029332824494997148,True,,,,True
LSC-CP,spectral_gap,spectral_gap,deterministic,lowest_12,arrhenius,12,12,0,1.098705236812693,Delta_hat,0.005594851957874146,0.005594851957874146,,0.001028210799897487,0.0034912171003346447,0.009386648701888541,1.0559391025706548,1.1492352692792371,500,30.988084284147114,-5.517651130645865,0.7475274056063718,-55.97616856829423,-54.52144861893022,0.0005486277773072897,0.018292230169124294,True,,,,False
LSC-CP,spectral_gap,spectral_gap,deterministic,lowest_12,polynomial,12,12,0,1.2659581997485934,alpha_hat,0.08579777682250178,,0.08579777682250178,0.01031013226802565,0.05894742336422809,0.10894727985132958,1.1716172914422451,1.340326021529374,500,35.14954885297086,-6.211228558783154,0.8738180039819148,-64.29909770594172,-62.844377756577714,0.00027618131183959377,0.012931777763334772,True,,,,True
LSC-CP,spectral_gap,spectral_gap,deterministic,lowest_10,arrhenius,10,10,0,1.0619588434674967,Delta_hat,0.0038060703567980485,0.0038060703567980485,,0.0007376479201507201,0.0021915664299173984,0.006318198271738214,1.0276694828690616,1.0971147331892175,500,31.173512921731643,-6.7699945577616285,0.7689390625360062,-56.347025843463285,-55.43927056448115,0.00021291156490837283,0.010713080308418721,True,,,,False
LSC-CP,spectral_gap,spectral_gap,deterministic,lowest_10,polynomial,10,10,0,1.1862415622406186,alpha_hat,0.0631031556355751,,0.0631031556355751,0.008573254948662852,0.03731700704079113,0.08268643936309188,1.0990842238285305,1.2483794450746202,500,34.10081908918298,-7.355455791251894,0.8713339560795845,-62.201638178365954,-61.29388289938382,0.00011759494312626601,0.007994348358690945,True,,,,True
LSC-CP,spectral_gap,spectral_gap,deterministic,lowest_8,arrhenius,8,8,0,1.0329309113505476,Delta_hat,0.002419316547346073,0.002419316547346073,,0.000549008116881871,0.0009628422487060024,0.004526102747801776,1.002397279975527,1.0651319891578046,500,29.505344960188722,-8.13477176477669,0.7639565107471312,-53.010689920377445,-52.772365295337934,8.656372938689171e-05,0.006053572694425245,True,,,,False
LSC-CP,spectral_gap,spectral_gap,deterministic,lowest_8,polynomial,8,8,0,1.1201487124315292,alpha_hat,0.04363427371251499,,0.04363427371251499,0.007358481945110108,0.02051442450971482,0.06384227653649997,1.0456501860756053,1.1828073428040673,500,31.43345531472152,-8.61679935340989,0.8542360582466043,-56.86691062944304,-56.62858600440353,5.3841377534650875e-05,0.004757083790474715,True,,,,True
LSC-CP,spectral_gap,spectral_gap,deterministic,uncensored_only,arrhenius,20,20,0,1.2985219808971524,Delta_hat,0.015373772540948391,0.015373772540948391,,0.002369240120770087,0.010720934504334546,0.022351109916037906,1.202502431199241,1.384903616655945,500,25.560256034339556,-2.39817039628931,0.7005284661661082,-45.12051206867911,-42.13331524801714,0.005952603135550182,0.06741071247320944,True,,,,False
LSC-CP,spectral_gap,spectral_gap,deterministic,uncensored_only,polynomial,20,20,0,1.5903215107969904,alpha_hat,0.17120579421935928,,0.17120579421935928,0.011811341331653059,0.1412298429815663,0.199374824244187,1.4731180232104952,1.6735640155914533,500,38.897284142372584,-3.731873207092613,0.9210893218388334,-71.79456828474517,-68.80737146408319,0.001580772006555416,0.03460342060726442,True,,,,True
