method,label,color,marker,linestyle
5,5-edge,#805AD5,D,-
5-edge,5-edge,#805AD5,D,-
CP,CP,#C53030,D,--
CP-atom,CP-atom,#E53E3E,D,--
CP-overlong,CP-overlong,#C53030,X,--
CP-shell,CP-shell,#C53030,X,--
Kinetic-Langevin,Kinetic-Langevin,#6B7C93,s,-
LSC-5-shell,5-edge,#805AD5,D,-
LSC-CP,LSC-CP,#2F855A,^,-
LSC-MST-shell,MST,#2F855A,^,-
LSC-adjacent,LSC-adjacent,#2F855A,^,-
LSC-atom,LSC-atom,#38A169,^,-
LSC-complete-shell,complete,#DD6B20,P,-
LSC-connected,LSC-connected,#2F855A,^,-
LSC-cycle-shell,cycle,#3182CE,s,-
LSC-disconnected,LSC-disconnected,#805AD5,v,-
LSC-overlong,LSC-overlong,#805AD5,v,-
LSC-shell,LSC-shell,#2F855A,v,-
LSC-wrong,LSC-mismatched,#9F7AEA,P,:
Langevin,Langevin,#2B6CB0,o,-
MST,MST,#2F855A,^,-
complete,complete,#DD6B20,P,-
cycle,cycle,#3182CE,s,-
