epsilon,method,n_cells,domain_left,domain_right,row_sum_inf,stationary_residual_l1,stationary_residual_linf,minimum_off_diagonal,maximum_exit_rate,raw_jump_stationary_residual_linf,correction_flux_max,spectral_gap,form_zero_eigenvalue,form_residual,abscissa_rate,zero_eigenvalue_abs,minimum_nonzero_real_rate,maximum_eigenvalue_real_part,spectral_gap_relative_change_main_to_finest,abscissa_rate_relative_change_main_to_finest
0.4,Langevin,240,-5.0,5.0,9.094947017729282e-13,2.481348460037225e-13,7.105427357601002e-15,0.0,8318.814366324892,0.0,0.0,0.33406974072131657,0.0,4.618664053580826e-12,0.33406974072035805,1.2048781403818792e-12,0.33406974072035805,1.2048781403818792e-12,1.0773973578711074e-06,1.0774034807806918e-06
0.4,LSC-CP,240,-5.0,5.0,1.8189894035458565e-12,4.163208880826434e-13,1.1727381218906707e-14,0.0,8371.622501689992,0.2806478201041589,0.29020075724436356,1.4428788942115565,0.0,5.969443885607394e-12,1.536992084955045,0.0,1.536992084955045,0.0,0.0007662603386617618,0.0001607611465551406
0.4,Langevin,320,-5.0,5.0,9.094947017729282e-13,4.82280881897168e-13,7.105427357601002e-15,0.0,14790.384291999082,0.0,0.0,0.3340693486723802,0.0,8.042259742101137e-12,0.33406934867506377,3.281507351346548e-12,0.33406934867506377,-3.281507351346548e-12,1.0773973578711074e-06,1.0774034807806918e-06
0.4,LSC-CP,320,-5.0,5.0,1.8189894035458565e-12,7.427677450964204e-13,1.042586427347364e-14,0.0,14860.66529891156,0.2781099432384282,0.2901583083165473,1.4413699858609001,0.0,1.0589052896510387e-11,1.5367906473218451,0.0,1.5367906473218451,0.0,0.0007662603386617618,0.0001607611465551406
0.4,Langevin,400,-5.0,5.0,1.8189894035458565e-12,6.628031457012185e-13,1.0658141036401503e-14,0.0,23110.915984176543,0.0,0.0,0.33406898874733437,0.0,1.237878493026999e-11,0.3340689887479725,1.3263143095814201e-12,0.3340689887479725,-1.3263143095814201e-12,1.0773973578711074e-06,1.0774034807806918e-06
0.4,LSC-CP,400,-5.0,5.0,3.6380898293941755e-12,1.0852108210131607e-12,1.3937446032355472e-14,0.0,23198.60232002718,0.2761928677273022,0.29015262647925183,1.4402663668668616,0.0,1.921906194410024e-11,1.5365436308060247,4.063416270128073e-14,1.5365436308060247,4.063416270128073e-14,0.0007662603386617618,0.0001607611465551406
0.1,Langevin,240,-5.0,5.0,4.547473508864641e-13,2.0425328095541317e-13,3.552713678800501e-15,0.0,7427.078880301084,0.0,0.0,0.03355342278147433,0.0,3.656520351274164e-12,0.03355342278221937,1.1101132005184569e-12,0.03355342278221937,-1.1101132005184569e-12,4.9033125462151515e-05,4.903313434166271e-05
0.1,LSC-CP,240,-5.0,5.0,9.095502129241595e-13,2.885013971156477e-13,6.222880012934223e-15,0.0,7477.459450992035,0.28631207169104855,0.29104982972330135,1.0311133853045962,0.0,5.966446259188717e-12,1.1119353385429749,3.1785165541899635e-12,1.1119353385429749,3.1785165541899635e-12,0.00027254244058931803,9.89548840666567e-05
0.1,Langevin,320,-5.0,5.0,9.094947017729282e-13,4.098110739647609e-13,7.105427357601002e-15,0.0,13206.214902606058,0.0,0.0,0.033549874569062346,0.0,6.368868213296777e-12,0.03354987456854729,2.969049132273179e-13,0.03354987456854729,2.969049132273179e-13,4.9033125462151515e-05,4.903313434166271e-05
0.1,LSC-CP,320,-5.0,5.0,1.8189894035458565e-12,5.534942079318816e-13,1.1551306786095061e-14,0.0,13272.919701323039,0.2849965728546423,0.2910002232968818,1.030574906705564,0.0,1.2069993563037079e-11,1.111849666163812,9.618553423956897e-13,1.111849666163812,-9.618553423956897e-13,0.00027254244058931803,9.89548840666567e-05
