method,quantity,reference_family,shape,DeltaV,amplitude_rule,amplitude,n
Langevin,chi2_mixing_time,fixed_arrhenius,exp(DeltaV / eps),0.25,least-squares log amplitude over valid displayed data,2.9829637750558886,20
LSC-CP,chi2_mixing_time,fixed_theorem_inverse_channel,eps^(-1/2),,least-squares log amplitude over valid displayed data,0.40884831833114776,20
