epsilon,method,n_cells,abscissa_rate,abscissa_reliable,zero_eigenvalue_abs,maximum_eigenvalue_real_part,row_sum_inf,stationary_residual_l1,stationary_residual_linf,minimum_off_diagonal,maximum_exit_rate,raw_jump_stationary_residual_linf,correction_flux_max
0.4,Langevin,320,0.33406934867506377,True,3.281507351346548e-12,-3.281507351346548e-12,9.094947017729282e-13,4.82280881897168e-13,7.105427357601002e-15,0.0,14790.384291999082,0.0,0.0
0.4,LSC-CP,320,1.5367906473218451,True,0.0,0.0,1.8189894035458565e-12,7.427677450964204e-13,1.042586427347364e-14,0.0,14860.66529891156,0.2781099432384282,0.2901583083165473
0.35,Langevin,320,0.2869950767259976,True,1.6411287621804102e-12,-1.6411287621804102e-12,9.094947017729282e-13,4.3232084578903596e-13,7.105427357601002e-15,0.0,14191.26512687637,0.0,0.0
0.35,LSC-CP,320,1.4884726115848457,True,1.4688072625131966e-11,-1.4688072625131966e-11,1.8189894035458565e-12,6.243853090809326e-13,9.982493347562849e-15,0.0,14262.60968049319,0.2817522710931457,0.2928224019227763
0.3,Langevin,320,0.23802380201178158,True,8.732484441630372e-13,-8.732484441630372e-13,9.094947017729282e-13,4.097833183891453e-13,7.105427357601002e-15,0.0,13630.104241012892,0.0,0.0
0.3,LSC-CP,320,1.4346019870150897,True,8.688614503132747e-12,8.688614503132747e-12,1.8189894035458565e-12,6.32283505067055e-13,1.1539285694507628e-14,0.0,13701.911947047514,0.28497968517868016,0.2951637922164453
0.26,Langevin,320,0.197483764208635,True,4.5143579514673855e-12,-4.5143579514673855e-12,9.094947017729282e-13,4.292677324713168e-13,7.105427357601002e-15,0.0,13230.588866821938,0.0,0.0
0.26,LSC-CP,320,1.3860898116556835,True,3.594294209231161e-13,3.594294209231161e-13,1.8189894035458565e-12,6.47171816733471e-13,9.600393396924645e-15,0.0,13303.093611044573,0.2874354086617245,0.29666132053792454
0.22,Langevin,320,0.15587238980362852,True,3.581728274922787e-12,3.581728274922787e-12,9.094947017729282e-13,3.7070346792233977e-13,7.105427357601002e-15,0.0,12907.28627060706,0.0,0.0
0.22,LSC-CP,320,1.3314446069715749,True,4.5062382644789345e-12,4.5062382644789345e-12,1.8189894035458565e-12,5.462477868580125e-13,1.0658141036401503e-14,0.0,12979.854207354138,0.28919636673809046,0.29773185167579846
0.2,Langevin,320,0.1347790897296068,True,1.278425191773477e-12,1.278425191773477e-12,9.094947017729282e-13,3.7997383017795983e-13,7.105427357601002e-15,0.0,12789.406411140668,0.0,0.0
0.2,LSC-CP,320,1.3011734141338331,True,7.963074252617429e-12,7.963074252617429e-12,1.819100425848319e-12,5.646013103116458e-13,8.479436770791882e-15,0.0,12861.41484358091,0.28970712889906003,0.2977770948712275
0.18,Langevin,320,0.11361801212445657,True,6.41019612181894e-13,6.41019612181894e-13,9.094947017729282e-13,3.4111602431607935e-13,7.105427357601002e-15,0.0,12714.240298593004,0.0,0.0
