epsilon,metric,bias_floor_replicates,N_particles,bias_floor_mean,bias_floor_q99,bias_floor_max,threshold,threshold_above_bias_floor,threshold_rule
0.2,bin_chi2_M80,64,6000,0.013211319444444442,0.017823022222222217,0.01842222222222222,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.2,bin_chi2_M120,64,6000,0.01992375,0.025806,0.026940000000000002,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.2,well_TV,64,6000,0.004174479166666672,0.011895000000000022,0.01200000000000001,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.2,CDF_sup,64,6000,0.010236328124999996,0.01742583333333336,0.017583333333333374,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.2,W1,64,6000,0.011001432541896856,0.023843039862331696,0.024477455362162344,0.08,True,"max(0.08, 3 * target-only q99 floor)"
0.18,KDE_chi2,64,6000,0.008732374310923857,0.01201822878263176,0.012373873707408207,0.05,True,"max(0.05, 3 * target-only q99 floor)"
0.18,bin_chi2_M40,64,6000,0.006623680555555555,0.009893999999999997,0.010159999999999999,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.18,bin_chi2_M80,64,6000,0.013212083333333333,0.01919746666666666,0.020426666666666662,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.18,bin_chi2_M120,64,6000,0.019853541666666665,0.025127666666666666,0.025526666666666666,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.18,well_TV,64,6000,0.004414062499999999,0.019776666666666644,0.021666666666666723,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.18,CDF_sup,64,6000,0.010087890625000002,0.021528333333333333,0.02583333333333332,0.064585,True,"max(0.06, 3 * target-only q99 floor)"
0.18,W1,64,6000,0.011073474365727238,0.03170635558267951,0.04153955029121101,0.09511906674803852,True,"max(0.08, 3 * target-only q99 floor)"
0.16,KDE_chi2,64,6000,0.011025919490313545,0.015002806081204658,0.015078827991529101,0.05,True,"max(0.05, 3 * target-only q99 floor)"
0.16,bin_chi2_M40,64,6000,0.006385381944444445,0.008686022222222221,0.008942222222222221,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.16,bin_chi2_M80,64,6000,0.013171041666666664,0.017484577777777774,0.017817777777777776,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.16,bin_chi2_M120,64,6000,0.019909375,0.026612866666666655,0.029506666666666667,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.16,well_TV,64,6000,0.005236979166666669,0.015005000000000017,0.017000000000000015,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.16,CDF_sup,64,6000,0.010918619791666665,0.018626250000000004,0.019124999999999982,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.16,W1,64,6000,0.012268928434138647,0.0266237201526247,0.02692610154283054,0.08,True,"max(0.08, 3 * target-only q99 floor)"
0.14,KDE_chi2,64,6000,0.0132208832984162,0.017395115873846186,0.017504883930024803,0.05218534762153856,True,"max(0.05, 3 * target-only q99 floor)"
0.14,bin_chi2_M40,64,6000,0.00614736111111111,0.008667199999999998,0.008879999999999999,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.14,bin_chi2_M80,64,6000,0.012992152777777776,0.018596488888888884,0.019248888888888885,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.14,bin_chi2_M120,64,6000,0.019885833333333335,0.026020133333333334,0.026633333333333335,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.14,well_TV,64,6000,0.004825520833333337,0.015153333333333295,0.016833333333333256,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.14,CDF_sup,64,6000,0.010056640625000002,0.01786958333333334,0.019208333333333324,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.14,W1,64,6000,0.010971898333824039,0.027868312425773284,0.031570631003381325,0.08360493727731985,True,"max(0.08, 3 * target-only q99 floor)"
0.125,KDE_chi2,64,6000,0.016608341362792947,0.022971153044180754,0.02338006140316383,0.06891345913254227,True,"max(0.05, 3 * target-only q99 floor)"
0.125,bin_chi2_M40,64,6000,0.006390624999999999,0.009588177777777776,0.009817777777777778,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.125,bin_chi2_M80,64,6000,0.013018888888888889,0.017521377777777774,0.017697777777777778,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.125,bin_chi2_M120,64,6000,0.01935322916666667,0.024536733333333335,0.024633333333333333,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.125,well_TV,64,6000,0.004903645833333324,0.013895000000000003,0.013999999999999957,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.125,CDF_sup,64,6000,0.010496744791666669,0.018116666666666635,0.019166666666666655,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.125,W1,64,6000,0.011659617684880212,0.0275045174966699,0.027577244854355688,0.08251355249000969,True,"max(0.08, 3 * target-only q99 floor)"
0.11,KDE_chi2,64,6000,0.02137072485282033,0.026606992799602415,0.028170952509621892,0.07982097839880725,True,"max(0.05, 3 * target-only q99 floor)"
0.11,bin_chi2_M40,64,6000,0.006844027777777778,0.01092293333333333,0.011813333333333332,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.11,bin_chi2_M80,64,6000,0.01306173611111111,0.017683199999999996,0.0184,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.11,bin_chi2_M120,64,6000,0.019925416666666668,0.026145533333333332,0.02639333333333333,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.11,well_TV,64,6000,0.004768229166666666,0.013609999999999949,0.015499999999999958,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.11,CDF_sup,64,6000,0.010281249999999999,0.018300416666666645,0.019166666666666686,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.11,W1,64,6000,0.010975771632673968,0.025545091502452287,0.025816631913564828,0.08,True,"max(0.08, 3 * target-only q99 floor)"
0.1,KDE_chi2,64,6000,0.02580104617460304,0.03184069846035766,0.032146219712498134,0.09552209538107298,True,"max(0.05, 3 * target-only q99 floor)"
0.1,bin_chi2_M40,64,6000,0.0067218055555555555,0.011011666666666664,0.011466666666666667,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.1,bin_chi2_M80,64,6000,0.012937847222222222,0.01928159999999999,0.020759999999999994,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.1,bin_chi2_M120,64,6000,0.01999583333333333,0.025680666666666664,0.02706666666666667,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.1,well_TV,64,6000,0.0048281250000000026,0.01743166666666667,0.018166666666666664,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.1,CDF_sup,64,6000,0.010340494791666668,0.019294583333333302,0.019583333333333317,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.1,W1,64,6000,0.01109711558032673,0.032983251756155185,0.033529814004402414,0.09894975526846556,True,"max(0.08, 3 * target-only q99 floor)"
0.09,KDE_chi2,64,6000,0.030772980263847182,0.03714958538229968,0.039572282594340924,0.11144875614689903,True,"max(0.05, 3 * target-only q99 floor)"
0.09,bin_chi2_M40,64,6000,0.006521145833333334,0.009534222222222222,0.009562222222222222,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.09,bin_chi2_M80,64,6000,0.012940763888888889,0.017775199999999998,0.017959999999999997,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.09,bin_chi2_M120,64,6000,0.020002395833333336,0.02677373333333333,0.02693333333333333,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.09,well_TV,64,6000,0.005242187500000001,0.014486666666666665,0.016166666666666663,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.09,CDF_sup,64,6000,0.010530598958333328,0.017320416666666682,0.018291666666666682,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.09,W1,64,6000,0.011902587713305898,0.02732605319979314,0.030018714455161803,0.08197815959937942,True,"max(0.08, 3 * target-only q99 floor)"
0.08,KDE_chi2,64,6000,0.03952209591298689,0.0452518090751623,0.045451944575893924,0.1357554272254869,True,"max(0.05, 3 * target-only q99 floor)"
0.08,bin_chi2_M40,64,6000,0.006359131944444444,0.008680155555555555,0.008695555555555554,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.08,bin_chi2_M80,64,6000,0.013150069444444443,0.018986177777777773,0.019817777777777774,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.08,bin_chi2_M120,64,6000,0.019504479166666665,0.02481773333333333,0.02573333333333333,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.08,well_TV,64,6000,0.005252604166666666,0.013061666666666671,0.01316666666666666,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.08,CDF_sup,64,6000,0.011009114583333337,0.01680208333333334,0.017458333333333298,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.08,W1,64,6000,0.012526714027194625,0.026571630699444935,0.026662997847169856,0.08,True,"max(0.08, 3 * target-only q99 floor)"
0.07,KDE_chi2,64,6000,0.05278330264179229,0.06175466031691944,0.06350346949444427,0.1852639809507583,True,"max(0.05, 3 * target-only q99 floor)"
0.07,bin_chi2_M40,64,6000,0.006559131944444444,0.01081677777777777,0.012237777777777776,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.07,bin_chi2_M80,64,6000,0.01321375,0.01861711111111111,0.01863111111111111,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.07,bin_chi2_M120,64,6000,0.020165520833333332,0.02542639999999999,0.026719999999999997,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.07,well_TV,64,6000,0.005304687499999999,0.014055000000000043,0.015000000000000013,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.07,CDF_sup,64,6000,0.011375651041666672,0.02079708333333335,0.02208333333333332,0.06239125000000005,True,"max(0.06, 3 * target-only q99 floor)"
0.07,W1,64,6000,0.012321552836613774,0.028824066405843514,0.03197278017832645,0.08647219921753055,True,"max(0.08, 3 * target-only q99 floor)"
