epsilon,method,n_cells,spectral_gap,spectral_gap_reliable,form_zero_eigenvalue,form_residual,row_sum_inf,stationary_residual_l1,stationary_residual_linf,minimum_off_diagonal
0.4,Langevin,320,0.3340693486723802,True,0.0,8.042259742101137e-12,9.094947017729282e-13,4.82280881897168e-13,7.105427357601002e-15,0.0
0.4,LSC-CP,320,1.4413699858609001,True,0.0,1.0589052896510387e-11,1.8189894035458565e-12,7.427677450964204e-13,1.042586427347364e-14,0.0
0.35,Langevin,320,0.2869950767242191,True,0.0,7.750564346847694e-12,9.094947017729282e-13,4.3232084578903596e-13,7.105427357601002e-15,0.0
0.35,LSC-CP,320,1.3881487006643618,True,0.0,1.2484914595914802e-11,1.8189894035458565e-12,6.243853090809326e-13,9.982493347562849e-15,0.0
0.3,Langevin,320,0.2380238020120756,True,0.0,7.284656269214662e-12,9.094947017729282e-13,4.097833183891453e-13,7.105427357601002e-15,0.0
0.3,LSC-CP,320,1.3297103781610566,True,0.0,1.0981250039993916e-11,1.8189894035458565e-12,6.32283505067055e-13,1.1539285694507628e-14,0.0
0.26,Langevin,320,0.19748376420539943,True,0.0,6.847581512450594e-12,9.094947017729282e-13,4.292677324713168e-13,7.105427357601002e-15,0.0
0.26,LSC-CP,320,1.2782377256157744,True,0.0,1.1651775768437965e-11,1.8189894035458565e-12,6.47171816733471e-13,9.600393396924645e-15,0.0
0.22,Langevin,320,0.1558723898051948,True,0.0,6.6770958714652144e-12,9.094947017729282e-13,3.7070346792233977e-13,7.105427357601002e-15,0.0
0.22,LSC-CP,320,1.2221401792749456,True,0.0,1.1204220663958968e-11,1.8189894035458565e-12,5.462477868580125e-13,1.0658141036401503e-14,0.0
0.2,Langevin,320,0.1347790897322184,True,0.0,6.675348297684277e-12,9.094947017729282e-13,3.7997383017795983e-13,7.105427357601002e-15,0.0
0.2,LSC-CP,320,1.1921260610237694,True,0.0,1.1609237981083315e-11,1.819100425848319e-12,5.646013103116458e-13,8.479436770791882e-15,0.0
0.18,Langevin,320,0.11361801212489601,True,0.0,6.559173643951339e-12,9.094947017729282e-13,3.4111602431607935e-13,7.105427357601002e-15,0.0
0.18,LSC-CP,320,1.1608793124127503,True,0.0,1.1387161726277824e-11,1.819100425848319e-12,5.386166908533455e-13,9.608850173870032e-15,0.0
0.16,Langevin,320,0.09255461920745653,True,0.0,6.469646217984347e-12,9.094947017729282e-13,3.2757130341565244e-13,7.105427357601002e-15,0.0
0.16,LSC-CP,320,1.1285512606682453,True,0.0,1.1549390458308587e-11,1.8189894035458565e-12,5.395969315900168e-13,9.555954660379895e-15,0.0
0.14,Langevin,320,0.07185538707777095,True,0.0,6.253528863949981e-12,9.094947017729282e-13,3.8757885789664215e-13,7.105427357601002e-15,0.0
0.14,LSC-CP,320,1.0953743097698652,True,0.0,1.1035930497919185e-11,1.8189894035458565e-12,5.950876998204319e-13,1.0658141036401503e-14,0.0
0.125,Langevin,320,0.056820921122094664,True,0.0,6.552807007007851e-12,9.094947017729282e-13,4.1716630150290257e-13,7.105427357601002e-15,0.0
0.125,LSC-CP,320,1.0704707107771783,True,0.0,1.169207818891388e-11,1.8189894035458565e-12,5.332014194861685e-13,8.908048994629714e-15,0.0
0.11,Langevin,320,0.04250482676780858,True,0.0,6.440065287822844e-12,9.094947017729282e-13,4.0331626927070374e-13,7.105427357601002e-15,0.0
0.11,LSC-CP,320,1.0461016823454694,True,0.0,1.128566962379073e-11,1.8189894035458565e-12,5.706950821746277e-13,1.1721309686740788e-14,0.0
0.1,Langevin,320,0.033549874569062346,True,0.0,6.368868213296777e-12,9.094947017729282e-13,4.098110739647609e-13,7.105427357601002e-15,0.0
0.1,LSC-CP,320,1.030574906705564,True,0.0,1.2069993563037079e-11,1.8189894035458565e-12,5.534942079318816e-13,1.1551306786095061e-14,0.0
0.09,Langevin,320,0.025244418751358945,True,0.0,6.469320871029015e-12,9.094947017729282e-13,4.292954880469324e-13,7.105427357601002e-15,0.0
0.09,LSC-CP,320,1.0161653082738267,True,0.0,1.1091902858939115e-11,1.8189894035458565e-12,6.149651033088115e-13,1.214978638530706e-14,0.0
0.08,Langevin,320,0.017783104799798652,True,0.0,6.69230024157448e-12,9.094947017729282e-13,4.2540970746074436e-13,7.105427357601002e-15,0.0
