epsilon,method,n_cells,spectral_gap,spectral_gap_reliable,form_zero_eigenvalue,form_residual,row_sum_inf,stationary_residual_l1,stationary_residual_linf,minimum_off_diagonal
0.08,LSC-CP,320,1.003397403352975,True,0.0,1.2942091654699318e-11,1.8189894035458565e-12,5.861095436028238e-13,1.0593956267790361e-14,0.0
0.07,Langevin,320,0.011397633588511924,True,0.0,6.6410389379454084e-12,9.094947017729282e-13,3.8387001910500373e-13,7.105427357601002e-15,0.0
0.07,LSC-CP,320,0.9929813235303119,True,0.0,1.2665180503633691e-11,1.8189894035458565e-12,5.770361605531536e-13,9.96276764428719e-15,0.0
0.06,Langevin,320,0.006339076532204915,True,0.0,6.795535016870349e-12,9.094947017729282e-13,4.419971333380346e-13,7.105427357601002e-15,0.0
0.06,LSC-CP,320,0.9856470233994867,True,0.0,1.4577106134247284e-11,1.8189894035458565e-12,6.04569779655284e-13,1.0658141036401503e-14,0.0
0.055,Langevin,320,0.004366641111677864,True,0.0,6.8287138847806955e-12,9.094947017729282e-13,4.5404825732564547e-13,7.105427357601002e-15,0.0
0.055,LSC-CP,320,0.9829786767038147,True,0.0,1.3656081190093891e-11,1.8189894035458565e-12,6.060765564007593e-13,9.507938056665943e-15,0.0
0.05,Langevin,320,0.00273490435247778,True,0.0,7.196588838969715e-12,9.094947017729282e-13,4.3974893171316864e-13,7.105427357601002e-15,0.0
0.05,LSC-CP,320,0.980639246627292,True,0.0,1.442712098138284e-11,1.819100425848319e-12,6.104774075577774e-13,1.1115586261763871e-14,0.0
0.045,Langevin,320,0.001423580743145214,True,0.0,7.364944203769078e-12,9.094947017729282e-13,4.389625598774649e-13,7.105427357601002e-15,0.0
0.045,LSC-CP,320,0.9792737172213665,True,0.0,1.288297398219571e-11,1.8189894035458565e-12,6.099210492129664e-13,1.0673753547685294e-14,0.0
0.04,Langevin,320,0.0005751877670220775,True,0.0,7.30115140386612e-12,9.094947017729282e-13,4.202065670248778e-13,7.105427357601002e-15,0.0
0.04,LSC-CP,320,0.9805045066712058,True,0.0,1.4745831571330465e-11,1.8189894035458565e-12,6.361307964761198e-13,1.0658141036401503e-14,0.0
