epsilon,method,seed,rng_seed,metric,threshold,bias_floor,first_crossing_time,persistent_reached,censored,mixing_time,final_metric_value,n_recorded_points,n_recorded_points_below_threshold,persistence_records,N_particles,dt,nsteps,T_final,planned_T_final,clip_fraction_mean,clip_fraction_max
0.35,LSC-CP,2,20361913,truncated_KDE_chi2,0.05,0.009057869994123592,1.2,True,False,1.2,0.013694815853866428,11,6,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,2,20361913,well_TV,0.075,0.022083333333333233,1.44,True,False,1.4400000000000002,0.03499999999999992,11,5,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,2,20361913,W1,0.12908712694358487,0.051634850777433954,1.68,True,False,1.68,0.07765853741238948,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,2,20361913,CDF_sup,0.08299758499526327,0.03319903399810531,1.44,True,False,1.4400000000000002,0.03976821294354127,11,5,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,0,20361713,truncated_KDE_chi2,0.05,0.009057869994123592,1.44,True,False,1.4400000000000002,0.008999845688482113,11,5,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,0,20361713,well_TV,0.075,0.022083333333333233,1.68,True,False,1.68,0.015416666666666523,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,0,20361713,W1,0.12908712694358487,0.051634850777433954,1.68,True,False,1.68,0.04078221535394609,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,0,20361713,CDF_sup,0.08299758499526327,0.03319903399810531,1.68,True,False,1.68,0.02357221495320161,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,1,20361813,truncated_KDE_chi2,0.05,0.009057869994123592,1.44,True,False,1.4400000000000002,0.009784715621776942,12,6,4,2400,0.003,880,2.64,30.0,0.0,0.0
0.35,LSC-CP,1,20361813,well_TV,0.075,0.022083333333333233,1.68,True,False,1.68,0.013333333333333197,12,5,4,2400,0.003,880,2.64,30.0,0.0,0.0
0.35,LSC-CP,1,20361813,W1,0.12908712694358487,0.051634850777433954,1.92,True,False,1.9200000000000002,0.039136954278249515,12,4,4,2400,0.003,880,2.64,30.0,0.0,0.0
0.35,LSC-CP,1,20361813,CDF_sup,0.08299758499526327,0.03319903399810531,1.68,True,False,1.68,0.030649085032422807,12,5,4,2400,0.003,880,2.64,30.0,0.0,0.0
0.35,Langevin,0,20361712,truncated_KDE_chi2,0.05,0.009057869994123592,5.76,True,False,5.760000000000001,0.019413919362817535,34,10,4,2400,0.003,2640,7.92,40.0,0.0,0.0
0.35,Langevin,0,20361712,well_TV,0.075,0.022083333333333233,7.2,True,False,7.2,0.061249999999999916,34,4,4,2400,0.003,2640,7.92,40.0,0.0,0.0
0.35,Langevin,0,20361712,W1,0.12908712694358487,0.051634850777433954,7.2,True,False,7.2,0.10490618203678459,34,4,4,2400,0.003,2640,7.92,40.0,0.0,0.0
0.35,Langevin,0,20361712,CDF_sup,0.08299758499526327,0.03319903399810531,6.96,True,False,6.96,0.062099522421085074,34,5,4,2400,0.003,2640,7.92,40.0,0.0,0.0
0.35,Langevin,1,20361812,truncated_KDE_chi2,0.05,0.009057869994123592,5.76,True,False,5.760000000000001,0.024918679870459474,35,11,4,2400,0.003,2720,8.16,40.0,0.0,0.0
0.35,Langevin,1,20361812,well_TV,0.075,0.022083333333333233,7.44,True,False,7.44,0.06333333333333324,35,4,4,2400,0.003,2720,8.16,40.0,0.0,0.0
0.35,Langevin,1,20361812,W1,0.12908712694358487,0.051634850777433954,7.44,True,False,7.44,0.12778940840976172,35,4,4,2400,0.003,2720,8.16,40.0,0.0,0.0
0.35,Langevin,1,20361812,CDF_sup,0.08299758499526327,0.03319903399810531,6.96,True,False,6.96,0.06689600566295273,35,6,4,2400,0.003,2720,8.16,40.0,0.0,0.0
0.35,Langevin,2,20361912,truncated_KDE_chi2,0.05,0.009057869994123592,6.0,True,False,6.0,0.01467164096737062,36,11,4,2400,0.003,2800,8.4,40.0,0.0,0.0
0.35,Langevin,2,20361912,well_TV,0.075,0.022083333333333233,7.44,True,False,7.44,0.04583333333333317,36,5,4,2400,0.003,2800,8.4,40.0,0.0,0.0
0.35,Langevin,2,20361912,W1,0.12908712694358487,0.051634850777433954,7.68,True,False,7.680000000000001,0.08389936242562872,36,4,4,2400,0.003,2800,8.4,40.0,0.0,0.0
0.35,Langevin,2,20361912,CDF_sup,0.08299758499526327,0.03319903399810531,7.2,True,False,7.2,0.048648005714909626,36,6,4,2400,0.003,2800,8.4,40.0,0.0,0.0
0.35,LSC-CP,3,20362013,truncated_KDE_chi2,0.05,0.009057869994123592,1.44,True,False,1.4400000000000002,0.009581159599475014,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.35,LSC-CP,3,20362013,well_TV,0.075,0.022083333333333233,1.44,True,False,1.4400000000000002,0.02124999999999988,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.35,LSC-CP,3,20362013,W1,0.12908712694358487,0.051634850777433954,1.44,True,False,1.4400000000000002,0.042557902700957564,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.35,LSC-CP,3,20362013,CDF_sup,0.08299758499526327,0.03319903399810531,1.44,True,False,1.4400000000000002,0.025832174233227534,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.35,LSC-CP,5,20362213,truncated_KDE_chi2,0.05,0.009057869994123592,1.2,True,False,1.2,0.010357189986099982,10,5,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.35,LSC-CP,5,20362213,well_TV,0.075,0.022083333333333233,1.44,True,False,1.4400000000000002,0.03541666666666654,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.35,LSC-CP,5,20362213,W1,0.12908712694358487,0.051634850777433954,1.44,True,False,1.4400000000000002,0.054028738480159814,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.35,LSC-CP,5,20362213,CDF_sup,0.08299758499526327,0.03319903399810531,1.2,True,False,1.2,0.037092612665518665,10,5,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.35,LSC-CP,4,20362113,truncated_KDE_chi2,0.05,0.009057869994123592,1.44,True,False,1.4400000000000002,0.010632939325527155,11,5,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,4,20362113,well_TV,0.075,0.022083333333333233,1.68,True,False,1.68,0.029583333333333184,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,4,20362113,W1,0.12908712694358487,0.051634850777433954,1.68,True,False,1.68,0.053880349790800086,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,LSC-CP,4,20362113,CDF_sup,0.08299758499526327,0.03319903399810531,1.68,True,False,1.68,0.028758834708221603,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.35,Langevin,3,20362012,truncated_KDE_chi2,0.05,0.009057869994123592,6.0,True,False,6.0,0.01433715438510682,36,11,4,2400,0.003,2800,8.4,40.0,0.0,0.0
0.35,Langevin,3,20362012,well_TV,0.075,0.022083333333333233,7.2,True,False,7.2,0.04666666666666652,36,6,4,2400,0.003,2800,8.4,40.0,0.0,0.0
0.35,Langevin,3,20362012,W1,0.12908712694358487,0.051634850777433954,7.68,True,False,7.680000000000001,0.08683398804399173,36,4,4,2400,0.003,2800,8.4,40.0,0.0,0.0
0.35,Langevin,3,20362012,CDF_sup,0.08299758499526327,0.03319903399810531,7.2,True,False,7.2,0.04996259596620334,36,6,4,2400,0.003,2800,8.4,40.0,0.0,0.0
0.35,Langevin,4,20362112,truncated_KDE_chi2,0.05,0.009057869994123592,5.76,True,False,5.760000000000001,0.016998160531182638,34,10,4,2400,0.003,2640,7.92,40.0,0.0,0.0
0.35,Langevin,4,20362112,well_TV,0.075,0.022083333333333233,6.96,True,False,6.96,0.054583333333333206,34,5,4,2400,0.003,2640,7.92,40.0,0.0,0.0
0.35,Langevin,4,20362112,W1,0.12908712694358487,0.051634850777433954,7.2,True,False,7.2,0.1001808288855891,34,4,4,2400,0.003,2640,7.92,40.0,0.0,0.0
0.35,Langevin,4,20362112,CDF_sup,0.08299758499526327,0.03319903399810531,6.72,True,False,6.720000000000001,0.062096170354484725,34,6,4,2400,0.003,2640,7.92,40.0,0.0,0.0
0.35,Langevin,5,20362212,truncated_KDE_chi2,0.05,0.009057869994123592,6.0,True,False,6.0,0.024491798199780167,38,13,4,2400,0.003,2960,8.88,40.0,0.0,0.0
0.35,Langevin,5,20362212,well_TV,0.075,0.022083333333333233,7.92,True,False,7.920000000000001,0.06458333333333321,38,5,4,2400,0.003,2960,8.88,40.0,0.0,0.0
0.35,Langevin,5,20362212,W1,0.12908712694358487,0.051634850777433954,8.16,True,False,8.16,0.10310320622497207,38,4,4,2400,0.003,2960,8.88,40.0,0.0,0.0
0.35,Langevin,5,20362212,CDF_sup,0.08299758499526327,0.03319903399810531,7.44,True,False,7.920000000000001,0.06869616172483661,38,6,4,2400,0.003,2960,8.88,40.0,0.0,0.0
0.3,LSC-CP,1,20371813,truncated_KDE_chi2,0.05,0.009542905376178534,1.2,True,False,1.2,0.0073589039808348985,10,5,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,1,20371813,well_TV,0.075,0.023333333333333428,1.44,True,False,1.4400000000000002,0.019999999999999907,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,1,20371813,W1,0.11814538348390369,0.04725815339356147,1.44,True,False,1.4400000000000002,0.0464958635209184,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,1,20371813,CDF_sup,0.07251258203362997,0.029005032813451986,1.44,True,False,1.4400000000000002,0.02588831322543339,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,2,20371913,truncated_KDE_chi2,0.05,0.009542905376178534,1.2,True,False,1.2,0.008391395527079754,11,6,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.3,LSC-CP,2,20371913,well_TV,0.075,0.023333333333333428,1.44,True,False,1.4400000000000002,0.007083333333333219,11,5,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.3,LSC-CP,2,20371913,W1,0.11814538348390369,0.04725815339356147,1.44,True,False,1.4400000000000002,0.026659985027241248,11,5,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.3,LSC-CP,2,20371913,CDF_sup,0.07251258203362997,0.029005032813451986,1.68,True,False,1.68,0.02388137829279362,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.3,LSC-CP,0,20371713,truncated_KDE_chi2,0.05,0.009542905376178534,1.44,True,False,1.4400000000000002,0.009931887638768051,12,6,4,2400,0.003,880,2.64,30.0,0.0,0.0
0.3,LSC-CP,0,20371713,well_TV,0.075,0.023333333333333428,1.68,True,False,1.68,0.019166666666666554,12,5,4,2400,0.003,880,2.64,30.0,0.0,0.0
0.3,LSC-CP,0,20371713,W1,0.11814538348390369,0.04725815339356147,1.68,True,False,1.68,0.05017430522825415,12,5,4,2400,0.003,880,2.64,30.0,0.0,0.0
0.3,LSC-CP,0,20371713,CDF_sup,0.07251258203362997,0.029005032813451986,1.92,True,False,1.9200000000000002,0.03271810189533253,12,4,4,2400,0.003,880,2.64,30.0,0.0,0.0
0.3,Langevin,2,20371912,truncated_KDE_chi2,0.05,0.009542905376178534,6.96,True,False,6.96,0.014696777429368098,38,9,4,2400,0.003,2960,8.88,40.0,0.0,0.0
0.3,Langevin,2,20371912,well_TV,0.075,0.023333333333333428,8.16,True,False,8.16,0.04541666666666655,38,4,4,2400,0.003,2960,8.88,40.0,0.0,0.0
0.3,Langevin,2,20371912,W1,0.11814538348390369,0.04725815339356147,8.16,True,False,8.16,0.0845672877834815,38,4,4,2400,0.003,2960,8.88,40.0,0.0,0.0
0.3,Langevin,2,20371912,CDF_sup,0.07251258203362997,0.029005032813451986,8.16,True,False,8.16,0.05552306031385956,38,4,4,2400,0.003,2960,8.88,40.0,0.0,0.0
0.3,Langevin,1,20371812,truncated_KDE_chi2,0.05,0.009542905376178534,7.44,True,False,7.44,0.01209568895111947,41,10,4,2400,0.003,3200,9.6,40.0,0.0,0.0
0.3,Langevin,1,20371812,well_TV,0.075,0.023333333333333428,8.16,True,False,8.16,0.043749999999999845,41,7,4,2400,0.003,3200,9.6,40.0,0.0,0.0
0.3,Langevin,1,20371812,W1,0.11814538348390369,0.04725815339356147,8.88,True,False,8.879999999999999,0.07907310215770232,41,4,4,2400,0.003,3200,9.6,40.0,0.0,0.0
0.3,Langevin,1,20371812,CDF_sup,0.07251258203362997,0.029005032813451986,8.4,True,False,8.4,0.048473837841636225,41,6,4,2400,0.003,3200,9.6,40.0,0.0,0.0
0.3,LSC-CP,3,20372013,truncated_KDE_chi2,0.05,0.009542905376178534,1.2,True,False,1.2,0.00784187174595665,10,5,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,3,20372013,well_TV,0.075,0.023333333333333428,1.44,True,False,1.4400000000000002,0.006666666666666599,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,3,20372013,W1,0.11814538348390369,0.04725815339356147,1.44,True,False,1.4400000000000002,0.03275132265974327,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,3,20372013,CDF_sup,0.07251258203362997,0.029005032813451986,1.44,True,False,1.4400000000000002,0.019488900261727726,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,Langevin,0,20371712,truncated_KDE_chi2,0.05,0.009542905376178534,8.4,True,False,8.4,0.011355837774764763,49,14,4,2400,0.003,3840,11.52,40.0,0.0,0.0
0.3,Langevin,0,20371712,well_TV,0.075,0.023333333333333428,9.84,True,False,9.84,0.043749999999999845,49,8,4,2400,0.003,3840,11.52,40.0,0.0,0.0
0.3,Langevin,0,20371712,W1,0.11814538348390369,0.04725815339356147,10.8,True,False,10.799999999999999,0.07983321268332336,49,4,4,2400,0.003,3840,11.52,40.0,0.0,0.0
0.3,Langevin,0,20371712,CDF_sup,0.07251258203362997,0.029005032813451986,10.08,True,False,10.08,0.044584847786825366,49,7,4,2400,0.003,3840,11.52,40.0,0.0,0.0
0.3,Langevin,3,20372012,truncated_KDE_chi2,0.05,0.009542905376178534,7.44,True,False,7.44,0.016099671962332293,41,10,4,2400,0.003,3200,9.6,40.0,0.0,0.0
0.3,Langevin,3,20372012,well_TV,0.075,0.023333333333333428,8.88,True,False,8.879999999999999,0.0529166666666665,41,4,4,2400,0.003,3200,9.6,40.0,0.0,0.0
0.3,Langevin,3,20372012,W1,0.11814538348390369,0.04725815339356147,8.88,True,False,8.879999999999999,0.10003989559475468,41,4,4,2400,0.003,3200,9.6,40.0,0.0,0.0
0.3,Langevin,3,20372012,CDF_sup,0.07251258203362997,0.029005032813451986,8.88,True,False,8.879999999999999,0.05356602762490226,41,4,4,2400,0.003,3200,9.6,40.0,0.0,0.0
0.3,LSC-CP,4,20372113,truncated_KDE_chi2,0.05,0.009542905376178534,1.2,True,False,1.2,0.00802319448978829,11,6,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.3,LSC-CP,4,20372113,well_TV,0.075,0.023333333333333428,1.68,True,False,1.68,0.013333333333333197,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.3,LSC-CP,4,20372113,W1,0.11814538348390369,0.04725815339356147,1.68,True,False,1.68,0.027610242494204594,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.3,LSC-CP,4,20372113,CDF_sup,0.07251258203362997,0.029005032813451986,1.68,True,False,1.68,0.02634116596359304,11,4,4,2400,0.003,800,2.4,30.0,0.0,0.0
0.3,LSC-CP,5,20372213,truncated_KDE_chi2,0.05,0.009542905376178534,1.2,True,False,1.2,0.006190285958233658,10,5,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,5,20372213,well_TV,0.075,0.023333333333333428,1.44,True,False,1.4400000000000002,0.023749999999999938,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,5,20372213,W1,0.11814538348390369,0.04725815339356147,1.44,True,False,1.4400000000000002,0.04198741143601352,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,LSC-CP,5,20372213,CDF_sup,0.07251258203362997,0.029005032813451986,1.44,True,False,1.4400000000000002,0.025077490361346877,10,4,4,2400,0.003,720,2.16,30.0,0.0,0.0
0.3,Langevin,4,20372112,truncated_KDE_chi2,0.05,0.009542905376178534,7.92,True,False,7.920000000000001,0.013988839530335851,44,11,4,2400,0.003,3440,10.32,40.0,0.0,0.0
0.3,Langevin,4,20372112,well_TV,0.075,0.023333333333333428,9.120000000000001,True,False,9.12,0.040416666666666545,44,6,4,2400,0.003,3440,10.32,40.0,0.0,0.0
