epsilon,method,metric,n_seeds,n_reached,n_censored,all_reached,km_median_mixing_time,median_reached_mixing_time,mean_reached_mixing_time,q25_reached_mixing_time,q75_reached_mixing_time,bootstrap_median_ci_low,bootstrap_median_ci_high,threshold,bias_floor,maximum_censoring_time
0.05,LSC-CP,CDF_sup,6,6,0,True,1.9200000000000002,1.9200000000000002,1.84,1.74,1.9200000000000002,1.68,1.9200000000000002,0.08419313874524735,0.03367725549809894,53.667
0.05,LSC-CP,W1,6,6,0,True,2.4000000000000004,2.52,2.6,2.4000000000000004,2.6399999999999997,2.4000000000000004,2.6399999999999997,0.10001797186792878,0.04000718874717151,53.667
0.05,LSC-CP,truncated_KDE_chi2,6,0,6,False,,,,,,,,0.05164399875640945,0.02065759950256378,53.667
0.05,LSC-CP,well_TV,6,6,0,True,1.9200000000000002,1.9200000000000002,2.0,1.9200000000000002,2.1,1.9200000000000002,2.16,0.075,0.01874999999999999,53.667
0.05,Langevin,CDF_sup,6,6,0,True,643.92,676.56,681.8000000000001,639.96,715.6800000000001,621.36,717.84,0.08419313874524735,0.03367725549809894,900.0
0.05,Langevin,W1,6,5,1,False,834.96,834.96,833.808,818.88,837.6,815.52,862.08,0.10001797186792878,0.04000718874717151,900.0
0.05,Langevin,truncated_KDE_chi2,6,6,0,True,586.56,598.56,601.12,565.86,632.7,533.04,640.08,0.05164399875640945,0.02065759950256378,900.0
0.05,Langevin,well_TV,6,6,0,True,676.3199999999999,714.5999999999999,722.2799999999999,667.3199999999999,769.98,660.0,775.68,0.075,0.01874999999999999,900.0
0.06,LSC-CP,CDF_sup,6,6,0,True,2.16,2.16,2.2,2.16,2.3400000000000003,1.9200000000000002,2.4000000000000004,0.07069044584314052,0.028276178337256208,48.99
0.06,LSC-CP,W1,6,6,0,True,2.88,2.88,3.16,2.6999999999999997,3.24,2.6399999999999997,3.3600000000000003,0.08402714512699778,0.033610858050799115,48.99
0.06,LSC-CP,truncated_KDE_chi2,6,1,5,False,,21.84,21.84,21.84,21.84,21.84,21.84,0.05,0.01469681713071609,48.99
0.06,LSC-CP,well_TV,6,6,0,True,1.9200000000000002,2.04,2.04,1.9200000000000002,2.16,1.9200000000000002,2.16,0.075,0.01666666666666672,48.99
0.06,Langevin,CDF_sup,6,6,0,True,319.2,322.2,329.44,314.15999999999997,333.47999999999996,305.76,336.23999999999995,0.07069044584314052,0.028276178337256208,438.24
0.06,Langevin,W1,6,6,0,True,372.0,373.2,380.92,369.48,388.26,340.08,392.88,0.08402714512699778,0.033610858050799115,438.24
0.06,Langevin,truncated_KDE_chi2,6,6,0,True,265.2,268.79999999999995,267.0799999999999,261.59999999999997,273.47999999999996,252.0,273.84,0.05,0.01469681713071609,438.24
0.06,Langevin,well_TV,6,6,0,True,303.12,307.56,312.91999999999996,296.64,320.82,293.03999999999996,323.76,0.075,0.01666666666666672,438.24
0.07,LSC-CP,CDF_sup,6,6,0,True,2.6399999999999997,3.0,3.4800000000000004,2.46,4.62,2.16,5.04,0.06,0.021124239939305678,23.76
0.07,LSC-CP,W1,6,6,0,True,2.88,2.88,2.8800000000000003,2.6999999999999997,3.06,2.4000000000000004,3.12,0.08,0.027438913935108923,23.76
0.07,LSC-CP,truncated_KDE_chi2,6,6,0,True,6.0,6.12,9.040000000000001,6.0,6.96,5.760000000000001,7.2,0.05,0.012838014633234307,23.76
0.07,LSC-CP,well_TV,6,6,0,True,2.16,2.16,2.08,1.9800000000000002,2.16,1.9200000000000002,2.16,0.075,0.01458333333333317,23.76
0.07,Langevin,CDF_sup,6,6,0,True,185.04,190.2,189.95999999999995,180.18,200.57999999999998,169.92000000000002,202.32,0.06,0.021124239939305678,243.84
0.07,Langevin,W1,6,6,0,True,202.32,217.32,218.84,201.96,234.48000000000002,198.24,235.20000000000002,0.08,0.027438913935108923,243.84
0.07,Langevin,truncated_KDE_chi2,6,6,0,True,142.08,142.44,144.56000000000003,139.20000000000002,151.26000000000002,136.08,154.08,0.05,0.012838014633234307,243.84
0.07,Langevin,well_TV,6,6,0,True,173.52,174.48000000000002,172.12,161.28000000000003,179.94,156.96,181.44,0.075,0.01458333333333317,243.84
0.08,LSC-CP,CDF_sup,6,6,0,True,1.9200000000000002,1.9200000000000002,1.84,1.74,1.9200000000000002,1.68,1.9200000000000002,0.07805030586392342,0.031220122345569368,9.120000000000001
0.08,LSC-CP,W1,6,6,0,True,2.4000000000000004,2.52,2.64,2.4000000000000004,2.82,2.16,2.88,0.08917386797272878,0.03566954718909151,9.120000000000001
0.08,LSC-CP,truncated_KDE_chi2,6,6,0,True,2.88,3.48,4.240000000000001,2.6999999999999997,4.620000000000001,2.6399999999999997,4.800000000000001,0.05,0.01305393124083749,9.120000000000001
0.08,LSC-CP,well_TV,6,6,0,True,1.9200000000000002,1.9200000000000002,1.8800000000000001,1.9200000000000002,1.9200000000000002,1.68,1.9200000000000002,0.075,0.017916666666666803,9.120000000000001
0.08,Langevin,CDF_sup,6,6,0,True,110.64,113.28,114.08,107.94,119.34,95.52000000000001,120.48,0.07805030586392342,0.031220122345569368,154.8
0.08,Langevin,W1,6,6,0,True,124.08,132.12,134.0,121.92,149.52,111.84,152.64000000000001,0.08917386797272878,0.03566954718909151,154.8
0.08,Langevin,truncated_KDE_chi2,6,6,0,True,93.60000000000001,93.84,93.68,92.16000000000001,95.16000000000001,79.2,95.52000000000001,0.05,0.01305393124083749,154.8
0.08,Langevin,well_TV,6,6,0,True,111.60000000000001,114.24000000000001,114.67999999999999,108.72,120.84,92.4,122.16,0.075,0.017916666666666803,154.8
0.09,LSC-CP,CDF_sup,6,6,0,True,1.68,1.8,1.8,1.68,1.9200000000000002,1.68,1.9200000000000002,0.08816116307660216,0.03526446523064086,4.08
0.09,LSC-CP,W1,6,6,0,True,1.9200000000000002,1.9200000000000002,2.0,1.9200000000000002,2.1,1.9200000000000002,2.16,0.13566633172252313,0.054266532689009245,4.08
0.09,LSC-CP,truncated_KDE_chi2,6,6,0,True,2.6399999999999997,2.76,2.7999999999999994,2.6399999999999997,2.88,2.4000000000000004,2.88,0.05,0.011512117673437884,4.08
0.09,LSC-CP,well_TV,6,6,0,True,1.9200000000000002,1.9200000000000002,2.0,1.9200000000000002,2.1,1.9200000000000002,2.16,0.075,0.028749999999999942,4.08
0.09,Langevin,CDF_sup,6,6,0,True,72.0,72.12,70.44000000000001,70.2,73.32000000000001,60.24,73.68,0.08816116307660216,0.03526446523064086,84.96000000000001
0.09,Langevin,W1,6,6,0,True,75.12,76.68,75.67999999999999,73.86,78.96000000000001,64.32000000000001,79.2,0.13566633172252313,0.054266532689009245,84.96000000000001
0.09,Langevin,truncated_KDE_chi2,6,6,0,True,63.84,64.44,63.720000000000006,63.480000000000004,65.4,57.120000000000005,65.52,0.05,0.011512117673437884,84.96000000000001
0.09,Langevin,well_TV,6,6,0,True,75.60000000000001,76.56,76.16000000000001,74.88,78.60000000000001,66.0,78.96000000000001,0.075,0.028749999999999942,84.96000000000001
0.1,LSC-CP,CDF_sup,6,6,0,True,1.9200000000000002,1.9200000000000002,1.8800000000000001,1.9200000000000002,1.9200000000000002,1.68,1.9200000000000002,0.07843592857603054,0.03137437143041222,3.6
0.1,LSC-CP,W1,6,6,0,True,2.16,2.16,2.08,1.9800000000000002,2.16,1.9200000000000002,2.16,0.12247425158447733,0.048989700633790934,3.6
0.1,LSC-CP,truncated_KDE_chi2,6,6,0,True,2.16,2.2800000000000002,2.32,1.9800000000000002,2.58,1.9200000000000002,2.6399999999999997,0.05,0.01160279623679263,3.6
0.1,LSC-CP,well_TV,6,6,0,True,1.9200000000000002,1.9200000000000002,1.8800000000000001,1.9200000000000002,1.9200000000000002,1.68,1.9200000000000002,0.075,0.028333333333333266,3.6
0.1,Langevin,CDF_sup,6,6,0,True,57.6,58.68000000000001,57.400000000000006,57.6,59.760000000000005,48.72,59.760000000000005,0.07843592857603054,0.03137437143041222,63.6
0.1,Langevin,W1,6,6,0,True,60.96,60.96,60.07999999999999,59.88,61.5,54.480000000000004,61.68,0.12247425158447733,0.048989700633790934,63.6
0.1,Langevin,truncated_KDE_chi2,6,6,0,True,47.760000000000005,48.72,48.64000000000001,46.32000000000001,51.120000000000005,43.92,51.6,0.05,0.01160279623679263,63.6
0.1,Langevin,well_TV,6,6,0,True,57.6,58.2,57.88,57.6,59.34,52.800000000000004,59.52,0.075,0.028333333333333266,63.6
0.11,LSC-CP,CDF_sup,6,6,0,True,1.9200000000000002,1.9200000000000002,2.0,1.9200000000000002,2.1,1.9200000000000002,2.16,0.0716272453854129,0.02865089815416516,3.12
0.11,LSC-CP,W1,6,6,0,True,2.16,2.16,2.12,1.9800000000000002,2.16,1.9200000000000002,2.16,0.11310317788182798,0.045241271152731195,3.12
0.11,LSC-CP,truncated_KDE_chi2,6,6,0,True,2.16,2.16,2.12,1.9800000000000002,2.16,1.9200000000000002,2.16,0.05,0.011946003495541143,3.12
0.11,LSC-CP,well_TV,6,6,0,True,1.9200000000000002,1.9200000000000002,1.88,1.74,1.9200000000000002,1.68,1.9200000000000002,0.075,0.02416666666666667,3.12
0.11,Langevin,CDF_sup,6,6,0,True,50.64,51.480000000000004,51.120000000000005,48.84,53.58,47.28,54.0,0.0716272453854129,0.02865089815416516,55.68
0.11,Langevin,W1,6,6,0,True,52.32,52.8,52.199999999999996,49.8,54.36,48.96,54.72,0.11310317788182798,0.045241271152731195,55.68
0.11,Langevin,truncated_KDE_chi2,6,6,0,True,40.56,40.56,40.6,39.66,41.1,38.88,41.28,0.05,0.011946003495541143,55.68
0.11,Langevin,well_TV,6,6,0,True,48.0,49.08,48.84,47.1,50.7,45.6,50.88,0.075,0.02416666666666667,55.68
0.125,LSC-CP,CDF_sup,6,6,0,True,1.9200000000000002,1.9200000000000002,1.96,1.9200000000000002,1.9200000000000002,1.9200000000000002,1.9200000000000002,0.06325018789250014,0.025300075157000057,3.36
0.125,LSC-CP,W1,6,6,0,True,2.16,2.16,2.28,2.16,2.5199999999999996,1.9200000000000002,2.6399999999999997,0.08795574276387472,0.03518229710554989,3.36
0.125,LSC-CP,truncated_KDE_chi2,6,6,0,True,1.9200000000000002,1.9200000000000002,1.84,1.74,1.9200000000000002,1.68,1.9200000000000002,0.05,0.010284141246255294,3.36
0.125,LSC-CP,well_TV,6,6,0,True,1.68,1.68,1.76,1.68,1.86,1.68,1.9200000000000002,0.075,0.020416666666666805,3.36
0.125,Langevin,CDF_sup,6,6,0,True,40.080000000000005,40.440000000000005,40.480000000000004,38.64,41.34,36.24,41.52,0.06325018789250014,0.025300075157000057,49.92
0.125,Langevin,W1,6,6,0,True,42.96,42.96,43.88,42.06,44.76,41.04,45.36,0.08795574276387472,0.03518229710554989,49.92
0.125,Langevin,truncated_KDE_chi2,6,6,0,True,30.0,30.36,30.480000000000004,29.82,31.44,28.8,31.68,0.05,0.010284141246255294,49.92
0.125,Langevin,well_TV,6,6,0,True,35.52,36.36,36.440000000000005,34.260000000000005,38.64,33.6,39.120000000000005,0.075,0.020416666666666805,49.92
0.14,LSC-CP,CDF_sup,6,6,0,True,1.68,1.68,1.64,1.68,1.68,1.4400000000000002,1.68,0.09336174857303772,0.03734469942921509,2.64
0.14,LSC-CP,W1,6,6,0,True,1.68,1.68,1.76,1.68,1.86,1.68,1.9200000000000002,0.1302073948851829,0.05208295795407317,2.64
0.14,LSC-CP,truncated_KDE_chi2,6,6,0,True,1.68,1.68,1.76,1.68,1.86,1.68,1.9200000000000002,0.05,0.01371698989950259,2.64
0.14,LSC-CP,well_TV,6,6,0,True,1.68,1.8,1.8,1.68,1.9200000000000002,1.68,1.9200000000000002,0.075,0.024166666666666614,2.64
0.14,Langevin,CDF_sup,6,6,0,True,23.520000000000003,24.120000000000005,23.840000000000003,23.340000000000003,25.080000000000002,21.12,25.200000000000003,0.09336174857303772,0.03734469942921509,29.52
0.14,Langevin,W1,6,6,0,True,26.64,26.64,26.560000000000002,26.28,27.180000000000003,23.76,27.360000000000003,0.1302073948851829,0.05208295795407317,29.52
0.14,Langevin,truncated_KDE_chi2,6,6,0,True,21.84,22.08,21.88,21.12,22.32,20.400000000000002,22.32,0.05,0.01371698989950259,29.52
0.14,Langevin,well_TV,6,6,0,True,26.400000000000002,26.64,26.400000000000002,26.22,27.96,22.080000000000002,28.32,0.075,0.024166666666666614,29.52
0.16,LSC-CP,CDF_sup,6,6,0,True,1.9200000000000002,1.9200000000000002,1.96,1.9200000000000002,2.1,1.68,2.16,0.063104730768445,0.025241892307378,2.88
0.16,LSC-CP,W1,6,6,0,True,1.9200000000000002,1.9200000000000002,1.96,1.9200000000000002,2.1,1.68,2.16,0.10648104486609627,0.04259241794643851,2.88
0.16,LSC-CP,truncated_KDE_chi2,6,6,0,True,1.4400000000000002,1.56,1.5599999999999998,1.4400000000000002,1.68,1.4400000000000002,1.68,0.05,0.010492537485859665,2.88
0.16,LSC-CP,well_TV,6,6,0,True,1.68,1.68,1.72,1.68,1.68,1.68,1.68,0.075,0.023333333333333206,2.88
0.16,Langevin,CDF_sup,6,6,0,True,22.8,23.76,23.840000000000003,22.8,24.900000000000002,22.560000000000002,24.96,0.063104730768445,0.025241892307378,25.92
0.16,Langevin,W1,6,6,0,True,23.040000000000003,23.400000000000002,23.64,22.86,24.3,22.560000000000002,24.48,0.10648104486609627,0.04259241794643851,25.92
0.16,Langevin,truncated_KDE_chi2,6,6,0,True,17.040000000000003,17.64,18.000000000000004,16.86,19.14,16.560000000000002,19.44,0.05,0.010492537485859665,25.92
0.16,Langevin,well_TV,6,6,0,True,20.880000000000003,21.480000000000004,21.680000000000003,20.700000000000003,22.800000000000004,19.92,23.040000000000003,0.075,0.023333333333333206,25.92
0.18,LSC-CP,CDF_sup,6,6,0,True,1.9200000000000002,1.9200000000000002,1.96,1.9200000000000002,2.1,1.68,2.16,0.06363787647145944,0.025455150588583775,3.12
0.18,LSC-CP,W1,6,6,0,True,2.16,2.2800000000000002,2.24,2.16,2.4000000000000004,1.9200000000000002,2.4000000000000004,0.08,0.031964107072202055,3.12
0.18,LSC-CP,truncated_KDE_chi2,6,6,0,True,1.68,1.68,1.5999999999999999,1.5,1.68,1.4400000000000002,1.68,0.05,0.011439934977145547,3.12
0.18,LSC-CP,well_TV,6,6,0,True,1.68,1.68,1.72,1.68,1.68,1.68,1.68,0.075,0.021250000000000213,3.12
0.18,Langevin,CDF_sup,6,6,0,True,21.12,21.36,20.92,20.040000000000003,21.78,18.96,21.84,0.06363787647145944,0.025455150588583775,26.400000000000002
