method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,bank_size,bank_refresh_policy,bank_shared_between_score_and_noise,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,17,0.085,1372238.7707624764,428.8246158632739,17.0,544.0,0.6854374087830828,0.4461097192811584,0.44552340036824967,0.70625,0.40433059770942836,0.0,0.276661347981614,0.6773977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0056597222222222205,141.60163803379695,302,0.0,1.1102941176470589,1.838235294117647e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,17,0.085,1372238.7707624764,428.8246158632739,17.0,544.0,0.6906548391506497,0.4538022669791738,0.4532353082884313,0.7125,0.39279835927167095,0.0,0.2934134522773218,0.6898977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0056597222222222205,141.60163803379695,302,0.0,1.1102941176470589,1.838235294117647e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,25,0.125,2017998.1922977592,630.6244350930498,25.0,800.0,0.6731849015120543,0.43160069184847705,0.43100676716508257,0.6912499999999999,0.38831122849443556,0.0,0.26335017243955083,0.6648977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0053124999999999995,145.45100311389984,438,0.0,1.095,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,25,0.125,2017998.1922977592,630.6244350930498,25.0,800.0,0.6628911872327905,0.4163585716267373,0.41574315241223425,0.68,0.36673917600253547,0.0,0.2542264581456196,0.6586477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0053124999999999995,145.45100311389984,438,0.0,1.095,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,25,0.125,2017998.1922977592,630.6244350930498,25.0,800.0,0.6630779714998885,0.41860077966370746,0.4179957182447902,0.67625,0.37076464096988604,0.0,0.2527223245713833,0.6548977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0053124999999999995,145.45100311389984,438,0.0,1.095,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,25,0.125,2017998.1922977592,630.6244350930498,25.0,800.0,0.6702962244341202,0.42685989753260567,0.42626958007502425,0.6925,0.36593601111175134,0.0,0.27171022533787975,0.6711477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0053124999999999995,145.45100311389984,438,0.0,1.095,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,33,0.165,2663757.6138330423,832.4242543228257,33.0,1056.0,0.6501947803823278,0.3996758230134999,0.3990532249372267,0.6637500000000001,0.36215804239370675,0.0,0.23894743326245527,0.6411477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0049609375,361.91077700482555,565,0.0,1.0700757575757576,9.46969696969697e-06,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,33,0.165,2663757.6138330423,832.4242543228257,33.0,1056.0,0.6395158220747146,0.38805450919361106,0.3874192564574708,0.655,0.3338741803585473,0.0,0.23191176036457634,0.6361477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0049609375,361.91077700482555,565,0.0,1.0700757575757576,9.46969696969697e-06,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,33,0.165,2663757.6138330423,832.4242543228257,33.0,1056.0,0.6393771175558115,0.38868071446097374,0.3880507367304026,0.6512500000000001,0.3260343410802473,0.0,0.22613817188508678,0.6286477216369077,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0049609375,361.91077700482555,565,0.0,1.0700757575757576,9.46969696969697e-06,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,33,0.165,2663757.6138330423,832.4242543228257,33.0,1056.0,0.6590788033026926,0.4138792333132758,0.4132760983657694,0.6725000000000001,0.3545431127388967,0.0,0.25825851993293136,0.6586477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0049609375,361.91077700482555,565,0.0,1.0700757575757576,9.46969696969697e-06,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,42,0.21,3390236.9630602356,1059.4490509563236,42.0,1344.0,0.6328363213628143,0.38065506436969176,0.3800152562904012,0.6425000000000001,0.32842866653073544,0.0,0.22052129834237183,0.6236477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005486111111111111,516.7031410737357,723,0.0,1.0758928571428572,1.4880952380952381e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,42,0.21,3390236.9630602356,1059.4490509563236,42.0,1344.0,0.6295783456307578,0.3738084840718138,0.3731591233773822,0.6412500000000001,0.30780291887027,0.0,0.21699810085188237,0.6186477216369077,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005486111111111111,516.7031410737357,723,0.0,1.0758928571428572,1.4880952380952381e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,42,0.21,3390236.9630602356,1059.4490509563236,42.0,1344.0,0.6219499113452494,0.36469738026448884,0.3640458637140255,0.62875,0.29744123694823077,0.0,0.2073292467155485,0.6061477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005486111111111111,516.7031410737357,723,0.0,1.0758928571428572,1.4880952380952381e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,42,0.21,3390236.9630602356,1059.4490509563236,42.0,1344.0,0.6425561715450725,0.3903748124620534,0.38974775026774333,0.655,0.3374258818122773,0.0,0.23787637500235165,0.6411477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005486111111111111,516.7031410737357,723,0.0,1.0758928571428572,1.4880952380952381e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,50,0.25,4035996.3845955185,1261.2488701860996,50.0,1600.0,0.609906975689444,0.34953072170579935,0.34885966527209034,0.6162500000000001,0.3031568972984069,0.0,0.19816581077239903,0.5948977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005742187499999999,195.54160959415097,870,0.0,1.0875,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,50,0.25,4035996.3845955185,1261.2488701860996,50.0,1600.0,0.610262447723337,0.35194695167561063,0.35127977579553693,0.6200000000000001,0.3003251102741754,0.0,0.19774727697679229,0.5948977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005742187499999999,195.54160959415097,870,0.0,1.0875,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,50,0.25,4035996.3845955185,1261.2488701860996,50.0,1600.0,0.6077301328600047,0.34782716702363636,0.34716350416997965,0.6100000000000001,0.28188940960330866,0.0,0.1955025626465915,0.5886477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005742187499999999,195.54160959415097,870,0.0,1.0875,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,50,0.25,4035996.3845955185,1261.2488701860996,50.0,1600.0,0.6223014790774453,0.36533494850892245,0.3646817381601061,0.63375,0.31078902829920574,0.0,0.21416195762735113,0.6148977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005742187499999999,195.54160959415097,870,0.0,1.0875,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,58,0.29,4681755.806130801,1463.0486894158755,58.0,1856.0,0.5863670053530895,0.3235094608345954,0.3228205827107232,0.5887500000000001,0.27376966758310073,0.0,0.1808107138978982,0.5736477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0056640625,127.0917869326972,1015,0.0,1.09375,1.0775862068965516e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,58,0.29,4681755.806130801,1463.0486894158755,58.0,1856.0,0.5941474286235797,0.3294007795594499,0.32870884707998815,0.6025,0.2844405121982194,0.0,0.18228131330068223,0.5748977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0056640625,127.0917869326972,1015,0.0,1.09375,1.0775862068965516e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,58,0.29,4681755.806130801,1463.0486894158755,58.0,1856.0,0.5892423917818179,0.3237869430811732,0.3231000364372022,0.58625,0.26813789696335233,0.0,0.17786982683914207,0.5611477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0056640625,127.0917869326972,1015,0.0,1.09375,1.0775862068965516e-05,0.0
