method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,mh_accept,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative,mh_accept_fraction_cumulative
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,0,0,0.0,0.0,0.0,0.0,0.0,1.3557649128891203,0.42952085073770596,0.42929383997236525,0.6125009974711073,0.7008757265416623,1.0132948462470135,1.0,0.5,0.9997640802759993,0.03755893569251767,1.0067429040094156,0.01824819844740999,True,1.0,reject,,,,
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,1,0,0.0,0.0,0.0,0.0,0.0,1.356199730903927,0.42968929407514656,0.4294622595551635,0.6188941827546464,0.7010862703840189,1.0129200613962464,1.0,0.5,1.0005168487355727,0.039106256014137974,1.0091499689608632,0.02160522953744015,True,1.0,reject,,,,
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,2,0,0.0,0.0,0.0,0.0,0.0,1.3565952561988697,0.429807255880041,0.42958023020798064,0.6108411415897769,0.7013234534314059,1.0135504001861981,1.0,0.5,1.0009164019481107,0.039890593692574416,1.0102985746595075,0.023091728295177583,True,1.0,reject,,,,
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,3,0,0.0,0.0,0.0,0.0,0.0,1.3558031906500607,0.42976035864239137,0.4295332545146572,0.6123520329860661,0.7009440489528048,1.013429666718399,1.0,0.5,1.0011425940810272,0.040479582261244706,1.011383549041034,0.02480363651073858,True,1.0,reject,,,,
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,0,1,0.16,8000.0,1.0,1.0,0.0,1.3186750162964342,0.4197897948848762,0.41955789554544487,0.5072129709080349,0.6827458031056104,0.9881253842059697,1.0,0.5,0.9881223502607586,0.02307651809223399,0.9973728111666583,0.021610394588376214,True,1.0,reject,0.6515,0.0,0.0,0.6515
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,1,1,0.16,8000.0,1.0,1.0,0.0,1.315706611151025,0.4188409463989188,0.4186089731006971,0.5056511766271773,0.6813646923764896,0.9848976224595748,1.0,0.5,0.9848732171164318,0.016808155939068703,0.9879860362271597,0.00874716924392327,True,1.0,reject,0.6515,0.0,0.0,0.6515
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,2,1,0.16,8000.0,1.0,1.0,0.0,1.3136850650971392,0.41795474850638203,0.4177218864436204,0.5009917990065121,0.6804831917819808,0.9862715167674324,1.0,0.5,0.9862069988320578,0.021065551674496197,0.9963974090515952,0.022432042756109882,True,1.0,reject,0.6515,0.0,0.0,0.6515
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,3,1,0.16,8000.0,1.0,1.0,0.0,1.3190119145614265,0.4199195558693203,0.4196881393340909,0.5090841862136356,0.6828216946850516,0.9863582145223302,1.0,0.5,0.9860807998392104,0.01817567504747264,0.9887307057103374,0.00820695238066016,True,1.0,reject,0.6515,0.0,0.0,0.6515
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,0,2,0.32,16000.0,2.0,2.0,0.0,1.2993686240777766,0.41429841430370473,0.4140643263143191,0.5024876643103664,0.6745820307291753,0.978336544439265,1.0,0.5,0.9783272446393647,0.007752864081532418,0.979918955170152,0.004920508580519178,True,1.0,reject,0.691625,0.0,0.0,0.6715625
MALA,"MALA, tamed",08c004da545dcf2d029aaf023d64b5af,8da7d73e85753d4e79f54062070fbc7b,True,1,2,0.32,16000.0,2.0,2.0,0.0,1.3017470128689046,0.4149218943613159,0.414687900944514,0.5015104769269301,0.6755843564103636,0.9803395854275168,1.0,0.5,0.9803143869326364,0.01148568331310762,0.9851362910889353,0.011366215378416533,True,1.0,reject,0.691625,0.0,0.0,0.6715625
