method,seed,rng_seed,effective_log_clip,h_shell,logratio_clip_fraction,max_log_ratio,max_score_norm,n_rho,n_theta,overflow_guard_logratio_clip_fraction,rho_n,score_changing_logratio_clip_fraction,score_clip_fraction,max_jump_count,mean_energy_after_jump,mean_energy_before_jump,mean_jump_count,total_jump_count,n_atoms,jump_cost_proxy,score_cost_proxy,total_cost_proxy,cost_proxy,jump_type
Langevin,0,20260123,,,,,,,,,,,,,,,,,,,,,,
LSC-shell,0,20260124,80.0,0.08,1.561111111111111e-05,94.89001563170184,1.7653614543564622e+19,3.0,5.0,3.7037037037037036e-08,3.0,1.561111111111111e-05,0.00015455555555555557,1.0013333333333334,2.9552359580217233,2.948067627927275,0.0028403703703703703,5.112666666666667,4.0,2700000.0,162000000.0,164700000.0,164700000.0,shell
CP-shell,0,20260125,,0.08,,,,3.0,5.0,,3.0,,,1.0046666666666666,3.395928892030979,3.389005795413122,0.0028492592592592593,5.128666666666667,4.0,2700000.0,0.0,2700000.0,2700000.0,shell
Langevin,1,20268123,,,,,,,,,,,,,,,,,,,,,,
LSC-shell,1,20268124,80.0,0.08,1.708641975308642e-05,101.47375833095704,2.6273109439077875e+17,3.0,5.0,9.259259259259259e-08,3.0,1.708641975308642e-05,0.00016414814814814813,1.0013333333333334,2.9556873698112898,2.9484445400849206,0.002807037037037037,5.052666666666667,4.0,2700000.0,162000000.0,164700000.0,164700000.0,shell
CP-shell,1,20268125,,0.08,,,,3.0,5.0,,3.0,,,1.002,3.40620992518148,3.3991678386113144,0.0028007407407407404,5.041333333333333,4.0,2700000.0,0.0,2700000.0,2700000.0,shell
Langevin,2,20276123,,,,,,,,,,,,,,,,,,,,,,
LSC-shell,2,20276124,80.0,0.08,1.861111111111111e-05,103.0373872566376,2.1944159881758064e+16,3.0,5.0,8.641975308641976e-08,3.0,1.861111111111111e-05,0.0001751111111111111,1.0013333333333334,2.9563261265181,2.949179300948148,0.002782962962962963,5.009333333333333,4.0,2700000.0,162000000.0,164700000.0,164700000.0,shell
CP-shell,2,20276125,,0.08,,,,3.0,5.0,,3.0,,,1.0013333333333334,3.3962203316186783,3.389486644650678,0.002731851851851851,4.917333333333334,4.0,2700000.0,0.0,2700000.0,2700000.0,shell
Langevin,3,20284123,,,,,,,,,,,,,,,,,,,,,,
LSC-shell,3,20284124,80.0,0.08,1.5555555555555555e-05,97.20374436874484,3.30617958794146e+16,3.0,5.0,7.407407407407407e-08,3.0,1.5555555555555555e-05,0.00015659259259259259,1.0013333333333334,2.9592827367737953,2.952180306452193,0.002799259259259259,5.038666666666667,4.0,2700000.0,162000000.0,164700000.0,164700000.0,shell
CP-shell,3,20284125,,0.08,,,,3.0,5.0,,3.0,,,1.002,3.385982702772485,3.378984242681295,0.0027811111111111114,5.006,4.0,2700000.0,0.0,2700000.0,2700000.0,shell
