method,seed,threshold,first_all_basin_time
Langevin,0,0.04,1.344
LSC-shell,0,0.04,0.504
CP-shell,0,0.04,0.336
Langevin,1,0.04,1.344
LSC-shell,1,0.04,0.504
CP-shell,1,0.04,0.42
Langevin,2,0.04,1.512
LSC-shell,2,0.04,0.588
CP-shell,2,0.04,0.42
Langevin,3,0.04,1.344
LSC-shell,3,0.04,0.504
CP-shell,3,0.04,0.42
