method,seed,time,basin_TV,nearest_minimum_diagnostic_TV,coverage,entropy,effective_basin_count,weak_z1,weak_z2,weak_aux_norm,weak_U,weak_xnorm,jump_type,h_shell,n_atoms,n_theta,n_rho,rho_n,mean_jump_count,total_jump_count,max_jump_count,score_clip_fraction,logratio_clip_fraction,jump_cost_proxy,score_cost_proxy,total_cost_proxy,cost_proxy,mean_energy_after_jump,mean_energy_before_jump,effective_log_clip,max_log_ratio,max_score_norm,overflow_guard_logratio_clip_fraction,score_changing_logratio_clip_fraction
Langevin,0,0.0,0.27332147299652026,0.27702504225066715,0.3333333333333333,1.3815510557964273e-297,1.0,0.17469036700534268,0.38047579312766855,0.020900677719764005,0.852083712976762,0.37005638077304503,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
Langevin,0,0.084,0.27165480632985356,0.27535837558400045,0.3333333333333333,0.012326826430889474,1.012403114898451,0.18998215638343618,0.3611308287393544,0.00520968773537156,0.30721912291260356,0.4257578108759894,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
Langevin,0,0.168,0.26498813966318696,0.2664694866951116,0.3333333333333333,0.04819427877977932,1.0493745067205262,0.19907301295796853,0.3417047626619445,0.023002329630142704,0.2686641003879431,0.3663858553690309,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
Langevin,0,0.252,0.2566548063298536,0.25924726447288937,0.3333333333333333,0.08476607571480994,1.0884624191220844,0.21256468599754852,0.3283706141606828,0.011164673032527439,0.203138473660597,0.38109735784621446,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
Langevin,0,0.336,0.2494325841076314,0.24980282002844492,0.6666666666666666,0.1202035952241085,1.1277264279230852,0.21194809092892963,0.31040170649905074,0.023945076427793754,0.2089721498487962,0.3391427413551096,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
Langevin,0,0.42,0.23998813966318694,0.23869170891733382,0.6666666666666666,0.15923389491614887,1.1726121826364024,0.2234701694762321,0.2927540376499991,0.017653767239814933,0.19561724634340028,0.32616920363503876,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
Langevin,0,0.504,0.23443258410763138,0.2320250422506671,0.6666666666666666,0.18034572498196544,1.1976313426304899,0.22805530485565795,0.27898776120338686,0.007321429626955922,0.14855430982175433,0.3318192222846017,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
Langevin,0,0.588,0.2227659174409647,0.22146948669511157,0.6666666666666666,0.22529112983397365,1.2526873577727566,0.2178449342185259,0.27530124627758323,0.01781998641693905,0.1325903864951563,0.3689227225810372,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
Langevin,0,0.672,0.22332147299652022,0.22202504225066716,0.6666666666666666,0.22805735565965163,1.2561573711008567,0.2100757753235124,0.27874833645625086,0.03416747629223682,0.09103198227384457,0.39295497484849484,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
Langevin,0,0.756,0.22165480632985357,0.2203583755840005,0.6666666666666666,0.23588167331612198,1.266024496823179,0.20387389517162335,0.2750589046203644,0.018736365383526632,0.1388154906063308,0.3561723030477184,none,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,
