method,basin,mean,se,target
Langevin,0,0.8019444444444445,0.007087417123429499,0.7266785270034798
Langevin,1,0.10708333333333334,0.007119551559142764,0.15991113238759566
Langevin,2,0.09097222222222223,0.0017179606773406913,0.11341034060892463
LSC-shell,0,0.7349999999999999,0.007728015412913073,0.7266785270034798
LSC-shell,1,0.1473611111111111,0.005801832937279284,0.15991113238759566
LSC-shell,2,0.11763888888888889,0.004084844769403541,0.11341034060892463
CP-shell,0,0.5370833333333334,0.003088001138083746,0.7266785270034798
CP-shell,1,0.26263888888888887,0.0039957217346894836,0.15991113238759566
CP-shell,2,0.20027777777777778,0.0029089403837787063,0.11341034060892463
