method,matrix_kind,from_state,to_state,count,probability
Langevin,recorded_basin,basin_0,basin_0,77124.0,0.9868208920848581
Langevin,recorded_basin,basin_0,basin_1,4.0,5.118100161220155e-05
Langevin,recorded_basin,basin_0,basin_2,1026.0,0.013127926913529698
Langevin,recorded_basin,basin_1,basin_0,0.0,0.0
Langevin,recorded_basin,basin_1,basin_1,4792.0,0.8432166109449235
Langevin,recorded_basin,basin_1,basin_2,891.0,0.15678338905507655
Langevin,recorded_basin,basin_2,basin_0,641.0,0.10400778841473309
Langevin,recorded_basin,basin_2,basin_1,1107.0,0.17962031478176213
Langevin,recorded_basin,basin_2,basin_2,4415.0,0.7163718968035048
LSC-shell,recorded_basin,basin_0,basin_0,68948.0,0.9655500784225857
LSC-shell,recorded_basin,basin_0,basin_1,223.0,0.0031228993950257675
LSC-shell,recorded_basin,basin_0,basin_2,2237.0,0.03132702218238853
LSC-shell,recorded_basin,basin_1,basin_0,222.0,0.023270440251572325
LSC-shell,recorded_basin,basin_1,basin_1,7688.0,0.8058700209643606
LSC-shell,recorded_basin,basin_1,basin_2,1630.0,0.1708595387840671
LSC-shell,recorded_basin,basin_2,basin_0,1785.0,0.19719399027839152
LSC-shell,recorded_basin,basin_2,basin_1,1866.0,0.20614228899690676
LSC-shell,recorded_basin,basin_2,basin_2,5401.0,0.5966637207247018
CP-shell,recorded_basin,basin_0,basin_0,56365.0,0.9559546826769784
CP-shell,recorded_basin,basin_0,basin_1,196.0,0.0033241748923035176
CP-shell,recorded_basin,basin_0,basin_2,2401.0,0.04072114243071809
CP-shell,recorded_basin,basin_1,basin_0,191.0,0.011554049966729176
CP-shell,recorded_basin,basin_1,basin_1,13563.0,0.820458532454177
CP-shell,recorded_basin,basin_1,basin_2,2777.0,0.16798741757909383
CP-shell,recorded_basin,basin_2,basin_0,1568.0,0.10808575170607293
CP-shell,recorded_basin,basin_2,basin_1,3247.0,0.22382298200868547
CP-shell,recorded_basin,basin_2,basin_2,9692.0,0.6680912662852416
Langevin,recorded_basin,basin_0,basin_0,78474.0,0.9875539559291746
Langevin,recorded_basin,basin_0,basin_1,6.0,7.550683966122598e-05
Langevin,recorded_basin,basin_0,basin_2,983.0,0.01237053723116419
Langevin,recorded_basin,basin_1,basin_0,0.0,0.0
Langevin,recorded_basin,basin_1,basin_1,4158.0,0.8435788192331102
Langevin,recorded_basin,basin_1,basin_2,771.0,0.15642118076688982
Langevin,recorded_basin,basin_2,basin_0,648.0,0.11554921540656206
Langevin,recorded_basin,basin_2,basin_1,939.0,0.16743937232524964
Langevin,recorded_basin,basin_2,basin_2,4021.0,0.7170114122681883
LSC-shell,recorded_basin,basin_0,basin_0,69067.0,0.9657019015659956
LSC-shell,recorded_basin,basin_0,basin_1,227.0,0.003173937360178971
LSC-shell,recorded_basin,basin_0,basin_2,2226.0,0.031124161073825502
LSC-shell,recorded_basin,basin_1,basin_0,185.0,0.018816110659072415
LSC-shell,recorded_basin,basin_1,basin_1,8093.0,0.8231285598047193
LSC-shell,recorded_basin,basin_1,basin_2,1554.0,0.1580553295362083
LSC-shell,recorded_basin,basin_2,basin_0,1764.0,0.20397779833487512
LSC-shell,recorded_basin,basin_2,basin_1,1797.0,0.2077937095282146
LSC-shell,recorded_basin,basin_2,basin_2,5087.0,0.5882284921369103
CP-shell,recorded_basin,basin_0,basin_0,56458.0,0.9568666000033896
CP-shell,recorded_basin,basin_0,basin_1,193.0,0.003271020117621138
CP-shell,recorded_basin,basin_0,basin_2,2352.0,0.039862379878989204
CP-shell,recorded_basin,basin_1,basin_0,145.0,0.008896251303760967
CP-shell,recorded_basin,basin_1,basin_1,13382.0,0.8210319651512362
CP-shell,recorded_basin,basin_1,basin_2,2772.0,0.17007178354500277
CP-shell,recorded_basin,basin_2,basin_0,1558.0,0.10600081643761056
CP-shell,recorded_basin,basin_2,basin_1,3195.0,0.2173765138114029
CP-shell,recorded_basin,basin_2,basin_2,9945.0,0.6766226697509865
Langevin,recorded_basin,basin_0,basin_0,78876.0,0.9878021289918597
Langevin,recorded_basin,basin_0,basin_1,4.0,5.009392611145899e-05
Langevin,recorded_basin,basin_0,basin_2,970.0,0.012147777082028804
Langevin,recorded_basin,basin_1,basin_0,1.0,0.0002155636990730761
Langevin,recorded_basin,basin_1,basin_1,3842.0,0.8281957318387584
Langevin,recorded_basin,basin_1,basin_2,796.0,0.17158870446216856
Langevin,recorded_basin,basin_2,basin_0,641.0,0.11631282888767919
Langevin,recorded_basin,basin_2,basin_1,961.0,0.17437851569588098
Langevin,recorded_basin,basin_2,basin_2,3909.0,0.7093086554164398
LSC-shell,recorded_basin,basin_0,basin_0,67966.0,0.9654809932382522
LSC-shell,recorded_basin,basin_0,basin_1,240.0,0.0034092846184442297
LSC-shell,recorded_basin,basin_0,basin_2,2190.0,0.031109722143303598
LSC-shell,recorded_basin,basin_1,basin_0,216.0,0.0204855842185129
LSC-shell,recorded_basin,basin_1,basin_1,8637.0,0.819138846737481
LSC-shell,recorded_basin,basin_1,basin_2,1691.0,0.16037556904400607
LSC-shell,recorded_basin,basin_2,basin_0,1716.0,0.18940397350993377
LSC-shell,recorded_basin,basin_2,basin_1,1943.0,0.21445916114790287
LSC-shell,recorded_basin,basin_2,basin_2,5401.0,0.5961368653421634
CP-shell,recorded_basin,basin_0,basin_0,56991.0,0.9572688334593097
CP-shell,recorded_basin,basin_0,basin_1,186.0,0.003124212648022172
CP-shell,recorded_basin,basin_0,basin_2,2358.0,0.039606953892668176
CP-shell,recorded_basin,basin_1,basin_0,179.0,0.0112763008693461
CP-shell,recorded_basin,basin_1,basin_1,12991.0,0.8183822602998614
CP-shell,recorded_basin,basin_1,basin_2,2704.0,0.1703414388307925
CP-shell,recorded_basin,basin_2,basin_0,1548.0,0.10609279692961414
CP-shell,recorded_basin,basin_2,basin_1,3152.0,0.21602357617709547
CP-shell,recorded_basin,basin_2,basin_2,9891.0,0.6778836268932904
Langevin,recorded_basin,basin_0,basin_0,78223.0,0.9871780310200785
Langevin,recorded_basin,basin_0,basin_1,10.0,0.00012620048208584157
Langevin,recorded_basin,basin_0,basin_2,1006.0,0.012695768497835661
Langevin,recorded_basin,basin_1,basin_0,0.0,0.0
Langevin,recorded_basin,basin_1,basin_1,4436.0,0.8494829567215626
Langevin,recorded_basin,basin_1,basin_2,786.0,0.15051704327843737
Langevin,recorded_basin,basin_2,basin_0,652.0,0.117710778118794
Langevin,recorded_basin,basin_2,basin_1,985.0,0.1778299332009388
Langevin,recorded_basin,basin_2,basin_2,3902.0,0.7044592886802672
LSC-shell,recorded_basin,basin_0,basin_0,69446.0,0.9658155318202047
LSC-shell,recorded_basin,basin_0,basin_1,222.0,0.003087449933244326
LSC-shell,recorded_basin,basin_0,basin_2,2236.0,0.031097018246550957
LSC-shell,recorded_basin,basin_1,basin_0,219.0,0.0230599136569443
LSC-shell,recorded_basin,basin_1,basin_1,7801.0,0.8214172896704223
LSC-shell,recorded_basin,basin_1,basin_2,1477.0,0.15552279667263347
LSC-shell,recorded_basin,basin_2,basin_0,1786.0,0.2076985696011164
LSC-shell,recorded_basin,basin_2,basin_1,1737.0,0.20200023258518432
LSC-shell,recorded_basin,basin_2,basin_2,5076.0,0.5903011978136993
CP-shell,recorded_basin,basin_0,basin_0,56743.0,0.955880866547623
CP-shell,recorded_basin,basin_0,basin_1,180.0,0.0030322428489606146
CP-shell,recorded_basin,basin_0,basin_2,2439.0,0.041086890603416325
CP-shell,recorded_basin,basin_1,basin_0,166.0,0.010179677439136567
CP-shell,recorded_basin,basin_1,basin_1,13436.0,0.8239406389893911
CP-shell,recorded_basin,basin_1,basin_2,2705.0,0.16587968357147237
CP-shell,recorded_basin,basin_2,basin_0,1617.0,0.11283232154071593
CP-shell,recorded_basin,basin_2,basin_1,3181.0,0.22196636661782151
CP-shell,recorded_basin,basin_2,basin_2,9533.0,0.6652013118414626
