method,aux_norm_mean,aux_norm_target,aux_norm_abs_error,aux_coord_mean_abs
Langevin,2.249000256423913,2.25,0.0009997435760871198,0.005042782900043322
LSC-shell,2.309612040309891,2.25,0.05961204030989098,0.005952418021456851
CP-shell,2.239977410586331,2.25,0.01002258941366918,0.003983707876256841
