method,matrix_kind,from_state,to_state,count,probability
LSC-shell,jump_step_basin,basin_0,basin_0,3226.0,0.5357024244437064
LSC-shell,jump_step_basin,basin_0,basin_1,13.0,0.002158751245433411
LSC-shell,jump_step_basin,basin_0,basin_2,2783.0,0.4621388243108602
LSC-shell,jump_step_basin,basin_1,basin_0,68.0,0.08762886597938144
LSC-shell,jump_step_basin,basin_1,basin_1,406.0,0.5231958762886598
LSC-shell,jump_step_basin,basin_1,basin_2,302.0,0.38917525773195877
LSC-shell,jump_step_basin,basin_2,basin_0,373.0,0.499330655957162
LSC-shell,jump_step_basin,basin_2,basin_1,285.0,0.3815261044176707
LSC-shell,jump_step_basin,basin_2,basin_2,89.0,0.11914323962516733
CP-shell,jump_step_basin,basin_0,basin_0,2881.0,0.5878392164864313
CP-shell,jump_step_basin,basin_0,basin_1,10.0,0.0020403999183840034
CP-shell,jump_step_basin,basin_0,basin_2,2010.0,0.41012038359518466
CP-shell,jump_step_basin,basin_1,basin_0,95.0,0.0700589970501475
CP-shell,jump_step_basin,basin_1,basin_1,710.0,0.523598820058997
CP-shell,jump_step_basin,basin_1,basin_2,551.0,0.40634218289085544
CP-shell,jump_step_basin,basin_2,basin_0,585.0,0.47291835084882783
CP-shell,jump_step_basin,basin_2,basin_1,521.0,0.4211802748585287
CP-shell,jump_step_basin,basin_2,basin_2,131.0,0.1059013742926435
