method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,jump_count_mean,jump_count_applied_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,0,0,0.0,0.0,0.0,0.0,0.0,0.7390509753601684,0.5211292174808432,0.5206301820994098,0.80125,0.5321273249317323,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,1,0,0.0,0.0,0.0,0.0,0.0,0.7375168174127035,0.5183136704399056,0.5178152209043162,0.8025,0.5340440712099962,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,2,0,0.0,0.0,0.0,0.0,0.0,0.7367577094673599,0.5182355852255801,0.5177364056382204,0.79,0.531749766425756,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,3,0,0.0,0.0,0.0,0.0,0.0,0.7387267409533778,0.5200413063444187,0.5195426346710348,0.7975,0.5319709543366533,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,0,8,0.04,25600.0,8.0,8.0,0.0,0.7132054858874722,0.4863554241114686,0.4858173710004007,0.745,0.4637787329783196,0.0,0.3254390930902886,0.7098977216369078,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005195312499999999,133,1.0390625,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,1,8,0.04,25600.0,8.0,8.0,0.0,0.7154230430782685,0.4836698922905981,0.4831220617993207,0.74375,0.4665082796585034,0.0,0.3232814493357135,0.7098977216369078,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005195312499999999,133,1.0390625,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,2,8,0.04,25600.0,8.0,8.0,0.0,0.7147413804374004,0.48361523508083837,0.48306693134844325,0.745,0.4610681865209372,0.0,0.32201591292663234,0.7073977216369078,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005195312499999999,133,1.0390625,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,3,8,0.04,25600.0,8.0,8.0,0.0,0.7164125771979335,0.4885418037171453,0.4880015242355292,0.74375,0.4640723126298715,0.0,0.32767947714092516,0.7136477216369079,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005195312499999999,133,1.0390625,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,0,17,0.085,54400.0,17.0,17.0,0.0,0.6960027510803789,0.4574043586556643,0.45682564428760564,0.7175,0.4387975995482162,0.0,0.29707456551474176,0.6886477216369078,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005069444444444444,279,1.025735294117647,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,c87203a12406cc5114b7ffa2d8877465,False,1,17,0.085,54400.0,17.0,17.0,0.0,0.6975707876082433,0.4591416022760829,0.45856089255249677,0.7150000000000001,0.439252177411127,0.0,0.29831533064468696,0.6873977216369078,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005069444444444444,279,1.025735294117647,0.0,0.0,0.0
