method,EMC_mean,EMC_std,FES_RMSE_kBT_mean,FES_RMSE_kBT_std,FES_outside_mass_mean,FES_outside_mass_std,MMD_mean,MMD_std,TV_density_mean,TV_density_std,TV_mean,TV_std,V_evals_per_step,W2_mean,W2_std,basin_KL_target_mean,basin_KL_target_std,grad_evals_per_step,jump_applied_rate_per_particle_time_cumulative,jump_boundary_applied_count_cumulative,jump_boundary_clip_count_cumulative,jump_boundary_clip_fraction_per_applied_jump_cumulative,jump_cap_excess_count_cumulative,jump_cap_hit_count_cumulative,jump_cap_hit_fraction_cumulative,jump_cap_k,jump_count_applied_cumulative,jump_count_cumulative,jump_count_mean,jump_rate_per_particle_time_cumulative,m_clip_fraction,mala_accept,mala_accept_count_cumulative,mala_accept_fraction_cumulative,mala_proposal_count_cumulative,nonfinite_count,nonfinite_count_mean,nonfinite_count_std,nonfinite_frac,nonfinite_frac_mean,nonfinite_frac_std,nonfinite_proposal_count_cumulative,nonfinite_proposal_fraction_cumulative,outside_proposal_reject_count_cumulative,outside_proposal_reject_fraction_cumulative,pt_swap_accept,pt_swap_accept_count_cumulative,pt_swap_accept_fraction_cumulative,pt_swap_proposal_count_cumulative,score_clip_count_cumulative,score_clip_fraction_cumulative,score_quad_evals_per_step,state_box_clip_count_cumulative,state_box_clip_fraction_cumulative,time_to_threshold_TV
ULA,0.5698957112252199,0.0026282355263019487,1.6269721197099987,0.06417635210669542,0.0,0.0,0.6359576656901025,0.0018267180010940285,0.4713650219004481,0.0012913823967164184,0.471109375,0.0013132438368406686,0.0,1.257813850919961,0.0026858489406454385,1.0936277205278004,0.021944945014391783,384000.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0,0.0,inf
MALA,0.566940337117284,0.002414110803056344,1.6347475310033974,0.041886743144527436,0.0,0.0,0.638336720253616,0.0016934845590372935,0.47283361548469544,0.001236026981355555,0.472578125,0.0011947362474985712,384000.0,1.2619709929908287,0.0025345347824760646,1.1188899184283887,0.021022947158371937,384000.0,,,,,,,,,,,,,,0.9976548494397766,7662024306,0.99765941484375,7680000000,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,0.0,,,inf
FLA,0.9999660184116287,4.444723347354256e-05,1.3207024648236578,0.03224439514773128,0.0032760416666666667,0.00044535520549104506,0.0071127883817260285,0.00353019705844275,0.12758368179611598,0.0028125091685513555,0.0032890624999999973,0.0025380134747667988,0.0,0.0961583589453036,0.01773456434974113,3.398089680364919e-05,4.44484584493995e-05,384000.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,665925,8.6708984375e-05,14.565
BAOAB,0.5327922852252748,0.0021570118918290116,1.9867391033617086,0.07311293040916844,0.0,0.0,0.6594102508363701,0.001217953941087314,0.4885673986427084,0.00092114824099301,0.48832812500000006,0.0009158273908235113,0.0,1.2887388945446692,0.0017990044889739736,1.5381476041262097,0.03790515938966022,384000.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0,0.0,inf
PT,0.999968026707775,3.264468837282405e-05,0.39274138943279696,0.08902333737840422,0.0,0.0,0.00642753897045589,0.003981049407775274,0.021279917520623193,0.0024537615527360154,0.0032890625000000042,0.0023224164950238135,768000.0,0.06434450141179288,0.03197671625189912,3.1971679783045165e-05,3.264369546885887e-05,768000.0,,,,,,,,,,,,,,0.9972101059173669,15317163830,0.9972111868489584,15360000000,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.4065377604166665,156202717,0.40677790885416665,384000000,,,0.0,,,14.565
CP,0.9999577348425818,5.569274529042113e-05,1.582113585484583,0.015242788528511087,0.028627604166666664,0.001409820848772658,0.03623191789746696,0.001722829375246945,0.08903063976799223,0.0033555547298670823,0.003554687499999997,0.002977686064760979,0.0,0.1762852213473021,0.012938384510470358,4.226542644846749e-05,5.569551513269418e-05,384000.0,0.9998821614583333,38395475,11626,0.000302796097717244,0,0,0.0,8,38395475,38395475,0.00499332545518207,0.9998821614583333,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,6597,8.58984375e-07,4.575
LSC-CP,0.9999562902436235,5.7994987114907243e-05,1.2103332182965827,0.04196359806102571,0.0047473958333333335,0.0004743699936246487,0.017200939992326112,0.0020390692388202103,0.05106702005607585,0.003272616821587569,0.0035807291666666713,0.003070253006070708,0.0,0.11145873498687005,0.017091415148584563,4.371028246561193e-05,5.799896319616994e-05,384000.0,0.9998821614583333,38395475,6482,0.00016882197706891242,0,0,0.0,8,38395475,38395475,0.00499332545518207,0.9998821614583333,0.0005051207983193276,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,3855760,0.0005020520833333333,49152000.0,3271,4.2591145833333333e-07,4.49
LSC-CP-RA,0.9999681369964636,5.2130168028477577e-05,1.3335834094947006,0.057367721738297295,0.008369791666666668,0.0007731738360789903,0.013950405145129593,0.0023671395506575997,0.059443423788748534,0.0031764694498182013,0.0030494791666666695,0.0026307506346518366,0.0,0.13144998472161992,0.016820219758158755,3.1863243907227135e-05,5.213559737659204e-05,384000.0,0.9998661458333333,38394860,20267,0.0005278571142074746,,,,,38394860,38394860,0.004981442577030814,0.9998661458333333,0.0002560836834733896,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,1967961,0.000256244921875,6144000.0,10184,1.3260416666666666e-06,4.24
