method,EMC_mean,EMC_std,MMD_mean,MMD_std,TV_mean,TV_std,V_evals_per_step,W2_10d_mean,W2_10d_std,W2_mean,W2_std,basin_rel_max_mean,basin_rel_max_std,grad_evals_per_step,jump_count_mean,m_clip_fraction,mala_accept,nonfinite_frac_mean,nonfinite_frac_std,pt_swap_accept,score_quad_evals_per_step,time_to_threshold_TV,wallclock_mean_s,wallclock_std_s
ULA,0.8365153836902408,0.00408001203944086,0.3483392599607045,0.00346096700728124,0.3067247587087536,0.0014577379737113264,0.0,0.1404399335031761,0.0014361426985896434,0.4084702512209901,0.0035875447774950673,0.9887178572865792,0.004698973672424362,10000.0,,,,0.0,0.0,,0.0,inf,30.033599147573113,0.0
MALA,0.832486644597853,0.0049610545137922235,0.3512714987414523,0.004080388443303774,0.3080247587087536,0.0015247950681976919,10000.0,0.1423637498124023,0.0014577710272699954,0.4127181462312607,0.003929325428326233,0.9929083674360811,0.004915130160917608,10000.0,,,0.986765277777778,0.0,0.0,,0.0,inf,56.022041799500585,0.0
FLA,0.9838041859012966,0.0025925664866479547,0.09605498661853783,0.0052727230628393,0.11968713358835974,0.01111788885001055,0.0,0.09778292133185947,0.009096605015982162,0.17827163048970332,0.005390981865546428,0.42049961060772756,0.021431635809132918,10000.0,,,,0.0,0.0,,0.0,inf,34.2582134231925,0.0
BAOAB,0.8260396828402433,0.001889818617619184,0.3538498781686764,0.0033184673260839097,0.3098247587087536,0.00041833001326703814,0.0,0.1431614639822189,0.0014316082096845024,0.4143678634735469,0.004030002969383445,0.9987106122584685,0.0013484739741821334,10000.0,,,,0.0,0.0,,0.0,inf,31.871226912364364,0.0
PT,0.9999021960006793,6.760436395526623e-05,0.020293477012141348,0.007935064718849734,0.010019447810879916,0.003762572047873678,40000.0,0.013880352285329089,0.00360878948075537,0.06013965529472629,0.015984951365293102,0.03224786002645382,0.014743095038861686,40000.0,,,0.9846533775252526,0.0,0.0,0.37263749999999995,0.0,33.75,60.176079055294394,0.0
CP,0.984684345877711,0.0033306964851072328,0.18542538339428188,0.013424597875496143,0.12916387427338186,0.015033418771272967,0.0,0.11056452027429105,0.0062199308210718176,0.3501300719621637,0.016565023773259725,0.387058859488352,0.04889430304151093,10000.0,0.005000252525252529,,,0.0,0.0,,0.0,inf,48.358344967477024,0.0
LSC-CP-MA,0.9997172012044546,0.0003789105224846777,0.01710280043055738,0.007015069190369108,0.013825503930870797,0.008931815568236886,650000.0,0.013413287750933705,0.0026974215855582757,0.054361388547945685,0.013869115770714898,0.04915430320518553,0.035113269124371536,10000.0,0.005000252525252529,9.469696969696972e-08,,0.0,0.0,,0.0,5.0,123.16713198740035,0.0
