method,seed,step,t,wallclock_s,nfe,W2,TV,TV_density,MMD,EMC,EJS,e_F,basin_rel_max,basin_L1,V_mean_err,V_var_err,E_overlap_deficit,KSD,W1_cdf,CDF_sup,cdf_L2,pdf_L1,pdf_L2,KDE_chi2,bin_chi2_M40,bin_chi2_M80,bin_chi2_M120,well_TV,nonfinite_frac,m_clip_fraction,max_log_magnitude,mala_accept,pt_swap_accept,jump_count_mean,W2_10d,occ0
ULA,0,0,0.0,0.0,0,0.7781309423590312,0.7311477216368925,,0.6952666397161685,0.47269359181080484,,0.3042987521348667,2.7195146944103503,1.462295443273785,0.1173027654625417,0.0071342049658925325,0.6065,2.6385150545719047,0.6513406276138981,0.7745000000000001,0.6156719277849897,1.465946829048422,1.4200875993868802,2.862772913102134,4.8501400000000015,4.969360000000001,5.030240000000001,0.7311477216368925,0.0,,,,,,0.27801935242855197,0.0
ULA,1,0,0.0,0.0,0,0.7789024746589607,0.7311477216368925,,0.6959309949913491,0.47269359181080484,,0.30435483110250644,2.7195146944103503,1.462295443273785,0.11683272150948176,0.0069223070377854076,0.6085,6.219728141835082,0.6515159631266301,0.7725000000000001,0.6154354454540214,1.4656262380523333,1.4189985984415037,2.858516581215808,4.792120000000001,4.8636800000000004,5.018000000000001,0.7311477216368925,0.0,,,,,,0.2784196424187027,0.0
ULA,2,0,0.0,0.0,0,0.778379380182861,0.7311477216368925,,0.6954235286598782,0.47269359181080484,,0.3025217749204105,2.7195146944103503,1.462295443273785,0.1187246172833446,0.007147863927901679,0.622,5.723951514765892,0.6493740265927174,0.77,0.6138106002896215,1.463908216957682,1.414691489605764,2.843446953950642,4.662100000000001,4.768080000000001,4.850420000000001,0.7311477216368925,0.0,,,,,,0.2784387084057444,0.0
ULA,3,0,0.0,0.0,0,0.7784087622709759,0.7311477216368925,,0.6951726222829534,0.47269359181080484,,0.30446676311519744,2.7195146944103503,1.462295443273785,0.11759780475371251,0.007151876527213058,0.616,2.899168973368616,0.6500350888636927,0.773,0.6146513675176635,1.4651761605340234,1.419239615432945,2.8616825444537843,4.8166,4.91624,4.9793,0.7311477216368925,0.0,,,,,,0.2782203418934188,0.0
ULA,4,0,0.0,0.0,0,0.7802841219641113,0.7311477216368925,,0.6971333678964707,0.47269359181080484,,0.30546084605077634,2.7195146944103503,1.462295443273785,0.11849177590159654,0.007066727748950846,0.6214999999999999,4.932193293637573,0.6542620963598209,0.776,0.6173333870821823,1.467415023227435,1.4214647553268875,2.8643396684362625,4.884880000000001,4.99084,5.13098,0.7311477216368925,0.0,,,,,,0.27902939413412975,0.0
ULA,0,50,0.25,0.03565323166549206,500000,0.7494103617276937,0.7276477216368924,,0.6757890937316747,0.4867192710096788,,0.2732582417838445,2.706496392979927,1.4552954432737848,0.009902196740279812,0.001801204998367523,0.06699999999999995,1.6637618021556217,0.625971474440666,0.7285,0.5808080283056617,1.4087884510430368,1.2413049258527284,2.2294191060573674,2.7160000000000006,2.9683599999999997,2.9436200000000006,0.7276477216368924,0.0,,,,,,0.25994844645738835,0.0
ULA,1,50,0.25,0.03565323166549206,500000,0.7471156431538019,0.7276477216368924,,0.6740977047738915,0.4867192710096788,,0.27578079097988417,2.706496392979927,1.4552954432737848,0.009769719858994885,0.0012590112574700878,0.06150000000000011,2.2143954419391876,0.6239290526572228,0.7250000000000001,0.5779666689936845,1.403508381791195,1.2285478392410984,2.1882244660964454,2.6806,2.80372,2.8818200000000003,0.7276477216368924,0.0,,,,,,0.25968224848225363,0.0
ULA,2,50,0.25,0.03565323166549206,500000,0.7502533104174617,0.7256477216368924,,0.6764538310521966,0.49294924762190406,,0.2760027178249955,2.6990573635911135,1.4512954432737848,0.006906018532935598,0.0006301130298266896,0.06399999999999995,2.9897049217937472,0.6258909148807622,0.7225,0.5805864719417608,1.4078293540900875,1.2412194839089792,2.2251710406933523,2.70498,2.8346400000000003,2.9319200000000007,0.7256477216368924,0.0,,,,,,0.26033729509552794,0.0
ULA,3,50,0.25,0.03565323166549206,500000,0.751796419731125,0.7281477216368925,,0.6779279684830836,0.48504802754467913,,0.2732582417838445,2.70835615032713,1.456295443273785,0.011901596772659007,0.0015799584249092035,0.06699999999999995,2.41064502324832,0.630027885221704,0.7280000000000001,0.583419249366877,1.4108847884701397,1.2432320732524267,2.2159279749553127,2.7624199999999997,2.8588000000000005,2.94824,0.7281477216368925,0.0,,,,,,0.2610245441303,0.0
ULA,4,50,0.25,0.03565323166549206,500000,0.7488304454135501,0.7256477216368924,,0.675093011328354,0.49294924762190406,,0.2756693827138674,2.6990573635911135,1.4512954432737848,0.008468687789053853,0.001152500178171166,0.05699999999999994,1.7120394800321697,0.6245356187553219,0.7240000000000001,0.5796125035763158,1.4037489218569843,1.2403862900272995,2.224111811705562,2.7261800000000003,2.8448800000000007,2.89202,0.7256477216368924,0.0,,,,,,0.2598477400040336,0.0
