method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,phase_weight_JS,order_parameter_SW2,order_parameter_MMD2_biased,energy_per_site_MAE,susceptibility_relative_frobenius,order_parameter_MMD2_unbiased,phase_weight_TV,max_phase_mass_error,phase_outside_mass,energy_per_site_variance_error,coherence_mean_error,correlation_relative_L2,kink_density_error,heat_capacity_error,binder_cumulant_error,order_parameter_mean_error,marginal_KS_mx,marginal_KS_my,marginal_KS_m_norm,marginal_W1_mx,marginal_W1_my,marginal_W1_m_norm,energy_per_site_KS,energy_per_site_W1,energy_per_site_MMD2_biased,energy_per_site_MMD2_unbiased,coherence_KS,coherence_W1,kink_density_KS,kink_density_W1,kink_zero_probability,kink_zero_probability_reference,kink_zero_probability_error,kink_high_tail_threshold,kink_high_tail_probability,kink_high_tail_probability_reference,kink_high_tail_probability_error,connected_correlation_relative_L2,energy_per_site_mean,energy_per_site_variance,coherence_mean,kink_density_mean,heat_capacity_per_site,heat_capacity_per_site_reference,binder_cumulant,binder_cumulant_reference,phase_occupancy_0,phase_count_0,phase_occupancy_1,phase_count_1,phase_occupancy_2,phase_count_2,phase_occupancy_3,phase_count_3,phase_outside_count,susceptibility_00,susceptibility_01,susceptibility_10,susceptibility_11,correlation_r0,connected_correlation_r0,correlation_r1,connected_correlation_r1,correlation_r2,connected_correlation_r2,correlation_r3,connected_correlation_r3,correlation_r4,connected_correlation_r4,correlation_r5,connected_correlation_r5,correlation_r6,connected_correlation_r6,tamed,tame_cap,boundary_rule,n_replicas,n_swap,mh_accept,replica_0_mh_accept,replica_1_mh_accept,replica_2_mh_accept,replica_3_mh_accept,replica_4_mh_accept,replica_5_mh_accept,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative,mh_accept_fraction_cumulative,replica_0_mh_accept_fraction_cumulative,replica_1_mh_accept_fraction_cumulative,replica_2_mh_accept_fraction_cumulative,replica_3_mh_accept_fraction_cumulative,replica_4_mh_accept_fraction_cumulative,replica_5_mh_accept_fraction_cumulative,swap_accept,swap_accept_fraction_cumulative,round_trip_rate_cumulative
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,0,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2823329254752234,0.30160085421585536,0.023412892476236208,0.9997938805578983,0.30073158775342945,0.676619318181681,0.676619318181681,0.0,0.0011889245655846974,0.002542710147449413,0.056165181662094533,5.823863636363635e-05,0.9130940663690479,0.01795833166917149,1.2825969192367057,0.7150000000000001,0.71,0.5525000000000001,1.0065186304772353,0.8700024179269416,0.10557135897785493,0.20750000000000002,0.02173368554743898,0.043650560554289175,0.0411957029033182,0.3425,0.0024683785974143626,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996325541430983,0.14905951958587832,0.0025153622127718975,0.01002089867718366,0.0,1.9317981794088173,1.0187041130397694,0.49981703612656003,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.019426080848441763,-0.0012060532808185298,-0.0012060532808185298,0.01842556063200112,2.017091241830554,0.004964941537124901,2.012080792491962,-4.5507801467170594e-05,2.0120848061593652,-4.149413406384639e-05,2.0121617463551313,3.5446061702248954e-05,2.0120873066746414,-3.899361878767493e-05,2.0120996731609337,-2.6627132495349315e-05,2.0121153385536275,-1.0961739801640391e-05,True,1.0,reject,6,10,,,,,,,,,,,,,,,,,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,1,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2816302551476013,0.30146524708206335,0.022998013242384263,0.9997675867326244,0.30059594847758775,0.676619318181681,0.676619318181681,0.0,0.0017516097397791252,0.002512501693607053,0.05554917452226357,5.823863636363635e-05,1.345236280150368,0.01792943573721184,1.2821741723750475,0.7175,0.71,0.5325000000000001,1.0057535862966134,0.8696878140631309,0.10499616476409827,0.21999999999999997,0.021742504491413857,0.050997884605481714,0.048451241884185925,0.35250000000000004,0.0024381701435720014,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996019452186,0.14864464035202637,0.0030780473869663253,0.0099906902233413,0.0,2.3639403931901373,1.0187041130397694,0.4997881401946004,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.02303292062383801,-0.0007611622069195871,-0.0007611622069195871,0.01952562612722429,2.015970426345518,0.00507551705009357,2.010975081233847,8.017193842269066e-05,2.0108801184446583,-1.4790850765944441e-05,2.0109486709826965,5.3761687272224634e-05,2.010871685292537,-2.3224002887456408e-05,2.010864895713002,-3.0013582422050433e-05,2.0109941006641128,9.919136868852263e-05,True,1.0,reject,6,10,,,,,,,,,,,,,,,,,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,2,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2817843821511088,0.3014155608925614,0.02017518251758521,0.9997731946437184,0.3005462723700961,0.676619318181681,0.676619318181681,0.0,0.0014580513092912293,0.002326713592102232,0.05539464402050257,5.823863636363635e-05,1.1197834055356644,0.01791127103256951,1.2820635599371624,0.7175,0.71,0.5325,1.0055131237862676,0.8696895961647403,0.104062689927052,0.1775,0.018442916230443137,0.03026231416122971,0.027765794840402758,0.30500000000000005,0.00225238204206718,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996189715658899,0.14582180962722732,0.0027844889564784293,0.00980490212183648,0.0,2.1384875185754337,1.0187041130397694,0.49976997548995805,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.021860686292252435,0.0017106077509378625,0.0017106077509378625,0.01922121925240821,2.015596856276955,0.004964482323690955,2.0106944052160367,6.20312627725994e-05,2.0106564303832153,2.405642995118029e-05,2.0106185159514736,-1.3858001790545416e-05,2.0106782379172423,4.586396397820991e-05,2.0106208426447596,-1.1531308504508786e-05,2.010577167034361,-5.520691890303908e-05,True,1.0,reject,6,10,,,,,,,,,,,,,,,,,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,3,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2820320459822812,0.30143696558454125,0.022131764269360227,0.9997849330280537,0.3005676890534287,0.676619318181681,0.676619318181681,0.0,0.001459660894370107,0.0024569806540955886,0.055538052971398064,5.823863636363635e-05,1.1210195668762422,0.01794068509124358,1.2821479846585224,0.7225,0.7025000000000001,0.54,1.006070481481609,0.8699959371687807,0.1052516045722134,0.18250000000000005,0.02042916171281991,0.03537397031617018,0.032895987245021296,0.32499999999999996,0.002383531966565456,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996202655454768,0.14777839137900234,0.002786098541557307,0.009935169183829836,0.0,2.1397236799160115,1.0187041130397694,0.4997993895486321,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.018037226335756246,-0.00023842391954141044,-0.00023842391954141044,0.021289017765069126,2.0158751377422077,0.004968446268513116,2.010907553150293,8.616765985181019e-07,2.0108255941801225,-8.10972935720855e-05,2.0108646892395106,-4.200223418404647e-05,2.010891979705357,-1.4711768337782871e-05,2.0109478047773455,4.111330365086374e-05,2.0110334088982023,0.00012671742450764967,True,1.0,reject,6,10,,,,,,,,,,,,,,,,,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,0,5,0.02,48000.0,30.0,30.0,0.0,0.3252121593263408,1.2753707244192996,0.30092838958413315,0.02451770060865166,0.9994599020086519,0.30005870479119134,0.676619318181681,0.676619318181681,0.0,0.00019041597059953,0.0006712973381618253,0.053603458959744756,5.823863636363635e-05,0.14623946542043886,0.01765658861996311,1.280710910869254,0.69,0.6825,0.48500000000000004,1.0013669714225215,0.8641084024208112,0.09880709310216056,0.32250000000000006,0.026296457013272025,0.1110142054979274,0.10894229387328647,0.17500000000000004,0.0007532338531379431,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9993196298619199,0.10112892650099045,0.00113602167658767,0.006806891191572422,0.0,0.8724646476193305,1.0187041130397694,0.49951529307735165,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.05090283546925947,-0.0028073603883373758,-0.0028073603883373758,0.04821526338050679,2.0124766419230027,0.0058046101807556205,2.009073196327216,0.0024011645849690844,2.007508888995005,0.0008368572527577278,2.006931425663976,0.00025939392172880105,2.006690275286193,1.8243543945750673e-05,2.0065542819895623,-0.00011774975268474819,2.0064303904103933,-0.00024164133185378134,True,1.0,reject,6,10,0.61775,0.788125,0.7177500000000001,0.6491250000000001,0.5845,0.516375,0.450625,0.0,0.0,0.61775,0.788125,0.71775,0.649125,0.5845,0.516375,0.450625,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,1,5,0.02,48000.0,30.0,30.0,0.0,0.3252121593263408,1.2763710694626416,0.30170152673331563,0.026159568685171095,0.9994491410194069,0.30083183170081074,0.676619318181681,0.676619318181681,0.0,0.00033048422254150327,0.0007825483817976327,0.05746145446284139,5.823863636363635e-05,0.2538118829118743,0.017626769843009815,1.2832406227554405,0.6875,0.6950000000000001,0.47750000000000004,1.0020703603944205,0.8657471892300901,0.09944997592867143,0.34500000000000003,0.027927032543064986,0.11719937877610442,0.11517295991491594,0.19499999999999995,0.000857743610616724,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9993084503265564,0.09948705842447102,0.0009959534246456968,0.0066956401479366144,0.0,0.7648922301278951,1.0187041130397694,0.49948547430039836,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.05325233762742911,-0.0003716416669955932,-0.0003716416669955932,0.04736536388429316,2.019840047515704,0.005834888101818425,2.016492227441736,0.00248706802785037,2.0148156707173603,0.0008105113034746481,2.014185700326579,0.0001805409126931501,2.0140304233774757,2.5263963590038685e-05,2.013939052471268,-6.610694261777184e-05,2.013841486439329,-0.0001636729745566612,True,1.0,reject,6,10,0.61775,0.788125,0.7177500000000001,0.6491250000000001,0.5845,0.516375,0.450625,0.0,0.0,0.61775,0.788125,0.71775,0.649125,0.5845,0.516375,0.450625,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,2,5,0.02,48000.0,30.0,30.0,0.0,0.3252121593263408,1.276678009289042,0.30135510489591133,0.02508297295136873,0.9994867677575481,0.30048545765838386,0.676619318181681,0.676619318181681,0.0,0.00040924243625826517,0.000708852968778876,0.05564152098014573,5.823863636363635e-05,0.3142981910463474,0.017656655903999563,1.2820714161088056,0.685,0.6900000000000001,0.47500000000000003,1.002327676566718,0.8653936309881747,0.09907715126304142,0.30250000000000005,0.026855608733190643,0.11175173979722086,0.10977184087581127,0.15749999999999997,0.0007929420757843573,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9993448414768447,0.10056365415827338,0.0009171952109289349,0.006769335560955371,0.0,0.704405921993422,1.0187041130397694,0.4995153603613881,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.05136226859498323,0.0002502156523843013,0.0002502156523843013,0.04225570864634187,2.016387381368878,0.005782982530675884,2.0130027135884005,0.0023983147501982494,2.011315991523038,0.0007115926848357823,2.0107148838116586,0.00011048497345633734,2.0105653784653863,-3.9020372816001014e-05,2.01046789780498,-0.00013650103322238039,2.0104046658398955,-0.0001997329983067786,True,1.0,reject,6,10,0.61775,0.788125,0.7177500000000001,0.6491250000000001,0.5845,0.516375,0.450625,0.0,0.0,0.61775,0.788125,0.71775,0.649125,0.5845,0.516375,0.450625,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,3,5,0.02,48000.0,30.0,30.0,0.0,0.3252121593263408,1.2758009270524198,0.3012292103033375,0.024658958989808397,0.9994404876335752,0.3003595028980872,0.676619318181681,0.676619318181681,0.0,0.0003587014644445091,0.000684499308403347,0.0553918508359652,5.823863636363635e-05,0.27548272469338286,0.017625666705057164,1.2818251416010589,0.6925,0.6775,0.48,1.0012514033358633,0.8649541397599003,0.09885131536329313,0.31750000000000006,0.026444083925705915,0.10619299410772254,0.10418318488605471,0.17000000000000004,0.0007635381400173707,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9992904492306114,0.10098766811983372,0.000967736182742691,0.0067936892213309,0.0,0.7432213883463865,1.0187041130397694,0.4994843711624457,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.04706076091895745,-0.001284480788765636,-0.001284480788765636,0.05537175446314663,2.015992087599709,0.0059656563207428626,2.0125952429890437,0.002568811710077501,2.0108037833794947,0.0007773521005285389,2.01015524092081,0.00012880964184391885,2.0100301375094562,3.706230490063689e-06,2.0099737914445512,-5.263983441494702e-05,2.0099807495228843,-4.568175608188341e-05,True,1.0,reject,6,10,0.61775,0.788125,0.7177500000000001,0.6491250000000001,0.5845,0.516375,0.450625,0.0,0.0,0.61775,0.788125,0.71775,0.649125,0.5845,0.516375,0.450625,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,0,10,0.04,96000.0,60.0,60.0,0.0,0.3252121593263408,1.2724715635686519,0.3011469725692436,0.025770729058013836,0.99921556141401,0.30027698189730456,0.676619318181681,0.676619318181681,0.0,0.0003650905289300535,0.0007791813635324848,0.055109731858142205,5.823863636363635e-05,0.28038952621828106,0.01743852850903882,1.2815662216075046,0.675,0.6675,0.4650000000000001,1.0001606031539685,0.8614130710935264,0.09547034631345629,0.3375,0.027538419184172627,0.1224564163777867,0.12045183228454825,0.195,0.0008560766773893159,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9990657269120304,0.09987589805162828,0.0009613471182571466,0.006699007166201762,0.0,0.7383145868214883,1.0187041130397694,0.49929723296642736,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.07360415655622018,-0.003894687103122239,-0.003894687103122239,0.07032450576157163,2.015950154506104,0.006876471476819912,2.0126006509230034,0.0035269678937193127,2.01068329155127,0.0016096085219858836,2.0096556344550245,0.0005819514257403569,2.009155412907029,8.17298777446851e-05,2.008909962033521,-0.00016372099576322796,2.0088702431883596,-0.00020343984092452416,True,1.0,reject,6,10,0.659375,0.7084999999999999,0.6955,0.684875,0.6548750000000001,0.626375,0.586125,0.0,0.0,0.6385625,0.7483125,0.706625,0.667,0.6196875,0.571375,0.518375,0.38375,0.38375,0.0
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,6301bacd8069f5c726e241e2afe2fb0c,True,1,10,0.04,96000.0,60.0,60.0,0.0,0.3252121593263408,1.2729059152158353,0.3019211321156988,0.024522464076850603,0.9991492953289749,0.301051061245295,0.676619318181681,0.676619318181681,0.0,0.00032934108125409387,0.0007040601561725439,0.05901165017378173,5.823863636363635e-05,0.2529339504031438,0.017362707160986313,1.284100391378761,0.6675,0.67,0.445,0.9999354647201599,0.8625040679659057,0.09598875291140861,0.3125,0.02630285286263177,0.10699861987515202,0.10497261452194073,0.1725,0.0007845940128270792,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9989930195886605,0.10112416303279151,0.0009970965659331062,0.006774128373561703,0.0,0.7657701626366256,1.0187041130397694,0.49922141161837486,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.08003190885711481,-0.002043931730373796,-0.002043931730373796,0.07564829921896118,2.0235750366266507,0.007199945624752235,2.02018797243987,0.003812881437971427,2.018030023429463,0.0016549324275643151,2.0170053422837935,0.0006302512818949779,2.016519606570865,0.00014451556896633022,2.0162748963514328,-0.00010019465046573472,2.0163017491897652,-7.334181213325408e-05,True,1.0,reject,6,10,0.659375,0.7084999999999999,0.6955,0.684875,0.6548750000000001,0.626375,0.586125,0.0,0.0,0.6385625,0.7483125,0.706625,0.667,0.6196875,0.571375,0.518375,0.38375,0.38375,0.0
