method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,0,0,0.0,0.0,0.0,0.0,0.0,1.3542421764969788,0.42899297076488285,0.42876598256392473,0.6162353303146743,0.7001006607961083,1.0116153041209528,1.0,0.5,0.9976506517972862,0.03329817146904479,1.000298286377567,0.009579514123210342,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,1,0,0.0,0.0,0.0,0.0,0.0,1.3568433699432862,0.42988987445893556,0.4296628572233172,0.6193702758414464,0.7014254505968697,1.0139658196522305,1.0,0.5,1.0011828316962692,0.04040924369638832,1.0110602926386718,0.02409185988956042,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,2,0,0.0,0.0,0.0,0.0,0.0,1.3554858127106757,0.4298064107886843,0.4295792922308844,0.6136551463233744,0.7008875584273699,1.0136808216016653,1.0,0.5,1.0013893117194175,0.040998430812242415,1.0122002372367949,0.02594349866569312,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,3,0,0.0,0.0,0.0,0.0,0.0,1.3542920040804742,0.4291480796736814,0.42892101578010766,0.6111883701467555,0.7000930295829522,1.0114277720935632,1.0,0.5,0.9986276534735553,0.035380027946365855,1.0036226862207933,0.01429563170019732,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,0,4,0.02,13705560.948559139,1713.1951185698924,4.0,2048.0,1.3135556958921568,0.39928702233604974,0.3990425669859283,0.5387504415000826,0.6721746088205787,0.9770602220490345,0.9865,0.48650000000000004,0.9747388396561925,0.059148912042819246,1.0602377069145894,0.27865796684355104,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0003125,0.00496875,699.9306669466515,159,0.0003125,0.99375,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,1,4,0.02,13705560.948559139,1713.1951185698924,4.0,2048.0,1.3251919520696005,0.4069577277252401,0.4067166439755998,0.5546309488940697,0.6796654405428392,0.9886474944151921,0.99,0.49,0.9874250229957509,0.06883436207032445,1.0818339439649607,0.28507695905473784,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0003125,0.00496875,699.9306669466515,159,0.0003125,0.99375,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,2,4,0.02,13705560.948559139,1713.1951185698924,4.0,2048.0,1.3257889755111194,0.40881074968134856,0.40857087733406316,0.5451620872385252,0.680765481890221,0.9911508159077111,0.9915,0.49150000000000005,0.9887670609408062,0.06521793293259481,1.0851233978219443,0.29777141792113604,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0003125,0.00496875,699.9306669466515,159,0.0003125,0.99375,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,3,4,0.02,13705560.948559139,1713.1951185698924,4.0,2048.0,1.3248953396023966,0.410877387356389,0.4106392953450295,0.5427205391544895,0.6809534020351173,0.9891924660502033,0.993,0.493,0.9874499470226534,0.05653370042258232,1.0738531001565417,0.28934877815458304,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0003125,0.00496875,699.9306669466515,159,0.0003125,0.99375,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,0,8,0.04,27411121.897118278,3426.390237139785,8.0,4096.0,1.287303463441735,0.38477297787619047,0.38452147421311533,0.5064191458397278,0.6567608355342478,0.956135218164924,0.979,0.479,0.9560528707026106,0.048073341812462145,1.0219532262148145,0.1989033902545868,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00053125,0.00525,1211.937276572816,327,0.000421875,1.021875,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,8da7d73e85753d4e79f54062070fbc7b,True,1,8,0.04,27411121.897118278,3426.390237139785,8.0,4096.0,1.2905039685687723,0.38369025385934363,0.3834375498459698,0.5114507237790781,0.657328806707883,0.958198592,0.978,0.478,0.9581986977730578,0.05780100750033701,1.038225822804318,0.2313167153212491,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00053125,0.00525,1211.937276572816,327,0.000421875,1.021875,0.0,0.0,0.0
