method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,EMC,EMC_star,effective_mode_fraction,mode_weight_JS,mode_weight_TV,max_occupancy_error,mode_count_above_threshold,SW2,MMD2_biased,MMD2_unbiased,mode_count_000,mode_occupancy_ratio_000,mode_count_001,mode_occupancy_ratio_001,mode_count_002,mode_occupancy_ratio_002,mode_count_003,mode_occupancy_ratio_003,mode_count_004,mode_occupancy_ratio_004,mode_count_005,mode_occupancy_ratio_005,mode_count_006,mode_occupancy_ratio_006,mode_count_007,mode_occupancy_ratio_007,mode_count_008,mode_occupancy_ratio_008,mode_count_009,mode_occupancy_ratio_009,mode_count_010,mode_occupancy_ratio_010,mode_count_011,mode_occupancy_ratio_011,mode_count_012,mode_occupancy_ratio_012,mode_count_013,mode_occupancy_ratio_013,mode_count_014,mode_occupancy_ratio_014,mode_count_015,mode_occupancy_ratio_015,mode_count_016,mode_occupancy_ratio_016,mode_count_017,mode_occupancy_ratio_017,mode_count_018,mode_occupancy_ratio_018,mode_count_019,mode_occupancy_ratio_019,mode_count_020,mode_occupancy_ratio_020,mode_count_021,mode_occupancy_ratio_021,mode_count_022,mode_occupancy_ratio_022,mode_count_023,mode_occupancy_ratio_023,mode_count_024,mode_occupancy_ratio_024,mode_count_025,mode_occupancy_ratio_025,mode_count_026,mode_occupancy_ratio_026,mode_count_027,mode_occupancy_ratio_027,mode_count_028,mode_occupancy_ratio_028,mode_count_029,mode_occupancy_ratio_029,mode_count_030,mode_occupancy_ratio_030,mode_count_031,mode_occupancy_ratio_031,mode_count_032,mode_occupancy_ratio_032,mode_count_033,mode_occupancy_ratio_033,mode_count_034,mode_occupancy_ratio_034,mode_count_035,mode_occupancy_ratio_035,mode_count_036,mode_occupancy_ratio_036,mode_count_037,mode_occupancy_ratio_037,mode_count_038,mode_occupancy_ratio_038,mode_count_039,mode_occupancy_ratio_039,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,2,4,0.04,111740476.15676126,27935.119039190315,4.0,32768.0,0.07374417364578423,0.9999986540061276,0.03281576997904674,0.5798093965163411,0.92893575,0.9289357500000001,1.0,26.37355528905158,0.2128736199777821,0.21247374122446006,954,38.06218019689398,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.44028178033941723,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23963096830880445,0,0.0,0,0.0,7,0.28211302656900183,0,0.0,11,0.43941996564534813,0,0.0,0,0.0,2,0.08002400720216066,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23974107963399532,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03985254558134901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0796788940569505,0,0.0,0,0.0,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01025,76.52057316941905,185,0.0,1.15625,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,3,4,0.04,111740476.15676126,27935.119039190315,4.0,32768.0,0.0689469000212036,0.9999986540061276,0.032240151855362754,0.5828851647026323,0.9319357500000001,0.9319357500000001,2.0,26.49584515784967,0.2152813023374357,0.21488181947698004,957,38.18187258745026,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.6804354787063721,0,0.0,0,0.0,0,0.0,0,0.0,4,0.1597539788725363,0,0.0,0,0.0,3,0.1209055828152865,0,0.0,3,0.11984180881236768,0,0.0,0,0.0,2,0.08002400720216066,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,9,0.359611619450993,0,0.0,0,0.0,0,0.0,0,0.0,3,0.11955763674404703,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03983944702847525,0,0.0,0,0.0,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01025,76.52057316941905,185,0.0,1.15625,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,0,6,0.06,167610714.23514187,41902.67855878547,6.0,49152.0,0.0971095809860726,0.9999986540061276,0.035769707033968826,0.5668315429150546,0.91093575,0.91093575,3.0,26.171905654124476,0.2120600448767953,0.21165890307248425,936,37.34402585355636,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,0.6404098623118797,0,0.0,0,0.0,0,0.0,1,0.040165481784954014,10,0.39938494718134077,0,0.0,0,0.0,9,0.36271674844585955,0,0.0,14,0.5592617744577159,0,0.0,0,0.0,1,0.04001200360108033,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,7,0.2796979262396612,0,0.0,0,0.0,0,0.0,0,0.0,5,0.19926272790674504,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01025,67.6432896885986,267,0.0,1.1125,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,1,6,0.06,167610714.23514187,41902.67855878547,6.0,49152.0,0.08240296137059183,0.9999986540061276,0.03388086551775012,0.5754220715019219,0.92193575,0.92193575,3.0,26.346860441029015,0.21297560532298765,0.21257532782907995,947,37.78289795226269,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04004605296090504,0,0.0,13,0.5203330131284022,0,0.0,0,0.0,0,0.0,1,0.040165481784954014,9,0.3594464524632067,0,0.0,0,0.0,7,0.28211302656900183,0,0.0,13,0.5193145048535933,0,0.0,0,0.0,0,0.0,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,7,0.2796979262396612,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03985254558134901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01025,67.6432896885986,267,0.0,1.1125,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,2,6,0.06,167610714.23514187,41902.67855878547,6.0,49152.0,0.10636240514107893,0.9999986540061276,0.03701169396741314,0.5599729104675657,0.90493575,0.90493575,3.0,26.142815699936506,0.21197426237461436,0.2115727603798715,930,37.10464107244382,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,0.7204610951008646,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23963096830880445,0,0.0,0,0.0,10,0.40301860938428835,0,0.0,15,0.5992090440618384,0,0.0,1,0.03996523024968278,4,0.16004801440432131,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,9,0.359611619450993,0,0.0,0,0.0,0,0.0,0,0.0,4,0.15941018232539603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0796788940569505,0,0.0,0,0.0,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01025,67.6432896885986,267,0.0,1.1125,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,3,6,0.06,167610714.23514187,41902.67855878547,6.0,49152.0,0.09315862273848464,0.9999986540061276,0.03525215824744101,0.5699611871756212,0.9129357500000002,0.91293575,2.0,26.30279732382317,0.2144227482008454,0.21402207688614894,938,37.42382078059388,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,0.920589177073327,0,0.0,0,0.0,0,0.0,0,0.0,4,0.1597539788725363,0,0.0,0,0.0,8,0.3224148875074307,0,0.0,9,0.35952542643710306,0,0.0,0,0.0,5,0.20006001800540166,2,0.07989374132403904,0,0.0,0,0.0,0,0.0,9,0.359611619450993,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07970509116269801,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01025,67.6432896885986,267,0.0,1.1125,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,0,8,0.08,223480952.31352252,55870.23807838063,8.0,65536.0,0.12273877003192943,0.9999986540061276,0.03931650290037709,0.554479191742658,0.8889357499999999,0.88893575,3.0,25.950157948495455,0.21131544062880192,0.21091265742015497,914,36.466281656143714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,0.920589177073327,0,0.0,0,0.0,0,0.0,1,0.040165481784954014,12,0.4792619366176089,0,0.0,0,0.0,10,0.40301860938428835,0,0.0,22,0.8788399312906963,0,0.0,0,0.0,1,0.04001200360108033,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,9,0.359611619450993,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23911527348809405,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03983944702847525,0,0.0,0,0.0,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01175,71.60685855660192,361,0.0,1.128125,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,1,8,0.08,223480952.31352252,55870.23807838063,8.0,65536.0,0.10358584988544654,0.9999986540061276,0.03663454098961178,0.5629790778782435,0.90593575,0.90593575,3.0,26.183578014041178,0.21228185902058816,0.21188038107672047,931,37.14453853596258,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04004605296090504,0,0.0,17,0.6804354787063721,0,0.0,0,0.0,0,0.0,1,0.040165481784954014,12,0.4792619366176089,0,0.0,0,0.0,9,0.36271674844585955,0,0.0,14,0.5592617744577159,0,0.0,0,0.0,1,0.04001200360108033,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,11,0.4395253126623247,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03985254558134901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03983944702847525,0,0.0,0,0.0,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01175,71.60685855660192,361,0.0,1.128125,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,2,8,0.08,223480952.31352252,55870.23807838063,8.0,65536.0,0.136238952294541,0.9999986540061276,0.041324059996307116,0.5452965167762782,0.87993575,0.87993575,5.0,25.89685921167264,0.21068503700691787,0.21028178498079564,905,36.1072044844749,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,0.920589177073327,0,0.0,0,0.0,0,0.0,0,0.0,11,0.4393234418994748,0,0.0,0,0.0,14,0.5642260531380037,0,0.0,18,0.7190508528742061,0,0.0,0,0.0,4,0.16004801440432131,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,14,0.5593958524793224,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23911527348809405,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.11951834108542575,0,0.0,1,0.03994407829039345,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01175,71.60685855660192,361,0.0,1.128125,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,5471a024550bb71fafef76a952762803,True,3,8,0.08,223480952.31352252,55870.23807838063,8.0,65536.0,0.1125863938281829,0.9999986540061276,0.037871295856318175,0.5601040706211386,0.8989517499999999,0.89693575,3.0,26.15429996319905,0.21391677803249898,0.21351506489413485,922,36.78546136429377,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27,1.080691642651297,0,0.0,0,0.0,0,0.0,0,0.0,5,0.19969247359067038,0,0.0,0,0.0,11,0.44332047032271715,0,0.0,10,0.3994726960412256,0,0.0,0,0.0,5,0.20006001800540166,2,0.07989374132403904,0,0.0,0,0.0,0,0.0,14,0.5593958524793224,0,0.0,0,0.0,0,0.0,0,0.0,4,0.15941018232539603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.01175,71.60685855660192,361,0.0,1.128125,0.0,0.0,0.0
