method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,alpha,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,0,0,0.0,0.0,0.0,0.0,0.0,1.3573468037849843,0.43003389364522726,0.4298069438970342,0.6191734522868046,0.7017946567297124,1.0144845092489314,1.0,0.5,1.0013780345272505,0.040682574212312694,1.011295520799286,0.024170852429391654,True,1.0,reject,1.6,,
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,1,0,0.0,0.0,0.0,0.0,0.0,1.3559887504502557,0.4296546377481061,0.4294275842487898,0.6129065506769413,0.7009659814682611,1.0129711857630708,1.0,0.5,1.0004844995205044,0.039074380566711975,1.0091469801023036,0.02165514145231151,True,1.0,reject,1.6,,
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,2,0,0.0,0.0,0.0,0.0,0.0,1.354634155540597,0.4290766137238021,0.42884965367244987,0.6151511545466367,0.7003125214966487,1.012106199372919,1.0,0.5,0.9978225699425223,0.03359228213681975,1.0006640712116475,0.009964846414065698,True,1.0,reject,1.6,,
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,3,0,0.0,0.0,0.0,0.0,0.0,1.3553793599445576,0.42948586891598284,0.42925884493095934,0.6196320050257158,0.7006972023283474,1.0122334221897193,1.0,0.5,0.9996957457651299,0.03744501463645089,1.0066293530864177,0.018203577690015016,True,1.0,reject,1.6,,
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,0,4,0.02,32000.0,4.0,4.0,0.0,1.3230190434680984,0.4141213731319223,0.41388461032296975,0.522683274825963,0.6825890401778792,0.992828616,0.997,0.497,0.9928286385151248,0.04980978078330067,1.0589911564475218,0.1775799081792947,True,1.0,reject,1.6,9.375e-05,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,1,4,0.02,32000.0,4.0,4.0,0.0,1.3129876510147271,0.4113935763531924,0.41115673135499553,0.513345829849863,0.6780562154231977,0.9823866885964971,0.997,0.497,0.9823242964604146,0.027836834984253156,1.0155318697253886,0.08997936824920083,True,1.0,reject,1.6,9.375e-05,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,2,4,0.02,32000.0,4.0,4.0,0.0,1.325830306947286,0.41730196901784067,0.4170674295013589,0.5314813558312282,0.684685779188062,0.9925939662844667,0.997,0.497,0.9925217446051265,0.04351901136607861,1.0271706673933176,0.08076919492216483,True,1.0,reject,1.6,9.375e-05,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,3,4,0.02,32000.0,4.0,4.0,0.0,1.3218300790777944,0.4168682614874182,0.4166338363116987,0.5248385545444965,0.6833743613160577,0.9908527980000001,0.9975,0.49750000000000005,0.9908531617646918,0.03546456508808815,1.0202159919822933,0.06253579440598112,True,1.0,reject,1.6,9.375e-05,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,0,8,0.04,64000.0,8.0,8.0,0.0,1.3060857690499814,0.40730813573723235,0.4070697712374912,0.49993532842047034,0.6737849867199366,0.9750002340000001,0.9945,0.49450000000000005,0.9750007391900093,0.01961279003061389,0.9897503895504343,0.029793608628690627,True,1.0,reject,1.6,0.000109375,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,1,8,0.04,64000.0,8.0,8.0,0.0,1.3013982475997175,0.40186552171169154,0.4016237703323752,0.49442811258796837,0.6692452487603034,0.9720043737213319,0.9915,0.49150000000000005,0.9695550628238586,0.03242013123671261,1.0150678511594544,0.3157370833603933,True,1.0,reject,1.6,0.000109375,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,8da7d73e85753d4e79f54062070fbc7b,True,2,8,0.04,64000.0,8.0,8.0,0.0,1.3120044115535014,0.40832062189933027,0.4080817144828699,0.5177916322234524,0.6762868896798789,0.9810556125842615,0.9935,0.49350000000000005,0.9805450087242437,0.03515582185119215,1.0146775386269367,0.09084010415825683,True,1.0,reject,1.6,0.000109375,0.0
