method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,mh_accept,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative,mh_accept_fraction_cumulative
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,3,0.48,24000.0,3.0,3.0,0.0,1.2914271187562585,0.41166004484201235,0.4114246596284612,0.5008534123352983,0.6713018449367367,0.9749344590040602,1.0,0.5,0.9749260454369318,0.0034906659356102043,0.9766687022369824,0.00425407897108987,False,nan,reject,0.699875,0.0,0.0,0.67375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,3,0.48,24000.0,3.0,3.0,0.0,1.2898997464046384,0.4108540488836908,0.41061858242405636,0.500522907330921,0.6702815386657793,0.9722058535528181,1.0,0.5,0.9722036143938986,0.0016252196631899585,0.9690746222465006,0.00609913828900277,False,nan,reject,0.699875,0.0,0.0,0.67375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,3,0.48,24000.0,3.0,3.0,0.0,1.2921168034132369,0.41189349895825345,0.41165823987282935,0.5001941558153251,0.6716079793090766,0.9752373353242575,1.0,0.5,0.9752125232001465,0.003836055894021917,0.9767093847972883,0.003550214559151721,False,nan,reject,0.699875,0.0,0.0,0.67375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,3,0.48,24000.0,3.0,3.0,0.0,1.2952114569300774,0.4127606597229646,0.4125257927167979,0.5004716957472679,0.6727628541754089,0.9765489481456029,1.0,0.5,0.9765272651353806,0.005693007532947769,0.9785421548764068,0.004925369016207548,False,nan,reject,0.699875,0.0,0.0,0.67375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,4,0.64,32000.0,4.0,4.0,0.0,1.2878322936601314,0.41029379302244084,0.41005807832113494,0.5002047342535858,0.6695591011964634,0.9713599177353225,1.0,0.5,0.971330210200739,0.0028716740184170364,0.9677719021680482,0.007271442056538291,False,nan,reject,0.719625,0.0,0.0,0.68521875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,4,0.64,32000.0,4.0,4.0,0.0,1.288640457475495,0.4105601032302071,0.41032440123000014,0.5002325667861205,0.6699309688066405,0.972302285426459,1.0,0.5,0.9723023999348622,0.0009981961274646567,0.9706563338644785,0.0030805488060839936,False,nan,reject,0.719625,0.0,0.0,0.68521875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,4,0.64,32000.0,4.0,4.0,0.0,1.292546587552125,0.411724758017311,0.4114893639488062,0.5005618932329173,0.671641768738254,0.9753159697469849,1.0,0.5,0.9753143477418602,0.004308654936162948,0.9776713161951828,0.005104780985836999,False,nan,reject,0.719625,0.0,0.0,0.68521875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,4,0.64,32000.0,4.0,4.0,0.0,1.2925304259682142,0.4118371336204433,0.4116018923801319,0.5002805975672223,0.6716193206441826,0.9749610747843589,1.0,0.5,0.974916395730254,0.0032282037591442325,0.9756676948037696,0.0018587063844629492,False,nan,reject,0.719625,0.0,0.0,0.68521875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,5,0.8,40000.0,5.0,5.0,0.0,1.2842188266043617,0.40935903698890075,0.4091231970886685,0.5008760855450505,0.6680128976373244,0.9681378250040602,1.0,0.5,0.9681296502430007,0.00890328336971713,0.9594679363861707,0.01728909638008036,False,nan,reject,0.706625,0.0,0.0,0.6895
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,5,0.8,40000.0,5.0,5.0,0.0,1.2872723484432003,0.41028710482968067,0.41005152384281107,0.5003700275305571,0.6693357329615737,0.970505555426459,1.0,0.5,0.9705060371200475,0.00473125804628638,0.9648787227461826,0.011075209419831089,False,nan,reject,0.706625,0.0,0.0,0.6895
