phase,start_x,start_y,x,y,energy,grad_norm,hessian_min_eig,hessian_max_eig,sign_state_ok,optimizer_success
--,-1.0,-1.0,-1.1863035332599905,-1.0742740854558739,0.0032923136476368797,2.102273461655556e-12,2.078553042879571,3.5146819653136157,True,True
-+,-1.0,1.0,-0.5483414129518019,1.0614466585720883,0.060895145284497645,2.788394580903903e-09,0.33538359058340367,2.387713035328903,True,True
+-,1.0,-1.0,1.204888915264013,-1.0185030228170406,-0.1063472232545424,1.0735257812983466e-08,1.899016715940606,3.5282911444189744,True,True
++,1.0,1.0,0.8587667661282551,1.0518128805631997,-0.18353628994274188,1.2902782383399286e-09,1.6773052325286733,2.4762168365036104,True,True
