method,graph_family,jump_type,clip_fraction_mean,clip_fraction_max,mean_jump_count,total_jump_count,undirected_edges,n_atoms,n_theta,n_rho,rho_n,h_shell,jump_cost_proxy,score_cost_proxy,total_cost_proxy,cost_proxy,score_clip_fraction,score_changing_logratio_clip_fraction,overflow_guard_logratio_clip_fraction,effective_log_clip,logratio_clip_fraction,safety_clip_fraction,max_score_norm,max_log_ratio,mean_energy_before_jump,mean_energy_after_jump
Langevin,none,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170000.0,0.0,1170000.0,1170000.0,,,,,,0.0,,,,
LSC-MST-shell,MST,shell,0.0009200988247863231,0.0050347222222222225,0.0031834757834757837,2.8651282051282068,3.0,6.0,5.0,3.0,3.0,0.08000000000000006,1170000.0,105300000.0,106470000.0,106470000.0,4.544159544159544e-05,0.0,0.0,707.7827128933852,0.0,0.0009200988247863231,3985322589.544835,407.9598432795522,4.051394472481358,4.075031706211133
LSC-cycle-shell,cycle,shell,0.0013200632122507099,0.006666666666666667,0.003200000000000001,2.8799999999999955,4.0,8.0,5.0,3.0,3.0,0.08000000000000006,1170000.0,140400000.0,141570000.0,141570000.0,0.0003870370370370378,0.0,2.8675213675213847e-05,707.7827128933852,0.0,0.0013200632122507099,12290303760155.762,762.6696024874826,4.050935363030325,4.0924995764243866
LSC-5-shell,5,shell,0.0012323094729344698,0.005555555555555556,0.003163532763532758,2.8471794871794915,5.0,10.0,5.0,3.0,3.0,0.08000000000000006,1170000.0,175500000.0,176670000.0,176670000.0,0.00034800569800569857,0.0,2.1698005698005735e-05,707.7827128933852,0.0,0.0012323094729344698,5652737131953.842,755.9833029870035,4.0236257551800625,4.066197691253934
LSC-complete-shell,complete,shell,0.0011480635683760686,0.005555555555555556,0.003191737891737888,2.872564102564105,6.0,12.0,5.0,3.0,3.0,0.08000000000000006,1170000.0,210600000.0,211770000.0,211770000.0,0.0002809116809116817,0.0,1.5595125039569426e-05,707.7827128933852,0.0,0.0011480635683760686,3368929110525.605,744.3960780116047,4.022228262515409,4.059580295754369
