method,matrix_kind,from_state,to_state,count,probability
Langevin,recorded_phase,--,--,175500.0,1.0
Langevin,recorded_phase,--,-+,0.0,0.0
Langevin,recorded_phase,--,+-,0.0,0.0
Langevin,recorded_phase,--,++,0.0,0.0
Langevin,recorded_phase,-+,--,0.0,0.0
Langevin,recorded_phase,-+,-+,0.0,0.0
Langevin,recorded_phase,-+,+-,0.0,0.0
Langevin,recorded_phase,-+,++,0.0,0.0
Langevin,recorded_phase,+-,--,0.0,0.0
Langevin,recorded_phase,+-,-+,0.0,0.0
Langevin,recorded_phase,+-,+-,0.0,0.0
Langevin,recorded_phase,+-,++,0.0,0.0
Langevin,recorded_phase,++,--,0.0,0.0
Langevin,recorded_phase,++,-+,0.0,0.0
Langevin,recorded_phase,++,+-,0.0,0.0
Langevin,recorded_phase,++,++,0.0,0.0
LSC-MST-shell,recorded_phase,--,--,85524.0,0.9673566338649474
LSC-MST-shell,recorded_phase,--,-+,1753.0,0.019828073747313654
LSC-MST-shell,recorded_phase,--,+-,816.0,0.009229725144214456
LSC-MST-shell,recorded_phase,--,++,317.0,0.0035855672435244883
LSC-MST-shell,recorded_phase,-+,--,585.0,0.028746928746928746
LSC-MST-shell,recorded_phase,-+,-+,18301.0,0.8993120393120393
LSC-MST-shell,recorded_phase,-+,+-,37.0,0.0018181818181818182
LSC-MST-shell,recorded_phase,-+,++,1427.0,0.07012285012285012
LSC-MST-shell,recorded_phase,+-,--,85.0,0.00768326855283377
LSC-MST-shell,recorded_phase,+-,-+,5.0,0.00045195697369610415
LSC-MST-shell,recorded_phase,+-,+-,9553.0,0.8635089939437766
LSC-MST-shell,recorded_phase,+-,++,1420.0,0.12835578052969357
LSC-MST-shell,recorded_phase,++,--,170.0,0.0030533254306086893
LSC-MST-shell,recorded_phase,++,-+,561.0,0.010075973921008676
LSC-MST-shell,recorded_phase,++,+-,964.0,0.01731415126533398
LSC-MST-shell,recorded_phase,++,++,53982.0,0.9695565493830487
LSC-cycle-shell,recorded_phase,--,--,48551.0,0.9260686287599901
LSC-cycle-shell,recorded_phase,--,-+,1383.0,0.02637953726133481
LSC-cycle-shell,recorded_phase,--,+-,434.0,0.00827817727506819
LSC-cycle-shell,recorded_phase,--,++,2059.0,0.03927365670360692
LSC-cycle-shell,recorded_phase,-+,--,589.0,0.021853665776194717
LSC-cycle-shell,recorded_phase,-+,-+,25215.0,0.9355520926090828
LSC-cycle-shell,recorded_phase,-+,+-,238.0,0.008830513505491244
LSC-cycle-shell,recorded_phase,-+,++,910.0,0.03376372810923123
LSC-cycle-shell,recorded_phase,+-,--,200.0,0.0070736365565537244
LSC-cycle-shell,recorded_phase,+-,-+,181.0,0.006401641083681121
LSC-cycle-shell,recorded_phase,+-,+-,26903.0,0.9515102214048242
LSC-cycle-shell,recorded_phase,+-,++,990.0,0.035014500954940936
LSC-cycle-shell,recorded_phase,++,--,671.0,0.009889899332321253
LSC-cycle-shell,recorded_phase,++,-+,581.0,0.008563385263902604
LSC-cycle-shell,recorded_phase,++,+-,1355.0,0.019971406252302974
LSC-cycle-shell,recorded_phase,++,++,65240.0,0.9615753091514732
LSC-5-shell,recorded_phase,--,--,45752.0,0.9266978590670637
LSC-5-shell,recorded_phase,--,-+,977.0,0.019788944927183975
LSC-5-shell,recorded_phase,--,+-,716.0,0.014502440704057037
LSC-5-shell,recorded_phase,--,++,1926.0,0.03901075530169533
LSC-5-shell,recorded_phase,-+,--,235.0,0.01423465988248834
LSC-5-shell,recorded_phase,-+,-+,14623.0,0.885759282815434
LSC-5-shell,recorded_phase,-+,+-,132.0,0.007995638742504089
LSC-5-shell,recorded_phase,-+,++,1519.0,0.09201041855957356
LSC-5-shell,recorded_phase,+-,--,348.0,0.01180181096754502
LSC-5-shell,recorded_phase,+-,-+,178.0,0.006036558483399465
LSC-5-shell,recorded_phase,+-,+-,27911.0,0.94655271814698
LSC-5-shell,recorded_phase,+-,++,1050.0,0.03560891240207549
LSC-5-shell,recorded_phase,++,--,571.0,0.007125653600888523
LSC-5-shell,recorded_phase,++,-+,1019.0,0.012716359053074264
LSC-5-shell,recorded_phase,++,+-,1353.0,0.0168844296357306
LSC-5-shell,recorded_phase,++,++,77190.0,0.9632735577103066
LSC-complete-shell,recorded_phase,--,--,50429.0,0.9360892485892486
LSC-complete-shell,recorded_phase,--,-+,929.0,0.017244579744579745
LSC-complete-shell,recorded_phase,--,+-,892.0,0.016557766557766557
LSC-complete-shell,recorded_phase,--,++,1622.0,0.03010840510840511
LSC-complete-shell,recorded_phase,-+,--,184.0,0.013107280239350335
LSC-complete-shell,recorded_phase,-+,-+,12045.0,0.858028209146602
LSC-complete-shell,recorded_phase,-+,+-,123.0,0.00876193189913093
LSC-complete-shell,recorded_phase,-+,++,1686.0,0.12010257871491666
LSC-complete-shell,recorded_phase,+-,--,350.0,0.011436787243080743
LSC-complete-shell,recorded_phase,+-,-+,139.0,0.004542038362252067
LSC-complete-shell,recorded_phase,+-,+-,29133.0,0.9519654935790609
LSC-complete-shell,recorded_phase,+-,++,981.0,0.032055680815606315
LSC-complete-shell,recorded_phase,++,--,467.0,0.006065959187914843
LSC-complete-shell,recorded_phase,++,-+,1128.0,0.014651824333978464
LSC-complete-shell,recorded_phase,++,+-,1110.0,0.01441801862652136
LSC-complete-shell,recorded_phase,++,++,74282.0,0.9648641978515853
