method,matrix_kind,from_state,to_state,count,probability,seed
Langevin,jump_step_phase,++,+-,0.0,0.0,20262123
Langevin,jump_step_phase,++,++,0.0,0.0,20262123
LSC-MST-shell,jump_step_phase,--,--,994.0,0.5206914614981666,20260140
LSC-MST-shell,jump_step_phase,--,-+,613.0,0.321110529072813,20260140
LSC-MST-shell,jump_step_phase,--,+-,273.0,0.143006809848088,20260140
LSC-MST-shell,jump_step_phase,--,++,29.0,0.015191199580932426,20260140
LSC-MST-shell,jump_step_phase,-+,--,141.0,0.3373205741626794,20260140
LSC-MST-shell,jump_step_phase,-+,-+,145.0,0.34688995215311,20260140
LSC-MST-shell,jump_step_phase,-+,+-,3.0,0.007177033492822967,20260140
LSC-MST-shell,jump_step_phase,-+,++,129.0,0.30861244019138756,20260140
LSC-MST-shell,jump_step_phase,+-,--,43.0,0.19369369369369369,20260140
LSC-MST-shell,jump_step_phase,+-,-+,0.0,0.0,20260140
LSC-MST-shell,jump_step_phase,+-,+-,100.0,0.45045045045045046,20260140
LSC-MST-shell,jump_step_phase,+-,++,79.0,0.35585585585585583,20260140
LSC-MST-shell,jump_step_phase,++,--,84.0,0.07342657342657342,20260140
LSC-MST-shell,jump_step_phase,++,-+,202.0,0.17657342657342656,20260140
LSC-MST-shell,jump_step_phase,++,+-,283.0,0.24737762237762237,20260140
LSC-MST-shell,jump_step_phase,++,++,575.0,0.5026223776223776,20260140
LSC-MST-shell,jump_step_phase,--,--,953.0,0.5104445634708088,20261140
LSC-MST-shell,jump_step_phase,--,-+,596.0,0.31922870915907875,20261140
LSC-MST-shell,jump_step_phase,--,+-,281.0,0.15050883770755222,20261140
LSC-MST-shell,jump_step_phase,--,++,37.0,0.01981788966256026,20261140
LSC-MST-shell,jump_step_phase,-+,--,142.0,0.3219954648526077,20261140
LSC-MST-shell,jump_step_phase,-+,-+,172.0,0.3900226757369615,20261140
LSC-MST-shell,jump_step_phase,-+,+-,2.0,0.0045351473922902496,20261140
LSC-MST-shell,jump_step_phase,-+,++,125.0,0.2834467120181406,20261140
LSC-MST-shell,jump_step_phase,+-,--,50.0,0.20408163265306123,20261140
LSC-MST-shell,jump_step_phase,+-,-+,1.0,0.004081632653061225,20261140
LSC-MST-shell,jump_step_phase,+-,+-,111.0,0.4530612244897959,20261140
LSC-MST-shell,jump_step_phase,+-,++,83.0,0.33877551020408164,20261140
LSC-MST-shell,jump_step_phase,++,--,93.0,0.07711442786069651,20261140
LSC-MST-shell,jump_step_phase,++,-+,189.0,0.15671641791044777,20261140
LSC-MST-shell,jump_step_phase,++,+-,318.0,0.263681592039801,20261140
LSC-MST-shell,jump_step_phase,++,++,606.0,0.5024875621890548,20261140
LSC-MST-shell,jump_step_phase,--,--,910.0,0.49808429118773945,20262140
LSC-MST-shell,jump_step_phase,--,-+,582.0,0.3185550082101806,20262140
LSC-MST-shell,jump_step_phase,--,+-,309.0,0.16912972085385877,20262140
LSC-MST-shell,jump_step_phase,--,++,26.0,0.014230979748221127,20262140
LSC-MST-shell,jump_step_phase,-+,--,132.0,0.30484988452655887,20262140
LSC-MST-shell,jump_step_phase,-+,-+,168.0,0.38799076212471134,20262140
LSC-MST-shell,jump_step_phase,-+,+-,5.0,0.011547344110854504,20262140
LSC-MST-shell,jump_step_phase,-+,++,128.0,0.2956120092378753,20262140
LSC-MST-shell,jump_step_phase,+-,--,42.0,0.1700404858299595,20262140
LSC-MST-shell,jump_step_phase,+-,-+,0.0,0.0,20262140
LSC-MST-shell,jump_step_phase,+-,+-,124.0,0.5020242914979757,20262140
LSC-MST-shell,jump_step_phase,+-,++,81.0,0.32793522267206476,20262140
LSC-MST-shell,jump_step_phase,++,--,85.0,0.07112970711297072,20262140
LSC-MST-shell,jump_step_phase,++,-+,205.0,0.17154811715481172,20262140
LSC-MST-shell,jump_step_phase,++,+-,296.0,0.24769874476987447,20262140
LSC-MST-shell,jump_step_phase,++,++,609.0,0.5096234309623431,20262140
LSC-cycle-shell,jump_step_phase,--,--,429.0,0.3857913669064748,20260157
LSC-cycle-shell,jump_step_phase,--,-+,383.0,0.3444244604316547,20260157
LSC-cycle-shell,jump_step_phase,--,+-,149.0,0.13399280575539568,20260157
LSC-cycle-shell,jump_step_phase,--,++,151.0,0.1357913669064748,20260157
