edge,i,j,from_phase,to_phase,dx,dy,length,angle
--->-+,0,1,--,-+,0.6379621203081886,2.135720744027962,2.2289680938540757,1.2805230184212462
--->+-,0,2,--,+-,2.3911924485240035,0.055771062638833246,2.391842749284761,0.023319307927622664
--->++,0,3,--,++,2.0450702993882457,2.1260869660190735,2.9500098841387157,0.8048187883671637
-+->+-,1,2,-+,+-,1.7532303282158148,-2.079949681389129,2.7202954363242373,-0.870427195655608
-+->++,1,3,-+,++,1.407108179080057,-0.00963377800888865,1.4071411575647692,-0.006846401456264744
+-->++,2,3,+-,++,-0.3461221491357579,2.0703159033802403,2.0990494234084855,1.7364475873912217
