phase,site,lattice_x,u1,u2
--,0,0.0,-1.1863035332599905,-1.0742740854558739
--,1,0.03125,-1.1863035332599905,-1.0742740854558739
--,2,0.0625,-1.1863035332599905,-1.0742740854558739
--,3,0.09375,-1.1863035332599905,-1.0742740854558739
--,4,0.125,-1.1863035332599905,-1.0742740854558739
--,5,0.15625,-1.1863035332599905,-1.0742740854558739
--,6,0.1875,-1.1863035332599905,-1.0742740854558739
--,7,0.21875,-1.1863035332599905,-1.0742740854558739
--,8,0.25,-1.1863035332599905,-1.0742740854558739
--,9,0.28125,-1.1863035332599905,-1.0742740854558739
--,10,0.3125,-1.1863035332599905,-1.0742740854558739
--,11,0.34375,-1.1863035332599905,-1.0742740854558739
--,12,0.375,-1.1863035332599905,-1.0742740854558739
--,13,0.40625,-1.1863035332599905,-1.0742740854558739
--,14,0.4375,-1.1863035332599905,-1.0742740854558739
--,15,0.46875,-1.1863035332599905,-1.0742740854558739
--,16,0.5,-1.1863035332599905,-1.0742740854558739
--,17,0.53125,-1.1863035332599905,-1.0742740854558739
--,18,0.5625,-1.1863035332599905,-1.0742740854558739
--,19,0.59375,-1.1863035332599905,-1.0742740854558739
--,20,0.625,-1.1863035332599905,-1.0742740854558739
--,21,0.65625,-1.1863035332599905,-1.0742740854558739
--,22,0.6875,-1.1863035332599905,-1.0742740854558739
--,23,0.71875,-1.1863035332599905,-1.0742740854558739
--,24,0.75,-1.1863035332599905,-1.0742740854558739
--,25,0.78125,-1.1863035332599905,-1.0742740854558739
--,26,0.8125,-1.1863035332599905,-1.0742740854558739
--,27,0.84375,-1.1863035332599905,-1.0742740854558739
--,28,0.875,-1.1863035332599905,-1.0742740854558739
--,29,0.90625,-1.1863035332599905,-1.0742740854558739
--,30,0.9375,-1.1863035332599905,-1.0742740854558739
--,31,0.96875,-1.1863035332599905,-1.0742740854558739
-+,0,0.0,-0.5483414129518019,1.0614466585720883
-+,1,0.03125,-0.5483414129518019,1.0614466585720883
-+,2,0.0625,-0.5483414129518019,1.0614466585720883
-+,3,0.09375,-0.5483414129518019,1.0614466585720883
-+,4,0.125,-0.5483414129518019,1.0614466585720883
-+,5,0.15625,-0.5483414129518019,1.0614466585720883
-+,6,0.1875,-0.5483414129518019,1.0614466585720883
-+,7,0.21875,-0.5483414129518019,1.0614466585720883
-+,8,0.25,-0.5483414129518019,1.0614466585720883
-+,9,0.28125,-0.5483414129518019,1.0614466585720883
-+,10,0.3125,-0.5483414129518019,1.0614466585720883
-+,11,0.34375,-0.5483414129518019,1.0614466585720883
-+,12,0.375,-0.5483414129518019,1.0614466585720883
-+,13,0.40625,-0.5483414129518019,1.0614466585720883
-+,14,0.4375,-0.5483414129518019,1.0614466585720883
-+,15,0.46875,-0.5483414129518019,1.0614466585720883
-+,16,0.5,-0.5483414129518019,1.0614466585720883
-+,17,0.53125,-0.5483414129518019,1.0614466585720883
-+,18,0.5625,-0.5483414129518019,1.0614466585720883
-+,19,0.59375,-0.5483414129518019,1.0614466585720883
-+,20,0.625,-0.5483414129518019,1.0614466585720883
-+,21,0.65625,-0.5483414129518019,1.0614466585720883
-+,22,0.6875,-0.5483414129518019,1.0614466585720883
-+,23,0.71875,-0.5483414129518019,1.0614466585720883
-+,24,0.75,-0.5483414129518019,1.0614466585720883
-+,25,0.78125,-0.5483414129518019,1.0614466585720883
-+,26,0.8125,-0.5483414129518019,1.0614466585720883
-+,27,0.84375,-0.5483414129518019,1.0614466585720883
-+,28,0.875,-0.5483414129518019,1.0614466585720883
-+,29,0.90625,-0.5483414129518019,1.0614466585720883
-+,30,0.9375,-0.5483414129518019,1.0614466585720883
-+,31,0.96875,-0.5483414129518019,1.0614466585720883
+-,0,0.0,1.204888915264013,-1.0185030228170406
+-,1,0.03125,1.204888915264013,-1.0185030228170406
+-,2,0.0625,1.204888915264013,-1.0185030228170406
+-,3,0.09375,1.204888915264013,-1.0185030228170406
+-,4,0.125,1.204888915264013,-1.0185030228170406
+-,5,0.15625,1.204888915264013,-1.0185030228170406
+-,6,0.1875,1.204888915264013,-1.0185030228170406
+-,7,0.21875,1.204888915264013,-1.0185030228170406
+-,8,0.25,1.204888915264013,-1.0185030228170406
+-,9,0.28125,1.204888915264013,-1.0185030228170406
+-,10,0.3125,1.204888915264013,-1.0185030228170406
+-,11,0.34375,1.204888915264013,-1.0185030228170406
+-,12,0.375,1.204888915264013,-1.0185030228170406
+-,13,0.40625,1.204888915264013,-1.0185030228170406
+-,14,0.4375,1.204888915264013,-1.0185030228170406
