mode,phase,energy,local_x,local_y,local_2d_basin_mass_reference,grad_linf,grad_l2,hess_min_eig,hess_max_eig,fd_grad_max_abs_error,fd_grad_max_rel_error,stationarity_ok,hessian_positive_ok,fd_gradient_ok,quality_ok
0,--,0.0032923136476368797,-1.1863035332599905,-1.0742740854558739,0.07167603535288125,5.5131246790018906e-14,3.716329551612903e-13,0.064954782589825,320.10983381141597,1.6144596428938856e-12,0.6020699739126687,True,True,True,True
1,-+,0.060895145284497645,-0.5483414129518019,1.0614466585720883,0.0544273651870279,6.923617495296908e-11,4.929231791952428e-10,0.010480737205798249,320.074616032354,8.491574019607029e-13,0.028313242121511286,True,True,True,True
2,+-,-0.1063472232545424,1.204888915264013,-1.0185030228170406,0.22590067872408148,2.6271212635875507e-10,1.8977433993366185e-09,0.05934427237316323,320.1102590982632,7.351999437627402e-13,0.012556464525244573,True,True,True,True
3,++,-0.18353628994274188,0.8587667661282551,1.0518128805631997,0.6479959207360095,3.3283657080440676e-11,2.2809112298689898e-10,0.05241578851655947,320.0773817761409,1.0443775768676656e-12,0.2166787616166409,True,True,True,True
