phase,coherent_field_energy,coherent_field_hessian_logdet,laplace_phase_mass_reference
--,0.0032923136476368797,280.79016907529365,0.06798531200260115
-+,0.060895145284497645,278.4850173588969,0.12100589019540085
+-,-0.1063472232545424,280.6982406491161,0.21307650166951195
++,-0.18353628994274188,280.1783694501246,0.5979322961324861
