method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,gamma,integrator,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,0,12,0.06,96000.0,12.0,12.0,0.0,1.3550015979395458,0.42971502424189,0.4294878005773791,0.605259540368352,0.7005143124030284,1.0125628646118554,1.0,0.5,1.001582885164571,0.04156905843681824,1.0133378680115201,0.027847781442908448,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,1,12,0.06,96000.0,12.0,12.0,0.0,1.3549035319743756,0.42975415172935016,0.42952693421318255,0.6120457100717911,0.7005467679029245,1.0128085032787653,1.0,0.5,1.0016975482581427,0.04178810298701241,1.0136553307212621,0.028262014114858736,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,2,12,0.06,96000.0,12.0,12.0,0.0,1.3527030794497095,0.4289815723137036,0.42875430535591275,0.6088162092486815,0.69933959975272,1.0102441760575758,1.0,0.5,0.9990438713736224,0.03656532439342097,1.0059351863715114,0.01810653468745349,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,3,12,0.06,96000.0,12.0,12.0,0.0,1.353425318201156,0.42919773062692823,0.4289704294324086,0.5998594849549741,0.6996278132513489,1.011268939641135,1.0,0.5,1.000038738118227,0.03861375456795679,1.009081082443801,0.02238010209203256,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,0,17,0.085,136000.0,17.0,17.0,0.0,1.3531260809997194,0.42946915708370026,0.42924172296813,0.5974248113510567,0.6996014044420675,1.0112585323088434,1.0,0.5,1.0017359646853221,0.04224210980368048,1.0148996829453827,0.030675426829232744,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,1,17,0.085,136000.0,17.0,17.0,0.0,1.3532482794179055,0.4295228453959775,0.4292954345476867,0.606344981024593,0.6997088611516311,1.011597526327615,1.0,0.5,1.0018175952508173,0.04236524916284812,1.0150294351096563,0.030781834754301296,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,2,17,0.085,136000.0,17.0,17.0,0.0,1.3508498385745535,0.4287274503818267,0.42849998110730303,0.6047313168105698,0.6984387908659568,1.0088716258532302,1.0,0.5,0.99912503811077,0.03707989603712036,1.007236713801321,0.020556439619970113,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,3,17,0.085,136000.0,17.0,17.0,0.0,1.3512479267697288,0.42883929314285496,0.4286117578450942,0.5931133590452431,0.6985222796042143,1.009647253561829,1.0,0.5,0.9998903214369445,0.03872492142714279,1.0098576266431554,0.0242338293103167,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,0,21,0.105,168000.0,21.0,21.0,0.0,1.351331985463258,0.4292178297069068,0.4289901877744797,0.5911377664482071,0.6987524751938076,1.0101538915631738,1.0,0.5,1.0018548925079556,0.04284263590724091,1.016345945179212,0.033340085729920976,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,8da7d73e85753d4e79f54062070fbc7b,True,1,21,0.105,168000.0,21.0,21.0,0.0,1.3515965503555154,0.4292657492313634,0.4290381398076235,0.5971970827558627,0.6988876332372354,1.010441359407326,1.0,0.5,1.0018676816132288,0.042811830119483085,1.0162207270503834,0.033075022031057055,True,1.0,reject,1.0,BAOAB,0.0,0.0
