method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,jump_count_mean,jump_count_applied_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,0,0.0,0.0,0.0,0.0,0.0,1.3566761531606049,0.4297764206947071,0.4295494409627332,0.617338957452866,0.7014013590947782,1.0137627995973475,1.0,0.5,1.0005642399804948,0.039105908332192296,1.009003998696455,0.021211717649500472,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,0,0.0,0.0,0.0,0.0,0.0,1.3565628896170088,0.4296575566633871,0.4294306009819483,0.6202243680236761,0.7012863355202078,1.0133627199645412,1.0,0.5,0.9999934806201546,0.03792224741250316,1.0071620184411254,0.018661986139750897,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,0,0.0,0.0,0.0,0.0,0.0,1.3554926022852027,0.4296933247396886,0.4294662191611267,0.6143123259434173,0.7008414539774553,1.0130295178006041,1.0,0.5,1.0008979457427407,0.039992423725933035,1.0106565320843943,0.023840373396399772,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,0,0.0,0.0,0.0,0.0,0.0,1.354894183171407,0.42919318911506443,0.42896618318724267,0.6146320050257159,0.7004082526774602,1.0118418006576066,1.0,0.5,0.9985005243341689,0.03502573253540586,1.0029355816838494,0.013164223769013605,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,4,0.02,32000.0,4.0,4.0,0.0,1.327820283999366,0.4032453353951104,0.40299960883461494,0.5474341423837747,0.6794728917626865,0.9965814913473127,0.99,0.49,0.9965361342708227,0.10217849490582864,1.1698524444398748,0.514623772783536,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004750000000000001,152,0.95,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,4,0.02,32000.0,4.0,4.0,0.0,1.332795863843612,0.40922267478560415,0.4089810164513963,0.5486451737213469,0.6834006050405494,1.0000992770524124,0.993,0.493,0.9998192281517265,0.09359898888231699,1.1674613510668137,0.5190061955317541,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004750000000000001,152,0.95,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,4,0.02,32000.0,4.0,4.0,0.0,1.3295229380976916,0.40532963233101715,0.4050849427989519,0.549613623557788,0.6810821605635035,0.9995021896499844,0.9905,0.49050000000000005,0.9989580500253568,0.1030276097572076,1.1647297789611584,0.48536915955645277,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004750000000000001,152,0.95,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,4,0.02,32000.0,4.0,4.0,0.0,1.3288551248271787,0.4039543972426324,0.4037096708696061,0.5492433057085802,0.6798713874578107,0.9957478640173172,0.9905,0.49050000000000005,0.9951772370264421,0.09610209789982616,1.1678857354528354,0.5251526524051743,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004750000000000001,152,0.95,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,8,0.04,64000.0,8.0,8.0,0.0,1.3060917413517026,0.38626088607045206,0.38600390234963267,0.5164940561632685,0.6652609010540137,0.9892013820000001,0.9825,0.48250000000000004,0.9892012498010645,0.12659717074558685,1.2163104458727374,0.6408859141736619,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,323,1.009375,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,8,0.04,64000.0,8.0,8.0,0.0,1.3119866655459635,0.38538709107002267,0.3851286778547438,0.5162380239033716,0.6667264010006096,0.9952519719999999,0.983,0.483,0.995252044198752,0.1439002485784473,1.2857052009900778,0.8470880553805057,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,323,1.009375,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,8,0.04,64000.0,8.0,8.0,0.0,1.3059236678450459,0.3831019882058281,0.38284287497836744,0.5149751363559373,0.6637228334227614,0.9886125080000001,0.98,0.48,0.9886128540878014,0.13547631992553266,1.233518820967887,0.6922395887037084,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,323,1.009375,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,8,0.04,64000.0,8.0,8.0,0.0,1.3041844790018342,0.38004458812014164,0.37978395704526435,0.5150440396321434,0.6609249863450888,0.9834591514788041,0.9795,0.47950000000000004,0.9819518737085197,0.1365181984078092,1.2323752518256847,0.8037842814769408,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,323,1.009375,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,12,0.06,96000.0,12.0,12.0,0.0,1.2800477924817464,0.3643995743830616,0.36412957645379085,0.4915217368083023,0.6464010761327813,0.9698678334788041,0.97,0.47,0.968932834259596,0.14728593804444734,1.2275982820852964,0.7640211069009043,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053125,493,1.0270833333333333,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,12,0.06,96000.0,12.0,12.0,0.0,1.2891374986535116,0.36782188661058945,0.3675528383675548,0.4891755616656792,0.651553494240336,0.9814886380000001,0.9735,0.47350000000000003,0.9814886628292685,0.15708895546943968,1.2920259593412509,0.879783204998449,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053125,493,1.0270833333333333,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,12,0.06,96000.0,12.0,12.0,0.0,1.2777916188221388,0.3654926266641255,0.36522475119248543,0.4917687621613867,0.6464849829278994,0.96479773,0.969,0.469,0.964797899741834,0.12350868006198179,1.165383202571994,0.5253650298223779,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053125,493,1.0270833333333333,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,12,0.06,96000.0,12.0,12.0,0.0,1.2757252471976614,0.35982284074245363,0.35955048652844024,0.48782600854084424,0.6425971902896945,0.9640481805842613,0.968,0.46799999999999997,0.9622268062072774,0.14334733637373298,1.210830442297412,0.7397703075861074,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053125,493,1.0270833333333333,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,17,0.085,136000.0,17.0,17.0,0.0,1.254497358621461,0.3436888293348016,0.3434070074209805,0.4698663115957606,0.6277586754224166,0.9473026355099619,0.9570000000000001,0.4570000000000001,0.9441769347908319,0.15716303631850637,1.1834705555296987,0.7618855540757982,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005025000000000001,694,1.0205882352941176,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,17,0.085,136000.0,17.0,17.0,0.0,1.2628717690874978,0.34440732370075733,0.34412441670549765,0.47361359741593423,0.6317453162722149,0.9589050380000002,0.9595,0.4595,0.9589059498392416,0.17810993649912543,1.3005993940921285,0.972078892668108,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005025000000000001,694,1.0205882352941176,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,17,0.085,136000.0,17.0,17.0,0.0,1.2527383241357188,0.34124752364652966,0.34096507347844285,0.4677910422712007,0.6266718000179419,0.9452844995633827,0.9555,0.4555,0.945284605398975,0.15243599440204214,1.2257385906694376,0.785689696875166,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005025000000000001,694,1.0205882352941176,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,17,0.085,136000.0,17.0,17.0,0.0,1.2542976470147156,0.34613571103245244,0.3458563451558945,0.4719994272668769,0.6294129214354282,0.9477740785842614,0.9605,0.4605,0.9469614163116558,0.14087104234496084,1.206849801861572,0.7431341500905849,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005025000000000001,694,1.0205882352941176,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,21,0.105,168000.0,21.0,21.0,0.0,1.2309196383406034,0.324746197000789,0.3244542460094233,0.4553978954639683,0.6106486239104826,0.9238983333960114,0.9445,0.4445,0.9206117212945851,0.16183925496704643,1.1629798755525012,0.7696840123485323,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,865,1.0297619047619047,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,21,0.105,168000.0,21.0,21.0,0.0,1.240013428610074,0.33184808700397794,0.3315596788962125,0.4597422008904508,0.6180576524646061,0.9362788885160709,0.9510000000000001,0.45100000000000007,0.9362330537305508,0.16171070919441366,1.2232948662171443,0.7979692927814573,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,865,1.0297619047619047,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,21,0.105,168000.0,21.0,21.0,0.0,1.2297479788905878,0.32445327156977577,0.32416204050230435,0.4558213488881349,0.6107449809593691,0.9239180334788042,0.9460000000000001,0.44600000000000006,0.9221975891034019,0.14908125599645006,1.1777295200779203,0.7668887550101079,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,865,1.0297619047619047,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,21,0.105,168000.0,21.0,21.0,0.0,1.243216737981638,0.3325233957605809,0.3322354364685999,0.4582866443471211,0.6186800497040801,0.9382109555099618,0.9525,0.4525,0.9366477451845338,0.1668862924901704,1.261713183886877,1.0076585912422016,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,865,1.0297619047619047,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,25,0.125,200000.0,25.0,25.0,0.0,1.2154978293942422,0.3143756749144936,0.3140792882802377,0.4449337567123778,0.6005879531433539,0.9068097326761082,0.9380000000000001,0.43800000000000006,0.9053975547125195,0.14950436624030194,1.1453936992749587,0.6928487837028926,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00465625,1014,1.014,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,25,0.125,200000.0,25.0,25.0,0.0,1.2190592489251368,0.31586021196213787,0.3155635446543199,0.4472226607664614,0.6025830787268265,0.9143644842481137,0.9405,0.4405,0.9127740352648153,0.16327846202001073,1.1895996372423887,0.8460831435995338,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00465625,1014,1.014,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,25,0.125,200000.0,25.0,25.0,0.0,1.21205300827894,0.31245021482709345,0.3121530653047794,0.4458207460996047,0.5991874639683408,0.9069759445842616,0.9380000000000001,0.43800000000000006,0.9057716326200894,0.1428173240229922,1.1568566924092043,0.692139930740682,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00465625,1014,1.014,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,25,0.125,200000.0,25.0,25.0,0.0,1.2210283934849626,0.3166487195941563,0.31635291659407705,0.44410114443286985,0.6042082298423088,0.9158538267337025,0.9415,0.4415,0.9151085452896585,0.1546671126863619,1.1996186009161043,0.7984308223028004,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00465625,1014,1.014,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,29,0.145,232000.0,29.0,29.0,0.0,1.2005909066612153,0.3030971705704044,0.3027948335853792,0.4350603675575698,0.5894362713438022,0.8911337518314006,0.93,0.43000000000000005,0.8871412256001868,0.15046777670440115,1.0919431478368815,0.704620182478053,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004593750000000001,1161,1.0008620689655172,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,29,0.145,232000.0,29.0,29.0,0.0,1.199607393653094,0.30406005454001517,0.30375821011238013,0.4345845845426914,0.5903717586349968,0.8933119007643529,0.932,0.43200000000000005,0.8925190264840416,0.14890907189209823,1.1380996966524557,0.7070652760121011,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004593750000000001,1161,1.0008620689655172,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,29,0.145,232000.0,29.0,29.0,0.0,1.2052291315443107,0.30583633719447156,0.3055349130551951,0.438065218248057,0.5939409329998656,0.9022855446086142,0.934,0.43400000000000005,0.9018742254560629,0.1539807675984024,1.1782385702121108,0.7418354698687045,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004593750000000001,1161,1.0008620689655172,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,29,0.145,232000.0,29.0,29.0,0.0,1.2013475039109398,0.302931648646651,0.30262933049187246,0.4337259677831498,0.5900957758477426,0.8939224223717472,0.932,0.43200000000000005,0.8926224610094607,0.15032467568070285,1.1675792302875128,0.8260368850305974,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004593750000000001,1161,1.0008620689655172,0.0,0.0,0.0
