method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,jump_count_mean,jump_count_applied_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,33,0.165,264000.0,33.0,33.0,0.0,1.1801912983429825,0.2845592057890818,0.2842464939644834,0.42077737367018303,0.5730026514831066,0.8698689273073037,0.9185,0.4185,0.8669450562097493,0.1609095603690318,1.1292626043697664,0.8061833947788214,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00521875,1328,1.006060606060606,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,33,0.165,264000.0,33.0,33.0,0.0,1.1885828093908255,0.2953799190137677,0.29507351327670905,0.42902316726974243,0.5819711459249679,0.8823472230862252,0.927,0.42700000000000005,0.8801452916616062,0.15127608973584938,1.1321577670513565,0.7888409316666459,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00521875,1328,1.006060606060606,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,33,0.165,264000.0,33.0,33.0,0.0,1.1887374640765618,0.2960136363363396,0.29570795249424764,0.428217252178324,0.5830178364546325,0.8842881775099618,0.9265,0.4265,0.8825900348876977,0.14581547318491195,1.1236184029837495,0.709543128842134,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00521875,1328,1.006060606060606,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,33,0.165,264000.0,33.0,33.0,0.0,1.1802560239946813,0.2868963956472459,0.28658531722806324,0.42454163924487476,0.5753288339801089,0.8737331342035054,0.922,0.42200000000000004,0.8729507167523805,0.1516489761384039,1.147537301517901,0.7746403723535465,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00521875,1328,1.006060606060606,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,38,0.19,304000.0,38.0,38.0,0.0,1.1630856730843102,0.2742057758242238,0.27388790059689605,0.4137453194299511,0.5624182585694599,0.8539284728173866,0.9115,0.4115,0.8517174359436823,0.15490485998183745,1.098600686978281,0.7249861225301989,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004975,1527,1.0046052631578948,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,38,0.19,304000.0,38.0,38.0,0.0,1.1708337347913356,0.28347246102196677,0.2831605124014238,0.4199531462927154,0.5699233277857878,0.8631865543774191,0.919,0.41900000000000004,0.8613711070425429,0.14159667462453873,1.1104791984597355,0.7594906317860742,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004975,1527,1.0046052631578948,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,38,0.19,304000.0,38.0,38.0,0.0,1.1767313870507758,0.28002085227713636,0.27970440068489355,0.41773442796419974,0.5700441502447147,0.8729569822035054,0.916,0.41600000000000004,0.8693030397106666,0.18304208226122398,1.1912168793990714,1.0607018873390004,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004975,1527,1.0046052631578948,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,38,0.19,304000.0,38.0,38.0,0.0,1.1593522370293086,0.274106350477589,0.27378897964498283,0.4138991230413839,0.5607858536406102,0.8508978753056503,0.9125,0.4125,0.8471409644950005,0.1458526286000279,1.0741545898106135,0.7255954360145794,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004975,1527,1.0046052631578948,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,42,0.21,336000.0,42.0,42.0,0.0,1.1548869274822569,0.2663345464312079,0.26601168372069506,0.4090778520524064,0.5548956862126444,0.8467383879376729,0.906,0.406,0.8425451571578343,0.17084071340765306,1.1084477160446293,0.8874129791805282,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0054375,1701,1.0125,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,42,0.21,336000.0,42.0,42.0,0.0,1.1643915740171447,0.2742203786948121,0.27390175236920655,0.4140206886615346,0.5623348691854881,0.8595186725412043,0.9125,0.4125,0.853245677942075,0.17099983487116988,1.1237003458408283,1.0567496800239513,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0054375,1701,1.0125,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,42,0.21,336000.0,42.0,42.0,0.0,1.1578688202541139,0.2659481478425476,0.2656234553494631,0.406096763469827,0.5556384564617827,0.853713016539675,0.905,0.405,0.8458043779896817,0.19073456348641682,1.1297428791279605,1.0436590518081519,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0054375,1701,1.0125,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,42,0.21,336000.0,42.0,42.0,0.0,1.149446256066274,0.2623406865246868,0.26201566704605783,0.4045445299058998,0.5494310911927056,0.838734304882197,0.904,0.404,0.8304593476842659,0.17129943168254247,1.0880270474100375,0.9650416032485519,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0054375,1701,1.0125,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,46,0.23,368000.0,46.0,46.0,0.0,1.1398560635652653,0.2585854017162823,0.258260151921626,0.4028172555398374,0.5458860888733695,0.8278297706680026,0.9,0.4,0.8256690501618927,0.14666071954328475,1.0567036330077548,0.6836091568036448,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00403125,1830,0.9945652173913043,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,46,0.23,368000.0,46.0,46.0,0.0,1.143382398046281,0.26120470862113665,0.2608807727814373,0.4037189618106192,0.548904242639609,0.8334027734827432,0.902,0.402,0.8304202545974406,0.1427403176277624,1.065029923186054,0.7000430204392692,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00403125,1830,0.9945652173913043,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,46,0.23,368000.0,46.0,46.0,0.0,1.1427660563869086,0.26015050037518117,0.2598251694956255,0.40101705348904926,0.548604412486452,0.8361480660141152,0.9,0.4,0.8322212371090334,0.15419579603776934,1.0715469968314368,0.7059442597856126,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00403125,1830,0.9945652173913043,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,46,0.23,368000.0,46.0,46.0,0.0,1.135684034936508,0.2565508025495582,0.2562247066231239,0.39927643041207467,0.5420329301844317,0.822060174539675,0.899,0.399,0.815358933765494,0.1431636478839604,1.0190857746141304,0.7244628371576886,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00403125,1830,0.9945652173913043,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,50,0.25,400000.0,50.0,50.0,0.0,1.1251231224986855,0.2461335286719769,0.24580186436496687,0.39108862826357227,0.5336435243132559,0.8103730097694073,0.8905000000000001,0.39050000000000007,0.8081354192264298,0.14891174169893961,1.0549835900953082,0.7552127743447735,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005531250000000001,2007,1.0035,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,1,50,0.25,400000.0,50.0,50.0,0.0,1.1325194864339727,0.250543836425403,0.2502130314398091,0.39662010742008735,0.5385722276666935,0.8236099547130687,0.8945000000000001,0.3945000000000001,0.8176736457490472,0.16498063562567866,1.086201321741788,0.9396727917341877,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005531250000000001,2007,1.0035,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,2,50,0.25,400000.0,50.0,50.0,0.0,1.1196205416230534,0.24294159769497048,0.2426080513845399,0.38744276927153337,0.5310771489913436,0.8083932832920946,0.887,0.387,0.8063506812471269,0.1478593520037912,1.0455428843457,0.6701577939267708,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005531250000000001,2007,1.0035,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,3,50,0.25,400000.0,50.0,50.0,0.0,1.1203449421365923,0.24159225974998566,0.24125772799727574,0.38857594958515296,0.5278452014793206,0.8049327264380342,0.8885000000000001,0.38850000000000007,0.7987142944448878,0.16100659569674058,1.0772129022623413,1.0633879293510549,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005531250000000001,2007,1.0035,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,8da7d73e85753d4e79f54062070fbc7b,True,0,54,0.27,432000.0,54.0,54.0,0.0,1.1116505816981586,0.23598528315142298,0.235647901872317,0.38452355869514265,0.5238776410739764,0.7981831136392465,0.884,0.384,0.7970739248617119,0.1532882756511642,1.0714979065427992,0.805622049690153,True,1.0,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00521875,2174,1.0064814814814815,0.0,0.0,0.0
