method,EMC_mean,EMC_std,MMD_mean,MMD_std,TV_density_mean,TV_density_std,TV_mean,TV_std,V_evals_per_step,W2_mean,W2_std,grad_evals_per_step,jump_count_mean,m_clip_fraction,mala_accept,nonfinite_frac_mean,nonfinite_frac_std,pt_swap_accept,score_quad_evals_per_step,time_to_threshold_TV,wallclock_mean_s,wallclock_std_s
ULA,0.5670729243772692,0.005018518175041222,0.5914600773180526,0.002643960928864553,0.47341928938300065,0.002468537652567311,0.47250000000000003,0.002462214450449037,0.0,1.2559351881445324,0.003148380263529209,20000.0,,,,0.0,0.0,,0.0,inf,3.0987324407324195,0.0
MALA,0.5637947008720396,0.006428077881988496,0.5938323435395445,0.004281237085132601,0.4750972830186634,0.0031412401243013097,0.47409999999999997,0.003130495168499715,20000.0,1.260592968888095,0.006405309225426011,20000.0,,,0.9976599747474744,0.0,0.0,,0.0,inf,9.206954265013337,0.0
FLA,0.9999846750650745,1.3946143746626154e-05,0.004450929698481121,0.00035235132894788547,0.12347916360883493,0.006475808122777761,0.0023500000000000023,0.001635542723379628,0.0,0.07386707284344893,0.014944968297222052,20000.0,,,,0.0,0.0,,0.0,16.875,4.957749021239579,0.0
BAOAB,0.5303536177375989,0.0024876574450747395,0.6126289234939997,0.0011459954371036778,0.4900861684157528,0.0012130519751820162,0.48935000000000006,0.0010398317171542994,0.0,1.2855381868121323,0.0009478254757061734,20000.0,,,,0.0,0.0,,0.0,inf,3.781733619980514,0.0
PT,0.9999239518090202,7.961860672510661e-05,0.007911197625094962,0.0048191356888092375,0.04381846701515624,0.0025086720991307244,0.005500000000000016,0.0031174909783349843,40000.0,0.07764760525900824,0.03019489424820777,40000.0,,,0.9971968434343431,0.0,0.0,0.407235,0.0,12.915000000000001,10.098218390718102,0.0
CP,0.9999478756879997,4.199926628874065e-05,0.03067815662661716,0.003261708482501645,0.09956352901160012,0.007073959361463074,0.004549999999999982,0.002588435821108949,0.0,0.17910904776475972,0.012674519813255371,20000.0,0.005018560606060607,,,0.0,0.0,,0.0,4.0,8.911202152259648,0.0
LSC-CP,0.9999477258871885,5.6906903426870166e-05,0.01573881137597196,0.0017012977933855518,0.060756582745205304,0.005088902410599123,0.004250000000000004,0.0031770662567847125,0.0,0.11417865921350412,0.015853745925563028,20000.0,0.005018560606060607,0.0004992424242424248,,0.0,0.0,,2560000.0,4.0,14.769029662944376,0.0
CP-RA,0.9998855302939749,0.00015273955703354607,0.03151289174115103,0.002654397817556434,0.09304322994829087,0.0013273631176251397,0.006249999999999994,0.0047664189912344146,0.0,0.18172150963829917,0.02867259907499132,20000.0,0.004966161616161621,,,0.0,0.0,,0.0,4.625,7.478816416114569,0.0
LSC-CP-RA,0.9998670307219808,0.00014428319878957184,0.013911566475676335,0.0032707136507591126,0.06840558823739067,0.00336095794648307,0.0072500000000000064,0.0041720798170696675,340000.0,0.13997985072168007,0.028041667580107156,20000.0,0.004966161616161621,0.0002545454545454546,,0.0,0.0,,0.0,3.75,12.647310266271234,0.0
