method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,alpha,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,0,0,0.0,0.0,0.0,0.0,0.0,1.3564275390894247,0.4299992283002496,0.4297721521571457,0.6166510989000662,0.7013438273190242,1.014215377945534,1.0,0.5,1.0018946624321943,0.04193728450462131,1.0135091871298225,0.027567328449603523,True,1.0,reject,1.7,,
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,1,0,0.0,0.0,0.0,0.0,0.0,1.3538375421919024,0.42904694394861365,0.428819872586103,0.6150262617972384,0.6998920499478875,1.0109592375287553,1.0,0.5,0.9982828998258474,0.03470448042402374,1.0026318588556944,0.013006455738574618,True,1.0,reject,1.7,,
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,2,0,0.0,0.0,0.0,0.0,0.0,1.3571492080415675,0.4301329950407319,0.42990599245039895,0.6208501049157646,0.7017224227085379,1.0146714654828075,1.0,0.5,1.0020194428348992,0.04205921374234789,1.0135052043313366,0.027316129437074843,True,1.0,reject,1.7,,
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,3,0,0.0,0.0,0.0,0.0,0.0,1.3551174338826633,0.42936459646738945,0.42913753268125465,0.6122023320028024,0.7005303852455076,1.0124003586576067,1.0,0.5,0.9994472786889733,0.03701813950720734,1.0060706191052737,0.017539403428190492,True,1.0,reject,1.7,,
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,0,4,0.02,32000.0,4.0,4.0,0.0,1.3100660049382211,0.41163668503287054,0.4113996519244575,0.502999243757394,0.6770871934994083,0.98535671,0.997,0.497,0.9853562619497838,0.034581661841352807,1.0423523522395504,0.1837315581168758,True,1.0,reject,1.7,0.000125,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,1,4,0.02,32000.0,4.0,4.0,0.0,1.310882674069491,0.41427204787239114,0.41403645710241044,0.5014137238392637,0.678653927711549,0.9866885599999999,0.9985,0.49850000000000005,0.9866885004994513,0.029695538816255307,1.0129545125001036,0.05599074039215546,True,1.0,reject,1.7,0.000125,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,2,4,0.02,32000.0,4.0,4.0,0.0,1.3077081791573042,0.41011311532981365,0.40987510481162104,0.5024889753222943,0.6760214867143143,0.9837590620000001,0.995,0.495,0.9837588054145948,0.03243740214667412,1.0181954187185902,0.0746509585498899,True,1.0,reject,1.7,0.000125,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,3,4,0.02,32000.0,4.0,4.0,0.0,1.3179124715824124,0.41616795546347574,0.41593233370622107,0.5104755389226591,0.6814514181715162,0.9932095934788041,0.998,0.498,0.9913199716446593,0.0473511103741715,1.0165539129018795,0.14464360804781407,True,1.0,reject,1.7,0.000125,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,0,8,0.04,64000.0,8.0,8.0,0.0,1.2986953020426883,0.40613877763090656,0.4059000903829615,0.49578611688674645,0.6701237462354475,0.9718110994788041,0.994,0.494,0.9685694396572787,0.019765815729435032,0.9290588114718039,0.2311019280213359,True,1.0,reject,1.7,6.25e-05,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,8da7d73e85753d4e79f54062070fbc7b,True,1,8,0.04,64000.0,8.0,8.0,0.0,1.3044312292523466,0.40778956371284036,0.40755095488537596,0.4960016786990074,0.6723912609818107,0.9783610974788041,0.996,0.496,0.9755989825433069,0.035045989847722225,1.0103222173268704,0.41880904878227965,True,1.0,reject,1.7,6.25e-05,0.0
