method,seed,step,t,wallclock_s,W2,TV,TV_density,MMD,EMC,EJS,nonfinite_frac,m_clip_fraction,max_log_magnitude,mala_accept,pt_swap_accept,jump_count_mean,W2_10d
ULA,0,800,4.0,0.6052816156297922,1.035705990301604,0.9725452173061038,,1.0832046558043564,0.09127506388723883,,0.0,,,,,,0.3363588384848758
ULA,1,800,4.0,0.6052816156297922,1.038828034825909,0.9725452173061038,,1.084789775642402,0.09127506388723883,,0.0,,,,,,0.33714378546422685
ULA,2,800,4.0,0.6052816156297922,1.0376470689603983,0.9725452173061038,,1.0840938235682356,0.09127506388723883,,0.0,,,,,,0.3371936012140169
ULA,3,800,4.0,0.6052816156297922,1.0386680690500316,0.9725452173061038,,1.084746337572545,0.09127506388723883,,0.0,,,,,,0.336926155800723
ULA,4,800,4.0,0.6052816156297922,1.0386106989006372,0.9725452173061038,,1.0846688713206871,0.09127506388723883,,0.0,,,,,,0.3373775154919854
ULA,0,1600,8.0,1.2089425101876259,1.0380442064479296,0.9725452173061038,,1.0843864341185752,0.09127506388723883,,0.0,,,,,,0.3371924550477414
ULA,1,1600,8.0,1.2089425101876259,1.0380162862840396,0.9725452173061038,,1.0844443266665458,0.09127506388723883,,0.0,,,,,,0.3370590168409703
ULA,2,1600,8.0,1.2089425101876259,1.038516050781004,0.9725452173061038,,1.0847552701008984,0.09127506388723883,,0.0,,,,,,0.33696699767246896
ULA,3,1600,8.0,1.2089425101876259,1.0379923103477149,0.9725452173061038,,1.0842855559253894,0.09127506388723883,,0.0,,,,,,0.33670853071523427
ULA,4,1600,8.0,1.2089425101876259,1.0391029974395904,0.9725452173061038,,1.0851291158711327,0.09127506388723883,,0.0,,,,,,0.33775455546800265
ULA,0,2400,12.0,1.8155127065256238,1.037610955114169,0.9725452173061038,,1.084196773705324,0.09127506388723883,,0.0,,,,,,0.33727668485386203
ULA,1,2400,12.0,1.8155127065256238,1.0371870041358422,0.9725452173061038,,1.0840323869837927,0.09127506388723883,,0.0,,,,,,0.3364972897236457
ULA,2,2400,12.0,1.8155127065256238,1.0382663993908192,0.9725452173061038,,1.0845334467260532,0.09127506388723883,,0.0,,,,,,0.3371017727647346
ULA,3,2400,12.0,1.8155127065256238,1.0367131538267844,0.9725452173061038,,1.083618326128352,0.09127506388723883,,0.0,,,,,,0.3363478156665639
ULA,4,2400,12.0,1.8155127065256238,1.0376179353310766,0.9725452173061038,,1.0842725822328054,0.09127506388723883,,0.0,,,,,,0.33689166355884487
