method,EMC_mean,EMC_std,MMD_mean,MMD_std,TV_mean,TV_std,V_evals_per_step,W2_10d_mean,W2_10d_std,W2_mean,W2_std,grad_evals_per_step,jump_count_mean,m_clip_fraction,mala_accept,nonfinite_frac_mean,nonfinite_frac_std,pt_swap_accept,score_quad_evals_per_step,time_to_threshold_TV,wallclock_mean_s,wallclock_std_s
ULA,0.09127506388723838,0.0,1.0841695293386355,0.0005285422510115119,0.972545217306104,0.0,0.0,0.33677124696929417,0.0003535099577293211,1.0376367754146147,0.000982736734122917,10000.0,,,,0.0,0.0,,0.0,inf,28.837677689269185,0.0
MALA,0.09127506388723838,0.0,1.0854923413501616,0.0005613668166497133,0.972545217306104,0.0,10000.0,0.3373996086825953,0.0003063590017695812,1.0403016370826452,0.0009383846424785112,10000.0,,,0.879331186868686,0.0,0.0,,0.0,inf,54.32624128088355,0.0
FLA,0.7917026674810844,0.009325843320920254,0.4616403345164294,0.015103720457015649,0.42876176660537063,0.012364263018878227,0.0,0.21013213497013203,0.006963537765037292,0.6272346591374068,0.012141954065631481,10000.0,,,,0.0,0.0,,0.0,inf,32.59460875298828,0.0
BAOAB,0.09127506388723838,0.0,1.0852461520947674,0.00045804584435395126,0.972545217306104,0.0,0.0,0.33721223934925165,0.00039949860158707706,1.039805864629556,0.0006761135563146676,10000.0,,,,0.0,0.0,,0.0,inf,30.418247387744486,0.0
PT,0.9996889189832185,0.00022296339016075785,0.01252573999467716,0.006087802395777078,0.009638451021876623,0.0016530137858021836,60000.0,0.01289474773047129,0.0024796196653201186,0.06935804512474533,0.02273030089848034,60000.0,,,0.7794997895622904,0.0,0.0,0.24838770833333337,0.0,13.96,58.895408533513546,0.0
CP,0.6631880605544862,0.009034771642720842,0.5427338717810993,0.005492566043733691,0.5659617666053707,0.009257429448826468,0.0,0.24780548424808627,0.004004934272441876,0.7993690264642674,0.01188597547852815,10000.0,0.005026641414141413,,,0.0,0.0,,0.0,inf,40.414657389745116,0.0
LSC-CP,0.9988942351621815,0.0003584175162783942,0.020943870333392983,0.005599443214298016,0.02623747241548715,0.007648529270389177,0.0,0.025405427223608928,0.0007254987010011915,0.09322589607116344,0.011730953611949129,10000.0,0.005026641414141413,0.0,,0.0,0.0,,7680000.0,8.5,299.37992562167346,0.0
