method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,gamma,integrator,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,12,0.06,96000.0,12.0,12.0,0.0,1.3527039832057657,0.4289816873676132,0.428754420559159,0.6088162092486815,0.6993402909902462,1.0102454240575758,1.0,0.5,0.999043539310959,0.03656440038230557,1.005933396642194,0.018103585074590645,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,12,0.06,96000.0,12.0,12.0,0.0,1.3534261944682953,0.4291978372155618,0.42897053616702696,0.5999155259959772,0.6996283826959484,1.011269927641135,1.0,0.5,1.0000383915993118,0.038612806894374074,1.0090792692441248,0.022377143184762693,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,17,0.085,136000.0,17.0,17.0,0.0,1.3531277074639703,0.4294693347949202,0.42924190096940873,0.5974248113510567,0.6996021821432128,1.0112600683208917,1.0,0.5,1.001735152929322,0.04223997753243003,1.0148956958302584,0.030669013230755326,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,17,0.085,136000.0,17.0,17.0,0.0,1.3532498953220151,0.4295230095727338,0.4292955990141628,0.606344981024593,0.6997095813474442,1.011598852327615,1.0,0.5,1.0018167350440157,0.04236302012349147,1.0150252998677378,0.030775214769325987,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,17,0.085,136000.0,17.0,17.0,0.0,1.3508516165254334,0.42872768951861673,0.428500220555065,0.6047313168105698,0.6984395981243728,1.00887360185323,1.0,0.5,0.9991243456460687,0.03707796916073636,1.0072329803760527,0.020550282575088175,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,17,0.085,136000.0,17.0,17.0,0.0,1.3512496742061806,0.42883952594607344,0.42861199095792724,0.5931133590452431,0.6985231353374529,1.0096489364801031,1.0,0.5,0.9998896123032007,0.03872296235943962,1.0098538539605044,0.024227641522912458,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,21,0.105,168000.0,21.0,21.0,0.0,1.3513344265707756,0.42921811721320025,0.42899047574334837,0.5911377664482071,0.6987536447374321,1.0101561275631736,1.0,0.5,1.0018536145347565,0.04283926733734322,1.016339630711305,0.03332990679879744,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,21,0.105,168000.0,21.0,21.0,0.0,1.3515989662918364,0.4292660148538171,0.4290384058897079,0.5971970827558627,0.6988888061849604,1.0104438885531608,1.0,0.5,1.001866337335154,0.042808333518014274,1.016214221749796,0.0330645815086924,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,21,0.105,168000.0,21.0,21.0,0.0,1.3490623233644812,0.42846180155660785,0.4282341251506252,0.5985364495923233,0.6975750762649612,1.0076796732599334,1.0,0.5,0.9991873984779426,0.03756574017394021,1.0085074664025038,0.022981365223861627,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,21,0.105,168000.0,21.0,21.0,0.0,1.3491195919743848,0.4284791310812648,0.42825136271084796,0.5853595170754806,0.6974897601277824,1.008119149281983,1.0,0.5,0.9997296639716776,0.038810409373625454,1.010594395261931,0.02603445571308083,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,25,0.125,200000.0,25.0,25.0,0.0,1.3493404609342388,0.4289175119750126,0.4286896306498641,0.5850773199103746,0.6978283065286883,1.009040953702109,1.0,0.5,1.0019510250890051,0.043453131185609895,1.017891012575197,0.036251098761381884,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,25,0.125,200000.0,25.0,25.0,0.0,1.3496612201543188,0.42894572763288863,0.42871788227707575,0.5880773199103746,0.6979633734644581,1.0091594868949791,1.0,0.5,1.0018725370429598,0.043233523312385946,1.017472354803895,0.03558048471281727,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,25,0.125,200000.0,25.0,25.0,0.0,1.3470454844891395,0.42813804455139914,0.42791012237553516,0.5900137021181493,0.6966105311118259,1.0064032784810037,1.0,0.5,0.9992290068528779,0.03807808574244387,1.0099187983269065,0.02572902279782696,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,25,0.125,200000.0,25.0,25.0,0.0,1.3468069956850828,0.42807286576381975,0.427844831639261,0.5771098780232127,0.6963981136269,1.006523769329657,1.0,0.5,0.999562536445422,0.038940744261117155,1.011485619132735,0.02816044511490723,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,29,0.145,232000.0,29.0,29.0,0.0,1.3471852055961366,0.428568715708014,0.4283405647600207,0.578426172674875,0.6968501524160455,1.0078776530716667,1.0,0.5,1.0020193019911239,0.04406132517960115,1.0195133563449263,0.03937609294061184,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,29,0.145,232000.0,29.0,29.0,0.0,1.3475150148986823,0.42856376364810334,0.42833564691717374,0.5811873563639698,0.6969538224654914,1.0077380923990482,1.0,0.5,1.0018260217167658,0.043614930048860634,1.0187560498797945,0.03825329305306535,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,29,0.145,232000.0,29.0,29.0,0.0,1.3448990104915268,0.42776443318507396,0.4275362338863521,0.5818757166721945,0.6955910598134939,1.005138399577828,1.0,0.5,0.999243679365746,0.03859214807619571,1.0114136327139975,0.028695377714388015,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,29,0.145,232000.0,29.0,29.0,0.0,1.3444055260018386,0.427635957816042,0.42740762709325264,0.5703093429406396,0.6952885055301231,1.005016157419366,1.0,0.5,0.9994379682607982,0.03921100675278555,1.0126682306518862,0.030785614186533805,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,33,0.165,264000.0,33.0,33.0,0.0,1.3449684734176193,0.4281798711695384,0.4279514252628148,0.5733765640794004,0.6958468645648141,1.0067090781056045,1.0,0.5,1.0020661700422957,0.04467180293552775,1.0212078481451168,0.042693030663729314,False,nan,reject,1.0,BAOAB,0.0,0.0
